author,text,like_count,published_at
@lucasteixeira8341,"Tropa de quem chegou cedo
👇",0,2026-02-13T20:39:45Z
@natsuki-ey,oloko,0,2026-02-13T20:39:39Z
@Arthurmigueldea25,Eu,0,2026-02-13T20:39:17Z
@luisacardeallira1391,❤❤❤,0,2026-02-13T20:36:42Z
@Los_BrothesOFC,"Quem chegou cedo
👇",2,2026-02-13T20:36:17Z
@miguelalves9126,"Se aparecer alguma espinha na parte do rosto, como faz pra tirar??",0,2026-02-13T20:36:15Z
@marcelogamer7626,Nossa😮😮😮😮😮 fixa?❤❤❤ plsssssss,0,2026-02-13T20:35:37Z
@pequenochalizard003,Então eu corri risco de vida esse tempo todo 😮,3,2026-02-13T20:35:30Z
@JoyceDanielly-s8r,4,0,2026-02-13T20:35:09Z
@amandagoncalves4348,Cheguei cedo,2,2026-02-13T20:33:14Z
@AliceGomes-l9q,Nossa 😮,3,2026-02-13T20:33:00Z
@JoãoMiguelCosta-x2c,Primeiro 😦,3,2026-02-13T20:31:03Z
