author,text,like_count,published_at
@BernardoSales-jh4db,😢😢,0,2026-02-13T19:56:59Z
@VidaNova-u3u,O cachorro: “Diabéisso…”,0,2026-02-13T19:31:32Z
@Patolinosixtop,Alguém sabe pq que o Xavier recusou ele no X-mans?,0,2026-02-13T19:00:58Z
@ET-billy,"Uma coisa verdade, se postou ainda tá vivo",0,2026-02-13T18:28:25Z
@notebookcristopher,É verdade?,0,2026-02-13T17:30:11Z
@PauloMorghuli,Ingual gta bugado,0,2026-02-13T17:13:58Z
@IvanaDuarte-g8b,;---;,0,2026-02-13T16:06:24Z
@MargaridaNunes-po8uz,E ia?,0,2026-02-13T15:03:52Z
@DANIEL_XL-l9b,Como ele consegue imitar isso chega a gente pensa qui e de verdade,0,2026-02-13T15:00:19Z
@ManulaSofia,Não 😭,0,2026-02-13T14:10:45Z
@Frostyzinh,O cachorro entrou humano e foi fazer cirurgia com o djabo,0,2026-02-13T08:30:33Z
@KauéLimaCorrea,😢😢😢😢😮😮😮,0,2026-02-13T03:32:00Z
@デビッド-cx7,Mano oq aconteceu,0,2026-02-13T02:46:31Z
@pobregrilu,"O cachorro: valha,um mutante vou passar até longe",0,2026-02-13T02:10:13Z
@umapessoa_idiota,O cachorro julgando até a alma,1,2026-02-13T01:31:44Z
@miku_22360,O braço do cara virou do avesso😂😂😂😂😂😂😂akakkakaka,0,2026-02-13T01:26:39Z
@RafaelTonglet,Gente é real mesmo isso ??,0,2026-02-13T00:56:58Z
@Gojomatadordebaratas-zhe4,"""filho sonhei que você caia numa cachoeira e quase morria""",0,2026-02-12T23:55:23Z
@angelorefrigeracao707,O Uber pq ele n tinha carro,0,2026-02-12T23:27:03Z
@angelorefrigeracao707,O Uber pq ele n tinha carro,0,2026-02-12T23:26:40Z
@Sofhya_lenza-n8g,A cara do cachorro 🤔 misericórdia kakakakkaak,0,2026-02-12T23:01:33Z
@HelisaLavinia-b6j,😮😮😮😮😮😮😮😮,0,2026-02-12T22:43:39Z
@raphaelyudi8289,Quem lembra dessa música 😂😅,0,2026-02-12T21:44:18Z
@tarcianaangelo7293,Gente ele sabe coisa o braço não é nenhum problema não e pfvr parem de brigar tão parecendo bebês brigando aqui nos comentários,1,2026-02-12T20:42:13Z
@KelSilva-p5c,para de ficar rindo isso e sério,0,2026-02-12T20:22:54Z
@Dazai_ass,"EU TAVA RINDO DO TOMBO, O CLIMA ATE PESOU AQUI 💔",0,2026-02-12T20:20:53Z
@gatinhodboa,e vdd gente ??,0,2026-02-12T20:17:10Z
@StaryRafa,"> ""Sem fé é impossível agradar a Deus, pois quem dele se aproxima precisa crer que ele existe e que recompensa aqueles que o buscam."" -Hebreus 11:6

> Quando algo ruim te acontece, e você tem fé em Deus, tua atitude muda. Você começa a imaginar por que Deus quer que você passe por momentos difíceis e o que Ele quer te ensinar com isso. Quando você vê que aquela situação ruim aconteceu por uma razão, você passa a crer ainda mais em Deus. Você começa a permitir que Ele entre em mais áreas da tua vida. Busque a Deus sinceramente hoje em oração.
📖᷂ᰰ̶᳝᷒.࣭🎀𝐒𝐞𝐦𝐞𝐚𝐧𝐝𝐨𝐄𝐦𝐏𝐚𝐥𝐚𝐯𝐫𝐚𝐬📖᷂ᰰ̶᳝᷒🎀
° ° ° ° ° ° ° ° ° ° ° ° ° ° ° ° ° ° ° ° ° ° °",0,2026-02-12T17:34:08Z
@cremedemilhogames,Ele er humano viro hmno,0,2026-02-12T16:49:32Z
@LauraOliveiraSousa-c4o,Oxi mas como o braço foi para la atras...?!?!,0,2026-02-12T16:16:21Z
@SilvâniaAgenor,eita😅,0,2026-02-12T14:21:46Z
@NicollasDutra-i6v1p,Foi de pessoa normal pra um mutante de 1 braço😂😂,0,2026-02-12T04:40:35Z
