author,text,like_count,published_at
@vitoriacorreia3271,Sim que ele disse que era diz tenha filhos velho,0,2026-02-10T22:43:10Z
@DavirobertoSobralbeites,😮😮,0,2026-02-10T19:22:17Z
@JOSIELDER1,😮😂😂😂😂😂kkkkk😊😮,0,2026-02-10T16:23:49Z
@Avick_blox,O jesus o lanche está invertido akakakka,0,2026-02-10T04:55:10Z
@marlyrojas5468,"tropa de quem é o número 11 da chamada   



















👇",1,2026-02-09T19:49:20Z
@maquinapoucaidade6092,😅😅😂🎉❤,0,2026-02-09T13:29:55Z
@rosamartinsdossantosnascim4381,Mano do céu que cara engraçado,0,2026-02-08T21:25:04Z
@Pietro-tenório2017,Colocaram filtro no final,0,2026-02-08T20:40:22Z
@SimoneNascimento-i5r9s,Ah eu quero eu quero eu quero kkk quero,1,2026-02-08T19:49:21Z
@SoniaSilva-m4o,Kkk olha como eu tô com medo,0,2026-02-08T01:33:54Z
@fernandadossantos9708,eu acho que ele precisa de um doutor médico de stranger things né por que para tirar esse negócio vai ser difícil acho que eu acho que é autismo thengs😂,0,2026-02-08T01:16:12Z
@AntônioTobias-g6y,0011😮😂😂😂😂😂😂 kkkkkkkkk kkkkkkkkkkkkkkkkkkkkkkkkkkk eu já vi esse filme é muito legal só que eu tenho um pouco de medo😮😮😮😂😂,0,2026-02-08T00:24:03Z
@danielsoares777,😑😑😑😑👥👥👥,0,2026-02-07T22:36:51Z
@AllexLuna,😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2026-02-07T21:55:59Z
@claudiadubois3519,Stranger things❤🖤,0,2026-02-07T16:11:10Z
@canalgachaserie,"""o lanche está ao contrário,😱,vou reclamar 😡",0,2026-02-07T14:33:45Z
@LaraAngela-v2x,😂😂😂😂😂😂😂😂😂,0,2026-02-07T01:13:19Z
@alicelindinha,O mds o condomínio de strangs tings  mamae vc tenque contra pa mim eu sou strangs tings  eu sou a eileven,0,2026-02-06T21:59:44Z
@andrezagabrieli6201,Feiokkkkkk,0,2026-02-06T20:30:19Z
@QuintinoBezerradaSilvaNeto,Tu egei,0,2026-02-06T19:56:06Z
@justinofink5777,Eu quero o suco do demo gorgon kkkkkkkk😂,0,2026-02-06T17:07:16Z
@EstânciaCasadeCarnes,Pior que é verdade kkkk eu me sinto a eleven,0,2026-02-06T06:58:24Z
@MichelleVieira-ny2fq,😂😂😂😂😂😂😂,0,2026-02-06T03:34:20Z
@ElenViannaFrancezGoncalves,Kkkkkhahaha,0,2026-02-06T03:01:14Z
@Zenaldo-c3c,SUCO DO DEMOGORGO KKKKKKK,0,2026-02-05T23:41:10Z
