author,text,like_count,published_at
@jotavic4191,Qual nome desse notbook,0,2026-02-12T21:44:13Z
@patin_will,Ele fez cirurgia dq?,0,2026-02-12T21:06:25Z
@Cairo-u4d,Agora um mico esse menino;--;,0,2026-02-12T20:46:33Z
@fants_edits,"""Oh ingrato"" esse davi 😂",0,2026-02-12T19:44:46Z
@IsabelaCristina-f5q,Daq a dois dias vcs vão jogar de cima do prédio;-;,0,2026-02-12T17:00:20Z
@oliverkamado_ouro,O João engordou agora que percebi,0,2026-02-12T16:38:21Z
@M1ks_edits,"Ces ja bateram nele, ja quebraram o fone, e entrega feliz pra tirar dele rindo, só espero q n façam o msm",0,2026-02-12T16:37:49Z
@NØÅH-o6h4d,Kkkk amizad,0,2026-02-12T12:29:20Z
@Tangiro_kamado373,Ai dps eles quebram dnv,0,2026-02-12T09:46:29Z
@EzequielAlexandreDossant-r8v1m,Boa só mais um  e eles quebram o microfone,0,2026-02-11T13:24:50Z
@BenjaminMuller-z6j,"Vocês são burros justiça pelo cara do fone congelado
😢",0,2026-02-10T19:02:17Z
@JoaoMiguelSouza-c2j,Eu quero uma tbm Luke me dar AGORA!!,0,2026-02-10T16:04:15Z
@Rayanguilherme05.,Sou seu fã João basto me nota,0,2026-02-10T00:28:46Z
@Tam-j4h,🥹🥹😓,0,2026-02-09T23:10:18Z
@AYUITERmesEDORSpatIAO,Eu jogo sem fone acho melhor pq minha orelha fica quente e ardendo dps de eu usar o fone por 12 horas seguidas,0,2026-02-09T21:33:49Z
@IanBrasileiro-eo5bc,Ele ja terminou o namoro?,0,2026-02-09T19:33:00Z
@Hantex-y3n,Dia 1 ficando famoso pelos comentários,0,2026-02-09T19:12:40Z
@raphaelvalgueiro4722,Você viu o meu primo,0,2026-02-09T18:12:58Z
@familiabispo8321,Davi falando ingrato da uma raiva,0,2026-02-09T16:57:03Z
@SharifaAli-g4h,🥺🥹❤❤,0,2026-02-09T15:52:01Z
@MariaAparecidaReinaldodeolivei,Z,0,2026-02-09T15:29:30Z
@Eduard0ax7,Dps eles vão quebrar o fone com crtz,0,2026-02-09T02:41:12Z
@renatoprates5410,Vem x1,0,2026-02-09T01:52:24Z
@CamiloAugusto-f9h,o davi cresceu 😢😢😢😢muito,0,2026-02-09T01:09:27Z
@NAGI_SESHIRO-c6z,Ano que vem ele ta quebrado dinovo duvida? Kkkkk,0,2026-02-09T00:16:33Z
@jacquelineandrade1696,Já dá para voltar com moleque neutro,0,2026-02-09T00:11:54Z
@Davidograu-k2543g,"Ohh😢deu uma dó dele eu gosto do João Bastos mais eu amasso o Ricardinho e o Davi bastos no x1😊

...ler mais",0,2026-02-08T23:46:16Z
@kzinhuBS,Mlk neutro é rlk dms,0,2026-02-08T22:59:12Z
@JaneteBaziHenrique,"O joão:e so a caixa né?
O davi:hoo ingrato",0,2026-02-08T22:40:25Z
@JaneteBaziHenrique,"O joão:e so a caixa né?
O davi:hoo ingrato",0,2026-02-08T22:40:16Z
@AnacarolyneSampaio-p6z,❤Oi,0,2026-02-08T21:50:11Z
@Jvzin7sg,Ingrato o davi tem uma vida incrível e fala para o irmão mais velho,0,2026-02-08T20:06:30Z
@feliciautente,Passa o nick do fortnite por favor,0,2026-02-08T19:52:42Z
@guilhermematias8056,Ele fez cirurgia do que? Fimose,0,2026-02-08T19:50:25Z
@AliceGoulart-de8rh,Oh ingrato kakakakka rachei de rir quando ele disse isso,0,2026-02-08T18:22:09Z
@DaviLucas-x5b5w,Pra congela esse denovo,0,2026-02-08T17:45:32Z
@Gustavogg77,Po mano joga comigo x1 no fortnite meu nome é CAUSEDCR7,1,2026-02-08T17:23:12Z
@gildovictor244,Muleke neutro raiz é o cocielo,0,2026-02-08T17:07:28Z
@Patinho_trr,Ávida e dele,0,2026-02-08T16:44:34Z
@SOLVEDSOLE,ele fez cirurgia de que?,0,2026-02-08T15:52:19Z
@Leonardocordeiro-m8d,MULEKE NEUTRO!!!,0,2026-02-08T15:46:17Z
@fernandocoutinhotalocchi1992,A melhor coisa seria se tivesse uma pedra dentro kkkkkkkkjkjjjj😂,0,2026-02-08T13:50:15Z
@manecoq,❤❤❤🎉2026,0,2026-02-08T13:33:51Z
@SofiaSouza-y7s,"Uma pergunta,vc compra um fone novo e depois congela dnv",0,2026-02-08T12:58:13Z
@garantia9331,Os cara é tão gênio que quebram o fone perdem dinheiro pra comprar outro fone pra depois quebrar denovo ksmskss,0,2026-02-08T12:27:53Z
@eduardobrancomonteiro,Ele bravo por não ter fone eu nem tendo fone em casa,0,2026-02-08T11:55:43Z
@simaocampos7693,Outro fone para quebrar pqp,0,2026-02-08T11:28:48Z
@LuizGustavo-n3r,Hmmmm,0,2026-02-08T11:23:33Z
@elisangelapeneluca1507,Você são uns merdas de irmãos lixo,0,2026-02-08T11:12:53Z
@AdrielRibeiroquixabeira-l3d,é claro que eles tem que dar pra ele eles que quebraram o velho tem que dar o novo,1,2026-02-08T11:00:45Z
@MuriloRafael-tl6hw,AAA volta com muleke neutro,0,2026-02-08T10:57:21Z
@caetano489,"Quando o Davi chamou o João de ingrato eu já desisti do vídeo, o significado de ingrato falando do João",0,2026-02-08T10:32:53Z
@Pedrin098,Ano que vem ele vai quebra denovo,0,2026-02-08T05:41:58Z
@OscarSilvaPontes,Vai lá e quebra de novo,0,2026-02-08T05:17:38Z
@Loren-l5r,POR FAVOR VOLTA COM O MULEKE NEUTRO,0,2026-02-08T03:57:28Z
@MariaAntonia-le1ry,Só não tira o fone do coitado de novo tá 😡😡😡😡😡,0,2026-02-08T03:06:18Z
@matheusg_aming7,MULEKE NEUTRO,0,2026-02-08T02:12:46Z
@CaioMatosdaSilva,Quem fez cirurgia de quê,0,2026-02-08T01:34:01Z
@arthurgameplaynagib3690,Botei esse carnaval apaga esse negócio aí é um animado aí o Davi ah caramba bravinha e é chato,0,2026-02-08T00:56:41Z
@EmilySoares-k9x,O que que adianta você  compra um fone para ele só para congelar de novo 😮‍💨,1,2026-02-07T23:56:48Z
@irineugames2684,quer apostar quanto que elels vao quebrar esse tambem,0,2026-02-07T23:50:38Z
@NAGIEDITS-e1r,Mano mais pra que vcs congelarem,0,2026-02-07T23:28:20Z
@FilipeCarmo-e5e,Ele joga fortnite?😯😲😲,0,2026-02-07T23:04:51Z
@João-444,Eu jurei q o João ia pega o fone e joga longe ou joga no chão achando q era trollagem kkkkkk,0,2026-02-07T22:34:16Z
@LuizOttavio123,Dps eles estragam o fone,0,2026-02-07T22:05:08Z
