comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgxE5DJNK6bfzpVxBlh4AaABAg,@LeandrodeandradePaula-p3o,UgxE5DJNK6bfzpVxBlh4AaABAg.ATAA6SEJFFGATAJsLGeX-S,@EnzoGabriel-d2u2z,Faz melhor então,4,2026-02-13T13:43:36Z
UgxE5DJNK6bfzpVxBlh4AaABAg,@LeandrodeandradePaula-p3o,UgxE5DJNK6bfzpVxBlh4AaABAg.ATAA6SEJFFGATALw1K9XJH,@isolavocal3651,Sim duvjdo vc fazer melhor,4,2026-02-13T14:01:35Z
UgxE5DJNK6bfzpVxBlh4AaABAg,@LeandrodeandradePaula-p3o,UgxE5DJNK6bfzpVxBlh4AaABAg.ATAA6SEJFFGATAza2-RGZc,@2009richo,@Leandrodeandradepaula-p3o bosta é vc seu desumilde e eu duvido vc fazer um vídeo melhor,3,2026-02-13T19:56:50Z
UgxE5DJNK6bfzpVxBlh4AaABAg,@LeandrodeandradePaula-p3o,UgxE5DJNK6bfzpVxBlh4AaABAg.ATAA6SEJFFGATBBQTFN5ks,@DeboraGuarnieri-x9o9f,E família bosta q vc tem,0,2026-02-13T21:48:59Z
UgxE5DJNK6bfzpVxBlh4AaABAg,@LeandrodeandradePaula-p3o,UgxE5DJNK6bfzpVxBlh4AaABAg.ATAA6SEJFFGATBFkjFrsle,@AlexandreSilva-h6k9l,E faz  melhor então,4,2026-02-13T22:26:51Z
UgwpYxAyMSDhJ4nA4bl4AaABAg,@emersonlesquevesfranklinma9179,UgwpYxAyMSDhJ4nA4bl4AaABAg.AT8wmfKbEOdATDPvnnV5ZT,@RafaelaFranco-kl4pj,Parabéns felicidades tudo de bom pra vc 🎇🎂,0,2026-02-14T18:34:13Z
Ugya-3l2XVAxSmTSsyt4AaABAg,@edemilda3687,Ugya-3l2XVAxSmTSsyt4AaABAg.AT81V5RJU_-ATFugDtESIZ,@mecinhojow,😢😢😢😢😢😢😢,2,2026-02-15T17:50:12Z
Ugya-3l2XVAxSmTSsyt4AaABAg,@edemilda3687,Ugya-3l2XVAxSmTSsyt4AaABAg.AT81V5RJU_-ATHkmRzOVMs,@MariaRaimunda-z2e1q,😮😮😮😮,0,2026-02-16T11:02:09Z
Ugya-3l2XVAxSmTSsyt4AaABAg,@edemilda3687,Ugya-3l2XVAxSmTSsyt4AaABAg.AT81V5RJU_-ATHkni8GKzS,@MariaRaimunda-z2e1q,😮😮😮😮😮😮😮😮😮,0,2026-02-16T11:02:19Z
UgxGdS1d4I6qrJYqKFl4AaABAg,@Minecraftbuilder-ofc,UgxGdS1d4I6qrJYqKFl4AaABAg.AT7iMpp4nZYATApZLLfiJu,@AmandaEmilly-j9g,Claro né,1,2026-02-13T18:29:13Z
UgzCS6Ug8D2JvwuaVOZ4AaABAg,@YasminBts-j1r,UgzCS6Ug8D2JvwuaVOZ4AaABAg.AT5R-Wp4UcHAT5o_qPm1FT,@LetíciaBessa-q3e,Igual a ti vey podi,1,2026-02-11T19:44:29Z
Ugwh6stBP73lRpfQO_p4AaABAg,@TalitaRicardo-i3m,Ugwh6stBP73lRpfQO_p4AaABAg.AT5HmMd30jaATFSFX3kJ3e,@AdrianaPedroso-w4q,💩👾,0,2026-02-15T13:33:00Z
Ugy1N64t3SQUHaFFsNh4AaABAg,@LizHelenaLoboMoraes,Ugy1N64t3SQUHaFFsNh4AaABAg.AT3WCBwnIlsATAcRcB_tMG,@AlicePereira-t2l,Segunda parte😢😢,1,2026-02-13T16:34:35Z
Ugx4Zpc1MGaQBKthThx4AaABAg,@LucianoAraujoQueiroz,Ugx4Zpc1MGaQBKthThx4AaABAg.AT3POma3wqSAT3QSEef7Ah,@MarceloRodrigues-hu1nu,😢😢😢😢😢😢😢😢😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱,4,2026-02-10T21:26:23Z
UgxxwQeP3zgSBhggeY54AaABAg,@PatriciaDavi-g9s,UgxxwQeP3zgSBhggeY54AaABAg.AT3LZeVWgwrAT3Q_NTONie,@MarceloRodrigues-hu1nu,"❤❤❤😂😢😢🎉🎉🎉🙏🙏🤧🤧
❤❤❤❤",3,2026-02-10T21:27:29Z
UgwJSUqwJFMK8e5v6zt4AaABAg,@JhonatanBernado-t2h5p,UgwJSUqwJFMK8e5v6zt4AaABAg.AT3ANCnspGaAT3QlNOF2qm,@MarceloRodrigues-hu1nu,❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,2026-02-10T21:29:08Z
UgzlDa07AoClNp_EEl94AaABAg,@alessandrasantos9819,UgzlDa07AoClNp_EEl94AaABAg.AT2yLhC0Nm5AT6S9i_QNEi,@fuzztv_oficial,;__________;,1,2026-02-12T01:39:03Z
UgzlDa07AoClNp_EEl94AaABAg,@alessandrasantos9819,UgzlDa07AoClNp_EEl94AaABAg.AT2yLhC0Nm5AT7h39wDMTT,@VitoriaSantos-y7d,;--------------------------------;,1,2026-02-12T13:17:12Z
UgzlDa07AoClNp_EEl94AaABAg,@alessandrasantos9819,UgzlDa07AoClNp_EEl94AaABAg.AT2yLhC0Nm5AT7lGMK338Y,@SaraGarciaPrudêncio,"""Menu"" patricinha;-;",1,2026-02-12T13:53:57Z
UgwtP8zwvCk_l-OyRSp4AaABAg,@JulianaRamos-d2m3t,UgwtP8zwvCk_l-OyRSp4AaABAg.AT2wDIIlRchAT3Qk-A4769,@MarceloRodrigues-hu1nu,❤❤❤❤❤❤❤😢😢😢😢😢😢😢😢😮😮,2,2026-02-10T21:28:56Z
UgwxvIIKAEM7m_XGXLB4AaABAg,@LucasMoura-s8x3k,UgwxvIIKAEM7m_XGXLB4AaABAg.AT2jEbJVHujAT3QhfRxpOy,@MarceloRodrigues-hu1nu,❤❤❤❤❤❤❤❤😮😮😮😮😂😂😂😂😂😂😢😢😢😢😢😢,3,2026-02-10T21:28:37Z
UgxPvcI8Hgu4TvOIVhF4AaABAg,@Fernanda-x2s4b,UgxPvcI8Hgu4TvOIVhF4AaABAg.AT2YlN1s7v8AT2vra-00tb,@anselmocosta4549,Vey até no português existe esse povo com síndrome de pick me,0,2026-02-10T16:50:21Z
UgxPvcI8Hgu4TvOIVhF4AaABAg,@Fernanda-x2s4b,UgxPvcI8Hgu4TvOIVhF4AaABAg.AT2YlN1s7v8AT3Wn7v3Kc5,@YASMIMDOMINGUES_206,🙄,1,2026-02-10T22:21:48Z
UgwrjYZIa8HGkbEJH2J4AaABAg,@like_cats_pls,UgwrjYZIa8HGkbEJH2J4AaABAg.AT0rzm1xmdeAT2kcS_ol28,@AnaMariaMachado-z9u,sae uu um pouco com o,4,2026-02-10T15:12:10Z
UgwrjYZIa8HGkbEJH2J4AaABAg,@like_cats_pls,UgwrjYZIa8HGkbEJH2J4AaABAg.AT0rzm1xmdeAT5R0Q3vUKG,@YasminBts-j1r,Vdd,0,2026-02-11T16:09:48Z
UgwrjYZIa8HGkbEJH2J4AaABAg,@like_cats_pls,UgwrjYZIa8HGkbEJH2J4AaABAg.AT0rzm1xmdeAT5R3Fc3A42,@YasminBts-j1r,​@AnaMariaMachado-z9ue tu só e um pouco analfabeta🗿🍷💅,1,2026-02-11T16:10:11Z
UgwrjYZIa8HGkbEJH2J4AaABAg,@like_cats_pls,UgwrjYZIa8HGkbEJH2J4AaABAg.AT0rzm1xmdeAT6QGGfYpnc,@fafaschneider5038,"​@AnaMariaMachado-z9u oque que vc disse?, Mano vc é analfabeta?(n quero julgar mais é pq n dá para entender nada)",1,2026-02-12T01:22:28Z
UgwrjYZIa8HGkbEJH2J4AaABAg,@like_cats_pls,UgwrjYZIa8HGkbEJH2J4AaABAg.AT0rzm1xmdeAT6TprD2UvJ,@IsaDuarte-p6m,É pq é YouTube tlgd,1,2026-02-12T01:53:40Z
