comment_id,author,text,like_count,published_at,reply_count
UgwTBHVJAgAA3G_WwBp4AaABAg,@DaniellyCristina-h4j,A fé pode mudar sua vida,0,2026-02-16T12:58:46Z,0
UgyAUZINGD4qTzObR0x4AaABAg,@Yasmin-2014-0,Os creditosss??,4,2026-02-16T11:33:39Z,0
UgyJ-c382birU3a_zr14AaABAg,@RodrigoSousa-n9t,Beaa GG Miguel 5t😅,0,2026-02-16T11:22:23Z,0
UgxK2xkJlKAEnFbOLMt4AaABAg,@EllenVitoria-v5j,Ameiiii❤❤❤ me nota 😢,0,2026-02-16T11:00:37Z,0
UgzD49SjZVVM8bQnqdp4AaABAg,@josefasantos5642,Eles iam devolver.,0,2026-02-16T10:55:01Z,0
UgygzrhddPOqQj6JfaR4AaABAg,@ElissandraOliveiradaconceição,❤❤❤❤❤❤❤😊😊😊😊😊😮😮😮😮,0,2026-02-16T01:45:47Z,0
UgwZG4vgwHYU4EtWccV4AaABAg,@raquelsilvasilva5389,Sou sua fã,0,2026-02-16T00:07:29Z,0
UgwNi6AxWtuCFL1m0Fh4AaABAg,@raquelsilvasilva5389,Sou sua fã amo suas histórias,1,2026-02-16T00:07:16Z,0
Ugw4xTLKuyUkf3GHplt4AaABAg,@AnthonnyCristhyan-i6e,😢😢😢😢😮😮😮,2,2026-02-15T23:58:59Z,0
UgwqT2uegidGDzrTyoN4AaABAg,@JuniorMacedo-x9q,Deus pode fazer um milagre na sua vida basta você ter fé 🙏🙏🙏,4,2026-02-15T21:11:58Z,0
UgzGnSv7e6_hjyy0JGZ4AaABAg,@LoudMuzz,"Hebreus 11:6
""Ora, sem fé é impossível agradar-lhe; porque é necessário que aquele que se aproxima de Deus creia que ele existe, e que é galardoador dos que buscam palavra do senhor: graças a Deus.""",0,2026-02-15T21:00:11Z,0
Ugx3grCrLTb1_V4xSA14AaABAg,@PhabloMartins,無意とぼにと,1,2026-02-15T20:23:27Z,0
UgxKhjKHT09dWWvcLuV4AaABAg,@ismaeldeoliveiraIsmael,💖💖💖💖💖💖muitobonoqui.  Ela.  Fes💝,2,2026-02-15T17:03:37Z,0
UgzTMv6TirZX6hdxIx54AaABAg,@AndréNascimento-j1r,🎉,6,2026-02-15T16:32:05Z,0
