comment_id,author,text,like_count,published_at,reply_count
UgwqXueaGmk_DEetsv54AaABAg,@curuginha2731,Minha professora ela deixa por quê a irmã dela morreu por que ela segurava muito xixi aí ela parou de fazer xixi morreu aí agora minha professora deixa todo mundo ir no banheiro só que em ordem isso tá errado no vídeo,0,2026-02-15T22:51:45Z,0
Ugw-No2Mo0t1WlBBIt54AaABAg,@leilaamorim7514,É daí tá errado esperar tanto tempo mas você tinha acabado de ir no intervalo mas daqui alguns minutos ou quando terminar a tarefa daí você e a minha professora vai assim,0,2026-02-14T00:42:18Z,0
Ugw5iwMnx4YNGKpBiTJ4AaABAg,@icek21,eu... eu mijava na professora...,0,2026-02-11T19:38:18Z,0
UgyNn7w-UKVozNRInA14AaABAg,@marcelobarbosa2314,Saia na hora que ela não estivesse e falava pra diretora antes ia no banheiro,0,2026-02-11T03:24:16Z,0
UgzNI9jwaSvM7RQ_Jal4AaABAg,@GiovannaAlmeida-y9b7d,Ki odiooooo,0,2026-01-30T19:24:20Z,0
UgxmyIY7IzUDLJDld4l4AaABAg,@miralvasantana9480,Sempre assim na minha escola 🏫😂😂😂,1,2026-01-30T00:24:40Z,1
UgxeD60K53MH6k3CWst4AaABAg,@Satoru_GojoDivooo,"Minha mãe disse: se eles não deixarem você ir ao banheiro mesmo quando insistir. Vá mesmo assim. E se reclamarem, eu vou na escola resolver essa palhaçada deles.  Até pq vc n pode ficar com problema de urina por causa deles.",0,2026-01-29T22:49:34Z,0
UgxgdzhAozlT0b-nkeR4AaABAg,@marcelac.furtadobarbosa,"Genteeeeee justiça pelo orelha
👇",0,2026-01-29T21:07:05Z,0
UgzCU7iIrheMs5ufh4x4AaABAg,@fã-moralinn,Vc ja teve bastante tempo pra ir no banheiro no intervalo” o “bastante” tempo:15 minutos,0,2026-01-29T19:35:34Z,0
UgxyouvQ1Y7VsTIPpU94AaABAg,@ConstançaMendes-p2u,A professora não pode ser assim a nossa bexiga se ficar muito tempo apertada ela arrebenta e o líquido mistura se com os órgãos do nosso corpo e podemos ter muitos problemas gravas quem concorda deixe o like ❤❤❤,0,2026-01-28T20:17:20Z,0
UgwkPZEIF_IMJUhzQPh4AaABAg,@mimicookiee,Como se eu mandasse no meu xixi kkkkkkkk,0,2026-01-28T08:08:03Z,0
UgwiOpTve4-Vd3u2L194AaABAg,@heitor_miguel34,Se falasse mal e não eu saio da sala,0,2026-01-28T06:26:10Z,0
UgxKJHebCc3N338TEEd4AaABAg,@gabbypassos3117,"E na minha escola que para os alunos de manhã (6, 7, 8 e 9 ) que no caso e meu horário tem uma regra que depois do lanche n pode sair da sala por NADA ent toda vez no intervalo quando eu e minha amiga termina de comer vai direto no banheiro pra dai nos n tiver vontade de ir dps e a prof brigar com a gente",0,2026-01-28T00:41:42Z,0
UgzN7lpy4K3yMigSO0J4AaABAg,@Maya-daArte,"Teve um dia que nossa professora teve que sair então ela deixou a bibliotecária com a gente, isso foi depois do recreio, aí eu pedi para ir e ela não deixou eu pedi e pedi, depois de um tempão eu comecei a chorar de dor debaixo do umbigo onde o mijo fica só depois disso ela deixou eu ir ao banheiro 😢",0,2026-01-27T23:27:24Z,0
UgwsYfAaHIUkCK_c6Yp4AaABAg,@VidadaMetaajoaninha,Ai que odio AAAAAAAAAAAAHHH,0,2026-01-27T23:23:48Z,0
UgwP1G0faXFEfYOLN0t4AaABAg,@Aoi-zim,"Depois do que aconteceu na minha sala a professora nunca mais negou ninguém de ir ao banheiro.

Uma menina que tinha problema na bexiga estava bebendo muita água pois tinha desidratação. Ela estava muito apertada e pediu para professora ir ao banheiro, mas a professora não deixou. Os minutos foram se passando e a menina estava vermelha de tanto segurar, até que ela sentiu um impacto dentro dela e começou a chorar muito, os pais dela vieram buscá-la e eles descobriram que a bexiga dela estourou de tanta urina acumulada. Ela foi levada as pressas pro hospital e teve que fazer cirurgia. Ficou ausente por muito tempo, a professora foi processada e também ficou ausente por 4 meses fora de trabalho, e uma nova professora tomou conta da turma. E quando a professora voltou, ela nunca mais negou os pedidos pra pausas pessoais. Ainda bem que vou ter outros professores.",20,2026-01-27T23:19:29Z,2
UgwjOvglUXicy5qFrS94AaABAg,@CristianVelazco-c6j4z,🤬😡 eso fue muy tumbado,0,2026-01-27T23:13:30Z,0
UgxTXdPvXfOqhuy9Wxd4AaABAg,@Vlogs_by_AnnaManu,Se minha professora fosse paciente assim...,1,2026-01-27T22:57:11Z,0
UgzJ8tWYaKbAsTpbUZF4AaABAg,@RaicleaneSantanaPaes-w2k,E e assim mesmo ele/a fala que agente  não tá com vontade de ele/a nem sabe,0,2026-01-27T03:56:08Z,0
Ugy4LWQGCUQWMOkVf1h4AaABAg,@Apizzaoficial,Se fosse eu ia no banheiro sem nem me importar e se ela entrasse no caminho era uma voadora grátis na cara dela,0,2026-01-27T01:42:10Z,0
Ugw3PUV7j38uCVcRrVl4AaABAg,@mariaritaeufrasio3984,Eu sou assim,0,2026-01-27T00:59:42Z,0
UgygR6SPIvxr8-ZQ2Y94AaABAg,@Tomatinho-crazy,Alguem sabe o nome dela?,0,2026-01-27T00:33:13Z,0
UgzNhOzcR4Ue8MrHVpR4AaABAg,@MichelleThamires-w3y5i,Eu aí sair do mesmo jeito se eu realmente precisa-se e meus responsáveis ia ficar do meu lado,0,2026-01-27T00:03:47Z,0
UgxQ0mApyPjTCzpbZnx4AaABAg,@ManoelAugusto-r5t,"quando eu tô assim e pesso e a professora fala ""não"" eu vou do mesmo jeito,oxe",0,2026-01-27T00:02:01Z,0
UgxF0NR20kc_0GV8SPZ4AaABAg,@TeresaSilva-w6n8g,Essa professora não deve conhecer a l e i mais conhecida como lei,0,2026-01-26T23:52:45Z,0
UgxX5I0B8LfVdoygYLx4AaABAg,@MaraBorges-p2w,"Minha professora só disse pra gente avisar pra ela, necessidades humanas são pra qualquer um!",0,2026-01-26T23:43:15Z,0
Ugx24ABLSoG-Lr_hPzV4AaABAg,@Sara-o4z6t,"Uma vez minha professora não deixou aí eu falei, eu levantei da minha mesa e fui.",0,2026-01-26T23:42:35Z,0
UgwbSpLEIoJ6Vy5V8714AaABAg,@julia_amiguinha_dalele,Se fosse eu mijava na cadeira kkkkkkkkkkkkk 😂❤,0,2026-01-26T22:32:19Z,0
UgxA_BnuRepJStTB0XZ4AaABAg,@fãdaamy-v8b,Quando meu irmão era pequeno ele pediu para a professora velha ir no banheiro e a professora falou que não e aí ele ficou esperando e pediu de novo ela falou que não e depois de 2 horas mais ou menos ele pediu de novo ela falou que não e ele fez xixi nas calças sem querer e depois passou mal por não ir no banheiro ele realmente estava precisando😢. Deixa like demorou para escrever,0,2026-01-26T21:01:24Z,0
Ugxm1nS42Srri9MmIch4AaABAg,@LuysaSantos-q9u,eu mijaria na profesora,1,2026-01-26T20:49:46Z,0
Ugwc3WEUwaNlMToU6qV4AaABAg,@ArianeFrancisco-f1t,A minha professora não é assim graças a Deus mas as outras são umas chatas,0,2026-01-26T19:43:34Z,0
UgyFTazP_vA_RL2DpPV4AaABAg,@MarciaRegina-y8g,Isso já aconteceu comigo e minha mãe ficou do meu lado eu mudei de escola e minha mãe proscesou a escola,0,2026-01-26T19:39:04Z,0
UgyrNmBI05tRsQGV4j54AaABAg,@AmandaDores-e5u,L,0,2026-01-26T19:30:47Z,0
Ugw3nVR9qpR4EUU8pKR4AaABAg,@AmandaDores-e5u,J,0,2026-01-26T19:30:41Z,0
Ugw68-JoRRh2jaYM4iF4AaABAg,@GabrielSilva-u6b9q,Minha amiga tem inveja  pq ela deixa  ate na prova e no saeb (n sei),0,2026-01-26T19:02:07Z,0
UgxlKh1NxdhiPiRy_Kh4AaABAg,@ThaliaEster-kk,Eu sairia da sala sem ela deixar se eu não conseguisse mais segurar 😕,0,2026-01-26T19:00:36Z,0
Ugx3mYFUgtuP5uRayC14AaABAg,@RaynaralayaneOliveiradaSilva,😢😢😢😢😢😢,0,2026-01-26T18:58:24Z,0
Ugyx7A-SgX3mBI6atCx4AaABAg,@valen-123-c2,Isso ha aconteceu comigo e sai do mesmo jeito  é depois a professora levou uma bronca da diretora,0,2026-01-26T18:54:44Z,0
