comment_id,author,text,like_count,published_at,reply_count
UgzsJdY6yG5ohnLxxat4AaABAg,@anapaulavicenteteixeira6128,Deus é muito bom,0,2026-02-13T03:43:09Z,0
Ugx9mAuVFdsdyHMrtnp4AaABAg,@sophiasantosggomes9348,Ela tá copiando a Mariana Alexandre,3,2026-02-12T19:20:41Z,3
UgwSXoXytIOQU8azrqN4AaABAg,@TatianeVieira-y8c,Sua burra sabendo que que não vai acontecer nada porque ela😮,0,2026-02-11T18:33:00Z,0
UgxGk1rWkLXxqvGbeZ14AaABAg,@michelenogueira5784,Kkkkkkkkkk não 👎 não vai acontecer nada né não vai acontecer nada com você mas não pode mentir tá não pode mentir para tua mãe não vai mentir meu coração para tua irmã,2,2026-02-11T01:11:51Z,1
UgxfvOXlLZCyR7zfVHZ4AaABAg,@Tinasalton30,MAIS SE VC NÃO TER AULA COM A PROFESSORA VC VAI PODER SÓ BRINCAR,1,2026-02-10T22:09:31Z,4
Ugw3CqiCTRFYIbp1_7x4AaABAg,@ClaraGonçalves-c9q,Meu amor Deus a tua mãe tá mentindo ela tá me entendendo ela só quer viver a tua irmã eu sei que ninguém tá a ver mas eu sei que tenho uma câmera sem nada mãe tá a mentir porque aquela tem uma preferida,0,2026-02-10T18:25:10Z,0
UgwPhIeKgKtL46YhrUl4AaABAg,@Udbdhddh-p7o,RT io😅😮😢❤❤😅😅🎉,0,2026-02-10T16:31:24Z,0
Ugzj65xC7vHk2uY09EF4AaABAg,@Udbdhddh-p7o,RT 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,1,2026-02-10T16:30:52Z,0
Ugz85g3x7OkwHiUq1hV4AaABAg,@Agathasantana-j6o7g,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2026-02-10T14:45:11Z,1
Ugxk_3pryvKwZb4J2SR4AaABAg,@LunaGonçalves-l4r,Luna,9,2026-02-10T10:42:10Z,0
UgxNhpzTrYbj-fl8KZl4AaABAg,@AbsolutyColor-b8y,Amei ❤,5,2026-02-10T09:29:50Z,1
