comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugx9mAuVFdsdyHMrtnp4AaABAg,@sophiasantosggomes9348,Ugx9mAuVFdsdyHMrtnp4AaABAg.AT8LeQmSDYYATE-wvmoEeZ,@NoeliGuedes,Cala a boca você também tá copiando os outros fazendo vídeo na internet ninguém tá falando nada,0,2026-02-15T00:06:25Z
Ugx9mAuVFdsdyHMrtnp4AaABAg,@sophiasantosggomes9348,Ugx9mAuVFdsdyHMrtnp4AaABAg.AT8LeQmSDYYATE0-MHC2GZ,@NoeliGuedes,Cala a boca você também tá copiando os outros gravando vídeo,0,2026-02-15T00:06:53Z
Ugx9mAuVFdsdyHMrtnp4AaABAg,@sophiasantosggomes9348,Ugx9mAuVFdsdyHMrtnp4AaABAg.AT8LeQmSDYYATE02L_Z9GZ,@NoeliGuedes,E ninguém tá falando nada independente que ela tá copiando ela ela só ainda não tem um vídeo próprio para ela gravar um dia ela vai conseguir escritos melhores do que você,0,2026-02-15T00:07:18Z
UgxGk1rWkLXxqvGbeZ14AaABAg,@michelenogueira5784,UgxGk1rWkLXxqvGbeZ14AaABAg.AT3pFbk3C5ZAT8Wq1orNRE,@reisdani1012,MDS..N entendi merda nenhuma,0,2026-02-12T20:58:24Z
UgxfvOXlLZCyR7zfVHZ4AaABAg,@Tinasalton30,UgxfvOXlLZCyR7zfVHZ4AaABAg.AT3VOE6eH2jAT3ee28fFj2,@AlterEgo_DR1,Exato,1,2026-02-10T23:39:12Z
UgxfvOXlLZCyR7zfVHZ4AaABAg,@Tinasalton30,UgxfvOXlLZCyR7zfVHZ4AaABAg.AT3VOE6eH2jAT3t2vpXMIs,@jadynogueira4142,Entendi foi nada ;-;,1,2026-02-11T01:45:04Z
UgxfvOXlLZCyR7zfVHZ4AaABAg,@Tinasalton30,UgxfvOXlLZCyR7zfVHZ4AaABAg.AT3VOE6eH2jAT5721rvpBn,@AlterEgo_DR1,"​@jadynogueira4142  é que a tina provavelmente é uma veia de 60 anos que não entende as coisas. A tina está reclamando da pessoa do vídeo que disse que não queria ter aula,e ela está reclamando de que se não ter aula só vai sobra a parte divertida",0,2026-02-11T13:15:15Z
UgxfvOXlLZCyR7zfVHZ4AaABAg,@Tinasalton30,UgxfvOXlLZCyR7zfVHZ4AaABAg.AT3VOE6eH2jAT57Cc2SN76,@AlterEgo_DR1,​​@jadynogueira4142 a tina está reclamando da personagem do vídeo que não queria ter aula e a tina está dizendo que assim fica injusto e só sobraria a parte pra brincar (esse aqui é o resumo da outra resposta caso tenha ficado muito longa),0,2026-02-11T13:16:42Z
Ugz85g3x7OkwHiUq1hV4AaABAg,@Agathasantana-j6o7g,Ugz85g3x7OkwHiUq1hV4AaABAg.AT2hXlF9jrJAT2vW9g80qf,@MaiteGomes-j4w,❤🎉🎉😮😅😊😅,0,2026-02-10T16:47:18Z
UgxNhpzTrYbj-fl8KZl4AaABAg,@AbsolutyColor-b8y,UgxNhpzTrYbj-fl8KZl4AaABAg.AT28S6cUd8XAT62tdV85JS,@SelmaCosta-j2d,😊😊😊😊😊😊😊,0,2026-02-11T21:58:16Z
