comment_id,author,text,like_count,published_at,reply_count
UgwRrGClE_53L95-3514AaABAg,@MariaGomes-pn8qr,😢*_^?;😂😂🎉😂 F,0,2026-02-18T13:30:41Z,0
UgxbJ-4uVY1LaGw9Zy54AaABAg,@GabrielGamerCS,Créditos: morimura,0,2026-02-18T12:09:02Z,0
Ugz1JId-K99a6RfAA_Z4AaABAg,@BrenoRafael-v9e,5,0,2026-02-18T11:36:59Z,0
Ugxqyt5Wb_vb2q7bvxt4AaABAg,@luizgustavofonsecadelimaFonsec,no final todo mundo passou sem fazer nada kkkkk,0,2026-02-18T03:53:22Z,0
Ugz-u4Njibf3r577aEZ4AaABAg,@rosilenenascimento5176,MATHEEEEEEEEEEEEEEEEEEUS👹👹👹👹👹,0,2026-02-18T00:41:32Z,0
Ugz_7JQ5UMh99up_1jR4AaABAg,@BernardoRibeiro-s7v,"Di28znw /jskqkdei2rjz91ixbe8zgeoxb9dhw93jsi2jdsheisxhhwi/n3ozj2kzjebzkwidoqkwlej2izlewpdnwhepejdlqlrhdj3icnxne8ddnsns0ejssjseeeeeeseeeejienxiwjzowjeiwudhsieiejdiwhe8dh38sjeudgei3id8shdie8widjowotiwicj38sieix9ejxi2kcosk2ozekske92jsie8r8ie8eeodisieiwidi3iduei2isii3i8ueiei3usieifi3izu4ud83if83id838d83idfjsi3idi3ixi3isieeisieis83jsi38sieiz829si3isieosi3os2i9dkejdidkejxnejdi3icn39xn39djejdneks8eisuej3ixjeisiiwudueixhqidirifjcjdiejxjd7ehrjudsugkgidhtjeigisfifjei 7furureudjfje8deu4jdixijedjziiejsjodskejejissieiejdix8ieisoieeisisissdgyegi2ixiejzieisidkwkzkekqkzjfkqkdiekxkakdkskxkrkzkdekdkdkeeszkejsesekdktixifkeidei😂😂😂😂😂😂ido3iziejxieizkc dkri2id  ei2isi3i        ieo2osi2ieie     ieiei3ksi    oeo3osi     ieo2osi3i        ekso2idk        oi3o2ksi    iejei meio ieici3ici2kçi irixi3ixi ieisi o3jdieoeisi3osi3oso2osiwkziqidiq9ieowodoqoroqduwi1oso2oroqoeo2os oso3odmmkdjdidiiex8eujeisuzhejcirifieifi3ixidieieiseidieieie


Ekekekeejenxneidieefjei292jxjeizk2cnskxosoekdzjejsddéddeddddeeeeedddddkeow0wlskqo2iiwiwiaiwuc92l 9",0,2026-02-17T17:48:43Z,0
UgwAL-T_ofphPXZPsah4AaABAg,@Limarxnz,A escola era bem melhor naquela hora 😢,0,2026-02-17T01:50:03Z,0
UgxIu-7LM3umL_2ADMJ4AaABAg,@titia_poppyy,"Cara, ele querendo se enrolar na coberta e ficando sem coberta kkkkkk",0,2026-02-17T01:35:13Z,0
UgyIqxCmJugADz6_z0N4AaABAg,@sonos4usa,Mano pior que era assim😂,0,2026-02-16T23:42:06Z,0
UgwozaiOT3HiR9fr9Mh4AaABAg,@MariadasGraçascandidodesouzaSo,ih-fmd-pjg,0,2026-02-16T23:39:07Z,0
Ugy7AyxzRiWU7ckSg1N4AaABAg,@bellyoficial123b,Eu nem via,0,2026-02-16T21:26:39Z,0
UgxuCMG2LulIHlSzZVF4AaABAg,@JoãoLucasSouzaMartins-r6i,Não te en tereça,0,2026-02-16T18:35:29Z,0
UgytxzYROYjqhEwRn1t4AaABAg,@enolaholmes-910,Pra qM N entendeu essa era a época da pandemia aí ninguém podia sair de casa e fazia aula on-line,14,2026-02-16T17:36:31Z,5
Ugxdl1xpGytCpRikz7R4AaABAg,@GessicaViena,Kkk quase quebrou o notbook kkkkkkkk,0,2026-02-16T15:20:06Z,0
UgyLmfds67b_koDZTmV4AaABAg,@joeltonsoares3564,(weep),0,2026-02-16T14:47:28Z,0
UgxwYfqrCdfducDFDlB4AaABAg,@mrdanigamesofc,Créditos ao: @morimoura,0,2026-02-16T14:45:00Z,0
Ugw-a8xGoQTX0FAwd8B4AaABAg,@Matheus.felippe,Copiou de novo man,0,2026-02-16T13:35:50Z,0
Ugw3628qOUlBW7vaaLF4AaABAg,@anthonymanuiama,O pessoal odiou muito pq literalmente todos ficaram anti social,0,2026-02-16T13:05:04Z,0
Ugxy6w6ofk78EKV786V4AaABAg,@dayanewolhers,"Para de colocar vídeos de outras pessoas, se as pessoas saberem elas com certeza n iriam gostar",0,2026-02-16T13:02:30Z,0
UgxRJV89ViHwMzNZbxZ4AaABAg,@JusceleneLopes,Kkkkkk,0,2026-02-16T12:21:34Z,0
UgyREooY-1EWIb5nhml4AaABAg,@fatimalima-pg2nh,Quebrou o notebook kkkkk😅😂😂😂,0,2026-02-16T02:55:03Z,0
Ugzhnk_eDXXKuRFCrCx4AaABAg,@ALANAFARIAS-j1t,Alguém sabe qual é ó iotube dele se alguém sabe me fala por favor,0,2026-02-16T02:54:08Z,1
Ugxn66sg8ROqsKX3N-l4AaABAg,@anya_fofis7,"Mateus Mateus Mateus 👹
Oiê🤨",0,2026-02-16T02:34:25Z,0
UgwoECghYkVod6lTmNR4AaABAg,@portalpapelaria7736,É bem assim 2020  online,2,2026-02-16T02:05:56Z,0
UgypaDqW7575EMiysil4AaABAg,@M7Formaturas,Kakakka morri de ri,0,2026-02-16T01:49:52Z,0
UgyWXGrOOgr-xNq1elx4AaABAg,@ireneismelia1868,N tenho sdd da pandemia mas tenho saudade d poder dormi😢,0,2026-02-16T01:43:43Z,0
UgwOvatPtdM3b4xJHb94AaABAg,@SebastiaoclaroSilva,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🎉😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2026-02-16T01:41:20Z,0
Ugy8wNgVd67OoBv8QG54AaABAg,@André-b8i9z,Kkk era bemasim,0,2026-02-16T01:31:28Z,0
UgwuzHxwYFE2fKuGk9J4AaABAg,@ClaudineiSouza-d2m,A dormindo igual uma pedra kkk,3,2026-02-16T01:22:42Z,0
UgxfIOEyc2d0LvIZCQB4AaABAg,@JoaoGabrielGomes-i9i,Os vídeos de 2050 ;-;,0,2026-02-16T00:45:07Z,0
UgwnirKFTeBg6c-ErmJ4AaABAg,@AliceSouza-d9m,Concordo eu odeio qnd coloca coisas no lado,0,2026-02-16T00:42:50Z,0
UgwuyGc5z0MXa2RY4DB4AaABAg,@gregoriovidaljatva8492,Por isso q era bom,0,2026-02-15T23:55:56Z,0
UgxdEyVhe0AgKtPBUwJ4AaABAg,@emily_meloxx,Matheus Matheus MATHEUS 👹👺👹👹👺,0,2026-02-15T23:52:07Z,0
UgwlqlQ-wJyydRt3AC54AaABAg,@Nico777gamer-c2o,Oi,0,2026-02-15T23:32:40Z,0
UgyzP-Y0Evek0q9H01Z4AaABAg,@IsaacGomes-c6t3p,É assim mesmo 😂😂😂😂,0,2026-02-15T23:25:07Z,0
UgwQP0S_nflI2Qxh0J54AaABAg,@RosanaGomes-z4n,😂,0,2026-02-15T23:05:17Z,0
Ugzbw1f4tyWkhcRzZst4AaABAg,@TaináAndrade-r6t,Vcs tinham aula online?eu ia pra escola de máscara...FORÇADA PELOS MEUS PAIS,0,2026-02-15T22:56:00Z,0
UgwgG3y8YIXtVCMBcoN4AaABAg,@FLAMENGOTIMECANPENO,Kkkkk,0,2026-02-15T22:23:36Z,0
Ugy16K4UUxnVQP7_tER4AaABAg,@AnapaulaLima-s5w,Um,0,2026-02-15T22:08:03Z,0
Ugyq0gXa64FBs1gL-6F4AaABAg,@kaunyrosa1636,Eu nasci em 2020🤨,0,2026-02-15T21:57:09Z,0
UgwU75AbhrWxYcdjwCJ4AaABAg,@robertorodriguesdossantoss184,É pq o vídeo n é verdadeiro o vídeo é de outra pessoa,1,2026-02-15T21:56:34Z,0
Ugz8Br9Uy0D2-WGIuRt4AaABAg,@afonsosilva5705,😂😂😂😂😂kkkk,0,2026-02-15T21:54:01Z,0
UgwAvoz8ZP5DH_vEUyt4AaABAg,@EdilenePereira-c8f,😂😂😂😂😂😂😂😂😂😂,0,2026-02-15T21:41:48Z,0
UgwP9GfFfZaZFxt55x94AaABAg,@DonatoBasilioDosSantos,###########################,0,2026-02-15T21:32:56Z,0
UgwjQ66tE2zpbIPpIrx4AaABAg,@samuelsleeping,Coloque os crédito pelo menos,0,2026-02-15T20:23:49Z,0
UgwSF0oW0NvK2BOrnRh4AaABAg,@DéboraPaulino-g9k,EU TAMBEM NAO,0,2026-02-15T20:22:35Z,0
UgwYbGnqMiYxmU7ue4p4AaABAg,@lasz4s,"Assistir o vídeo original❌
Assistir o vídeo do lado com coisas satisfatórias✅",1,2026-02-15T20:05:49Z,0
UgzBLaENoiV1bOkvopx4AaABAg,@RutheGraziela,Créditos: morimoura,0,2026-02-15T19:54:30Z,0
UgzLrKtu820soFv9A1R4AaABAg,@Linn_limao.2,Ok,0,2026-02-15T19:46:58Z,0
UgzLoU1haRiLJRQleit4AaABAg,@HelenaGomes-l1d9j,Bem que hoje em dia as aulas podia ser assim 😞🥺. Kkkkkk,2,2026-02-15T19:29:37Z,0
UgwoEBewGNatD9xhW7x4AaABAg,@dinobaby2.0,Ainda bem que nessa época eu tava no pré,2,2026-02-15T19:00:31Z,1
UgzSH9iR5cbXyIffB9t4AaABAg,@LaraSilva-x4m,😂😂😂😂😂😂😂😂😂😂😂😂,1,2026-02-15T18:54:20Z,0
UgwhGUhl3wFcuMSahql4AaABAg,@jpmusicas5895,😂😂😂😂😂😂😂😂kkkkkkkkkkkkkkkkkkkkkk,2,2026-02-15T18:35:03Z,0
Ugw1X4DjpbNtFDMZbgR4AaABAg,@Dandy-x9m,Ô morimura falando ah e fechando pra dormir😂kkkkk,30,2026-02-15T18:27:59Z,4
UgxN1Lc7gFzYEGjk8zV4AaABAg,@mariasouza-dd1rt,Meu nome e matheus ;-;,0,2026-02-15T18:17:17Z,0
UgxbRDkn5mG-2LsHusB4AaABAg,@geovanelanoa4936,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0,2026-02-15T18:11:39Z,0
UgyFuJxwsOErsf2D8NZ4AaABAg,@GabrielOliveira-d2v,Por que não é o canal dele,0,2026-02-15T18:05:53Z,0
Ugwrvv65cJpNjT-m2fV4AaABAg,@thaianjoos5687,😂,1,2026-02-15T18:00:17Z,0
UgyZ2pACJjHGy3iIpCt4AaABAg,@MatheusAraujo-gn8yr,Matheus  Matheus MATHEUSSSS kkkk,6,2026-02-15T17:30:00Z,0
Ugys3Ojf7Q6PuRHBaLB4AaABAg,@SebastiãoAlves-g2b,Era porque em 2020 era a pandemia corona viros aí ninguém podia sai de casa aí por isso era assim as aulas,0,2026-02-15T17:03:35Z,0
Ugxvu2AF9-HVxmGR0HF4AaABAg,@carmencosta-f1s,Cara quem que fica assistindo isso no lado da tela massa colorido sendo jogado pessoas jogando garrafa tipo o vídeo é pra assistir não pra ficar um doido assistindo isso no lado ainda fica copiando vídeo dos outros,0,2026-02-15T16:55:27Z,0
UgyUyHeNwSFQjz-a_XN4AaABAg,@andersonelizeuspereira2258,6h,0,2026-02-15T16:54:40Z,0
UgzjmVBnFKX2ff_gWCx4AaABAg,@Symon_Ghost_Reley_141,Como o cara consegue esse tanto de vils roubando vídeos,0,2026-02-15T16:47:19Z,0
UgzhLjGu2zgXFuI1T3R4AaABAg,@Helenagamr28-v9y,Créditos:mori Moura,3,2026-02-15T16:42:30Z,0
UgxueymJFtdEVAI-s1t4AaABAg,@ElizabethCristinaMendesFerreir,Por que o vídeo de outra pessoa,0,2026-02-15T16:39:49Z,0
Ugx0EEUmX16j_7B8WXB4AaABAg,@PATRICIAMACHADO-q7p,Kkkkkkkkk e eu soque esse é versão masculina kakakakakakakkakakakakkakaka,1,2026-02-15T16:34:38Z,0
Ugzyil6QGuR_kFr9JxN4AaABAg,@franciscoelisandro808,Eu tava no pré eu nao tinha aula kkkkkkkkkk nasci em 2015,1,2026-02-15T16:34:28Z,1
UgxcwnsS7um6yrjutVJ4AaABAg,@matheuswilbert1546,OWYSPSH,0,2026-02-15T16:18:56Z,0
UgwFuK4kyOLo8KNlSod4AaABAg,@cresercomdavi,"Worse, it's true.",1,2026-02-15T16:15:11Z,0
Ugy2EYExIuutF0SswfZ4AaABAg,@EzielTavaresPessoa,Fecha o notebook devagar kkk,6,2026-02-15T16:09:48Z,0
UgzEJCIaRDNNl3LMfWF4AaABAg,@nathaliapiresdasilva4510,Kakakakakakaka,2,2026-02-15T13:47:46Z,0
UgzBnf4YpcduudiH4cp4AaABAg,@AndsonAndrade-j6c,Por que coloca esses negócios no lado?,38,2026-02-15T12:10:46Z,5
