comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgytxzYROYjqhEwRn1t4AaABAg,@enolaholmes-910,UgytxzYROYjqhEwRn1t4AaABAg.ATISuwqOQ3yATJHySiFDz6,@elainegomes6828,Mds mn como alguem nn sabe,5,2026-02-17T01:20:07Z
UgytxzYROYjqhEwRn1t4AaABAg,@enolaholmes-910,UgytxzYROYjqhEwRn1t4AaABAg.ATISuwqOQ3yATJVJowDnWQ,@EdersonCosta-e2b,​@elainegomes6828eu,0,2026-02-17T03:16:46Z
UgytxzYROYjqhEwRn1t4AaABAg,@enolaholmes-910,UgytxzYROYjqhEwRn1t4AaABAg.ATISuwqOQ3yATLAqJadf14,@cleidianefreitas1552,@elainegomes6828 cala a boca,0,2026-02-17T18:56:19Z
UgytxzYROYjqhEwRn1t4AaABAg,@enolaholmes-910,UgytxzYROYjqhEwRn1t4AaABAg.ATISuwqOQ3yATLkOFfo9EN,@DRFaiil,"kakaakak pqp acho que as unicas pessoas que n sabem sao as crianças de hj, foi bem inútil explicar isso",1,2026-02-18T00:15:41Z
UgytxzYROYjqhEwRn1t4AaABAg,@enolaholmes-910,UgytxzYROYjqhEwRn1t4AaABAg.ATISuwqOQ3yATLlZdM9nyK,@cleidianefreitas1552,cala boca você TamBém,0,2026-02-18T00:25:57Z
Ugzhnk_eDXXKuRFCrCx4AaABAg,@ALANAFARIAS-j1t,Ugzhnk_eDXXKuRFCrCx4AaABAg.ATGsw7bh4TbATLcJ8B39ap,@Qjmx,Morimura,0,2026-02-17T23:05:04Z
UgwoEBewGNatD9xhW7x4AaABAg,@dinobaby2.0,UgwoEBewGNatD9xhW7x4AaABAg.ATG1jIUmq0iATGD9yJkyFg,@elisangelaalves6722,Se tem 6 anos?,0,2026-02-15T20:40:25Z
Ugw1X4DjpbNtFDMZbgR4AaABAg,@Dandy-x9m,Ugw1X4DjpbNtFDMZbgR4AaABAg.ATFz02fOebvATFzg0MKUoq,@amo_dandy-q4g,Dois DaNdY?,0,2026-02-15T18:33:51Z
Ugw1X4DjpbNtFDMZbgR4AaABAg,@Dandy-x9m,Ugw1X4DjpbNtFDMZbgR4AaABAg.ATFz02fOebvATG5_EPWf4s,@Dandy-x9m,​@amo_dandy-q4gOxi kkkkkkk😂😂😂,0,2026-02-15T19:34:06Z
Ugw1X4DjpbNtFDMZbgR4AaABAg,@Dandy-x9m,Ugw1X4DjpbNtFDMZbgR4AaABAg.ATFz02fOebvATGTEqzcL4W,@MariaYasmim-e7p,"1+2=3×5+6+78+=8+9,?",1,2026-02-15T23:00:54Z
Ugw1X4DjpbNtFDMZbgR4AaABAg,@Dandy-x9m,Ugw1X4DjpbNtFDMZbgR4AaABAg.ATFz02fOebvATGmhbPxHV5,@lauraS.974,😂😂😂🤨🤨,0,2026-02-16T01:59:43Z
Ugzyil6QGuR_kFr9JxN4AaABAg,@franciscoelisandro808,Ugzyil6QGuR_kFr9JxN4AaABAg.ATFm0ZB9bqsATFr1nSmI6V,@Momo.ayase1-u2c,E em 2020 não em 2015😂😂😂 eu entendi errado kkkkk,0,2026-02-15T17:18:20Z
UgzBnf4YpcduudiH4cp4AaABAg,@AndsonAndrade-j6c,UgzBnf4YpcduudiH4cp4AaABAg.ATFIqBF_st_ATFc97CJc3i,@kaiomiguel5386,Não é o vídeo original,4,2026-02-15T15:08:15Z
UgzBnf4YpcduudiH4cp4AaABAg,@AndsonAndrade-j6c,UgzBnf4YpcduudiH4cp4AaABAg.ATFIqBF_st_ATFkMtTgcPq,@marcelofeitosa-rs5ju,não e o vídeo dele,4,2026-02-15T16:20:02Z
UgzBnf4YpcduudiH4cp4AaABAg,@AndsonAndrade-j6c,UgzBnf4YpcduudiH4cp4AaABAg.ATFIqBF_st_ATFl4-VLB4U,@Dorgival-d6z,Ele só copiou o vídeo e botou isso do lado,11,2026-02-15T16:26:12Z
UgzBnf4YpcduudiH4cp4AaABAg,@AndsonAndrade-j6c,UgzBnf4YpcduudiH4cp4AaABAg.ATFIqBF_st_ATFm0RHEKin,@joseluissilvarocha3638,Eles estão tentando ganhar fama dos outros youtubers 😐,5,2026-02-15T16:34:27Z
UgzBnf4YpcduudiH4cp4AaABAg,@AndsonAndrade-j6c,UgzBnf4YpcduudiH4cp4AaABAg.ATFIqBF_st_ATFmhBZkcff,@BrenoGabriel-t7f,Pra agente entender mais,5,2026-02-15T16:40:25Z
