comment_id,author,text,like_count,published_at,reply_count
UgwK91jUjpZMtqYne_Z4AaABAg,@lucasxd7375,Oi❤,0,2026-02-18T09:41:07Z,0
UgwnadbpIUtN-YSsmyd4AaABAg,@weverton274,Estados Unidos,0,2026-02-18T07:05:39Z,0
UgzmnQRvc7r35vnSi5R4AaABAg,@solangedelphino3209,que menina linda ❤,0,2026-02-18T00:43:18Z,0
UgxpDJrvXlojnFRc09t4AaABAg,@DeividMallet,Gente quem tiver o meu@Daí pode ver os meus dentes grandões que igual dessa garota e eu eu também tenho dente de vampiro mas ele mas eu não falei para o halloween tá gente eles apareceram do nada da minha boca 😆😆😆😆😆😆,0,2026-02-17T20:54:59Z,0
UgxH_K_9m4YR1J7lDRl4AaABAg,@Mariaalice-k3g3h,Primeiro ela não tava vestida de vampiro skin Natal vestido de lobisomem terceiro no amor de ninguém que deixa o like você só faz isso para ganhar like quarto ela não se tornou uma vampira,0,2026-02-16T19:13:49Z,0
UgwO9mei69KjHVCw9EB4AaABAg,@ShoPe-b8s,Menina que escreveu primeiro não precisa ficar comigo kkk ela pode ser um pouco um pouco japonês essas coisas não precisa ficar com medo pessoal light,0,2026-02-15T23:53:29Z,0
UgztTKtp7wbUBzbOEDF4AaABAg,@MariaFatima-b1x1h,❤❤❤❤❤😂😲,0,2026-02-15T22:42:42Z,0
UgxKAAGtCIKHCswiPX94AaABAg,@reginacorreia6055,🤤🤤🤤🤤🤤😋,0,2026-02-15T22:36:01Z,0
UgzgLgT44bpw6rJK0Ph4AaABAg,@LaviniaLima-f4g,meu.  Deus.  do.  céu,0,2026-02-15T22:18:38Z,0
UgwVN9Rzsx7qSas3eDV4AaABAg,@josefsilvareis7111,😮😮😮😮😮,0,2026-02-15T20:46:33Z,0
Ugwp9lM43ibrx4ZLhWV4AaABAg,@MariaMadalenaGomes-m5w,🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬😡😠😤😮‍💨,0,2026-02-15T20:45:50Z,0
Ugyczmf1D6LzzlyTmQd4AaABAg,@luciana842011,Whfbdorirwx,0,2026-02-15T20:10:39Z,0
