comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgxYxdYUiswIbvUC0zB4AaABAg,@chauandalima9081,UgxYxdYUiswIbvUC0zB4AaABAg.ATDNKdnBcWmATER4U0sX5W,@ritadecassiasilvadesouza4675,Socorro kakakakaka,0,2026-02-15T04:03:31Z
UgzxNd4XUfVxcsvLavF4AaABAg,@KarolineCleisiely,UgzxNd4XUfVxcsvLavF4AaABAg.ATBeou1aIRGATKPxzCybTv,@KarinesilvaSilva-iq4zm,😮😮😢😢,0,2026-02-17T11:49:12Z
Ugyj6Ju5thUNXPOIxWd4AaABAg,@phillipeharleyeterezinha7226,Ugyj6Ju5thUNXPOIxWd4AaABAg.AT986ckSGH2ATG-ug8Okgs,@matheusdutra662,ELISA 😮,1,2026-02-15T18:44:36Z
UgyY2mN4ZlFb6dceJIR4AaABAg,@thaianymonique1386,UgyY2mN4ZlFb6dceJIR4AaABAg.AT8d_SC6XuPATLZdqRdt4e,@manuelamariapaivapaula3715,VaGaBUDa,0,2026-02-17T22:33:04Z
UgyDpkwvBtNPB6FW9lt4AaABAg,@DaniMelo-l6v,UgyDpkwvBtNPB6FW9lt4AaABAg.AT84rcpCawuAT8SE7tfycA,@flavia-h1q,Eu também,0,2026-02-12T20:18:08Z
UgyDpkwvBtNPB6FW9lt4AaABAg,@DaniMelo-l6v,UgyDpkwvBtNPB6FW9lt4AaABAg.AT84rcpCawuAT8UeSm00Rm,@MaiteCosta-q1b,😮😮😮😮😮😮😮😮😂😂😮😮😮,0,2026-02-12T20:39:20Z
UgyDpkwvBtNPB6FW9lt4AaABAg,@DaniMelo-l6v,UgyDpkwvBtNPB6FW9lt4AaABAg.AT84rcpCawuAT8fmCb9fV3,@isabellabatistadecarvalhov459,Minha best tbmmm,0,2026-02-12T22:25:15Z
UgyDpkwvBtNPB6FW9lt4AaABAg,@DaniMelo-l6v,UgyDpkwvBtNPB6FW9lt4AaABAg.AT84rcpCawuAT8kmih1dfV,@dosferreiras,Eu também  tenho  não  jugo é  muito  bonita  pessoas com presa 😊,0,2026-02-12T23:09:01Z
UgyDpkwvBtNPB6FW9lt4AaABAg,@DaniMelo-l6v,UgyDpkwvBtNPB6FW9lt4AaABAg.AT84rcpCawuAT91VYDgCTK,@Davl0KI,Todo mundo tem 😑,0,2026-02-13T01:43:49Z
Ugxp-roY4iPqhucBZul4AaABAg,@HJSOLUCOESAUTOMOTIVAS,Ugxp-roY4iPqhucBZul4AaABAg.AT7ql3roW4LAT94qQxvhjW,@JefersonMengo-b2b,Deus me livre Ana tô falando a verdade o ventilador caiu da minha,0,2026-02-13T02:13:01Z
UgxBzJuAgvrpbjsPkP14AaABAg,@marcoleao4495,UgxBzJuAgvrpbjsPkP14AaABAg.AT7fi_0bjtzAT8BXI6C7lk,@OfcJasmin,Mostre os assustador,1,2026-02-12T17:52:12Z
UgzXudr-MDVGf2emM0l4AaABAg,@marcoleao4495,UgzXudr-MDVGf2emM0l4AaABAg.AT7fhtn-oUQAT7ftt_JMvA,@Italo_DS_FF,Primeiro e minha bola,0,2026-02-12T13:07:04Z
