comment_id,author,text,like_count,published_at,reply_count
UgxSBN83DVTU7wDWKBB4AaABAg,@Laura-t5w6y,67,0,2026-02-18T13:18:56Z,0
UgwwkBeFKdUdGxTDu814AaABAg,@paulo1934,Só pra quem não entendeu esse garoto já está morto é o espírito do filho dele que tá conversando com o pai só que o pai não sabe ixe Maria e a mãe. Ele tava compensando o pai. Recompensando,0,2026-02-17T10:05:30Z,0
Ugys_5DwhzmAp2nXdIl4AaABAg,@allyson_40,mlk com os olhos do capeta,0,2026-02-17T04:09:42Z,0
Ugzj3Qo-Me5JqD0mQX54AaABAg,@Agjmanjs_Sanshjsm,"Pai: mas esses 20 reais que te dei vinheram do meu trabalho, então você só tirou uma extra que eu iria fazer",0,2026-02-16T23:35:00Z,0
UgxTjol1Vb0gj9A_mLh4AaABAg,@JoséGabriel-e5h3f,Mano mais o pai dele teve que desenbolsar mas 10 reais pra ele o seja falto 10 reais,1,2026-02-16T22:52:00Z,0
UgykmAx0gyDw4wjyVRB4AaABAg,@EvertonDaSilvabispo-h9t,20 real por hora 💀,0,2026-02-16T21:47:25Z,0
UgyMVRaSRypMNkfx1H94AaABAg,@FranciscoJonasSousa-e1p,😭😭😭😭😭😭😭😭🥰🥰🥰🥰🥰🥰🫶🏻,0,2026-02-16T20:57:00Z,0
Ugx4xfQBWS1qexepUG94AaABAg,@DaviCarneirodeSouza,"20 reais na hora é bastante dinheiro até, fiz as contas aqui e se estiver certo o pai ganha 7200 reais em um mês (30 dias)",67,2026-02-16T20:04:11Z,5
Ugz7PAQaxHNDCn-zU9Z4AaABAg,@NicolasMoraes-g5d,😢😢,0,2026-02-16T19:38:32Z,0
UgxRWKrLhycvYgZ6Jft4AaABAg,@GSouza-l5n,𝑸𝒖𝒂𝒓𝒆𝒏𝒕𝒆𝒔𝒔𝒆𝒔𝒊𝒎𝒐𝒔𝒆𝒔𝒕𝒐,0,2026-02-16T18:57:50Z,0
UgzY9l5gFlZnDuIZIYF4AaABAg,@interlakenmacc,Não já fui muitas vezes,1,2026-02-16T18:13:48Z,0
UgwdwJj7z7WRAdPIrw54AaABAg,@FernandoSaulo-z5s2y,Mano que lindo,1,2026-02-16T17:38:41Z,0
UgwwaDmOIyDvTdBZpfx4AaABAg,@marianaalves4324,Tem serteza,0,2026-02-16T13:17:37Z,0
Ugw_QqYRcJ7wEiPxL4J4AaABAg,@Masters_Roblox,Nunca esperei por esse final 😭😭muito fofo😊❤,6,2026-02-16T12:52:46Z,0
UgyUIuJWouL6ByGgpKN4AaABAg,@Dipsley,Qual maconha esse mlk fumou😂😂😂😂,0,2026-02-16T05:11:37Z,0
UgwpOJYSc_VYBbfJmIV4AaABAg,@GueleJoão,❤❤❤,0,2026-02-16T02:41:19Z,0
Ugw7HXnb4IDe3_5rRsV4AaABAg,@SolinaraFavero-sw5ng,O nauta é um gênio,0,2026-02-16T01:56:26Z,0
