comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugx4xfQBWS1qexepUG94AaABAg,@DaviCarneirodeSouza,Ugx4xfQBWS1qexepUG94AaABAg.ATIioPrZOMfATIp-e20jm3,@REVILRESIDENT,"E pouco pra empresário, por que se observa, aquele pai e empresário",6,2026-02-16T20:58:17Z
Ugx4xfQBWS1qexepUG94AaABAg,@DaviCarneirodeSouza,Ugx4xfQBWS1qexepUG94AaABAg.ATIioPrZOMfATJ-RyLmz1A,@LuísFernano-l3e,"​@REVILRESIDENT ele pode n 
ser n julgue o livro pela capa",2,2026-02-16T22:38:16Z
Ugx4xfQBWS1qexepUG94AaABAg,@DaviCarneirodeSouza,Ugx4xfQBWS1qexepUG94AaABAg.ATIioPrZOMfATJ0PwrwjzI,@FefeplayBS,​@LuísFernano-l3ee ele e um livro ?,1,2026-02-16T22:46:43Z
Ugx4xfQBWS1qexepUG94AaABAg,@DaviCarneirodeSouza,Ugx4xfQBWS1qexepUG94AaABAg.ATIioPrZOMfATJ5KuKpFpl,@rayanalucas6406,​@FefeplayBSisso também serve para humanos,1,2026-02-16T23:29:44Z
Ugx4xfQBWS1qexepUG94AaABAg,@DaviCarneirodeSouza,Ugx4xfQBWS1qexepUG94AaABAg.ATIioPrZOMfATJRVfSwjMq,@SSERPRILDEMONDOKA,E ele vai morar agora no trabalho é?,1,2026-02-17T02:43:26Z
Ugxb4NZY1eHYgLne60Z4AaABAg,@Arturspezia,Ugxb4NZY1eHYgLne60Z4AaABAg.ATGcQY_uPAQATGgbdEfxDa,@JoseNilson-m3p,Pra mim também kkk,1,2026-02-16T01:06:28Z
Ugxnyb1_MwP93MiG1MR4AaABAg,@WilliamRafael-k7j,Ugxnyb1_MwP93MiG1MR4AaABAg.ATGZYwejWRCATGghfzmI0r,@JoseNilson-m3p,"Meu pai morreu quando eu tinha 2 anos e 8 meses 

Pesamis pra nós dois",2,2026-02-16T01:07:18Z
Ugxnyb1_MwP93MiG1MR4AaABAg,@WilliamRafael-k7j,Ugxnyb1_MwP93MiG1MR4AaABAg.ATGZYwejWRCATGjQ-3x6V-,@fãdaplayGuima-ow7,Eu tbm deve ser tão bom:(,0,2026-02-16T01:30:58Z
Ugxnyb1_MwP93MiG1MR4AaABAg,@WilliamRafael-k7j,Ugxnyb1_MwP93MiG1MR4AaABAg.ATGZYwejWRCATIfV0Fthth,@Goku-q2l6r,fds,0,2026-02-16T19:35:11Z
UgzXhz0RgwxbvahB_Qh4AaABAg,@DiegodeJesusGomesMachado,UgzXhz0RgwxbvahB_Qh4AaABAg.ATGVLSaSnSDATIbnpx_vdK,@BernardoTalim88,Premiação concedida é soldado 😭,1,2026-02-16T19:02:56Z
UgwD8jK6br3EL1OmSzx4AaABAg,@isabelamaria-d9z,UgwD8jK6br3EL1OmSzx4AaABAg.ATGGv9L8NOXATGHiuWHVYU,@F12h8k,Esse é dos nossos,4,2026-02-15T21:20:16Z
UgwD8jK6br3EL1OmSzx4AaABAg,@isabelamaria-d9z,UgwD8jK6br3EL1OmSzx4AaABAg.ATGGv9L8NOXATGUyjCdtfP,@MurielDejesus-m3l,​@F12h8kvdd kkk,0,2026-02-15T23:16:02Z
Ugxy20JuOZOIn-3ImFp4AaABAg,@franciscobarros1101,Ugxy20JuOZOIn-3ImFp4AaABAg.ATGFL5pIorVATGH08lEi4p,@isabelamaria-d9z,Gênio da matemática,2,2026-02-15T21:14:02Z
UgzuoT1kcXHha5Bdn-d4AaABAg,@ValeskaAlves-y9k,UgzuoT1kcXHha5Bdn-d4AaABAg.ATGExn8icxQATGUWh4No1B,@Rhuanzin_Ofc,Fixado na lista de procurados.,0,2026-02-15T23:12:04Z
UgwLvZbjN74UwwTM5fN4AaABAg,@GabrielSilva-di1mc,UgwLvZbjN74UwwTM5fN4AaABAg.ATGCaEUSNudATGG62SSuwr,@RaphaelFolha,Primeiro,5,2026-02-15T21:06:06Z
UgwLvZbjN74UwwTM5fN4AaABAg,@GabrielSilva-di1mc,UgwLvZbjN74UwwTM5fN4AaABAg.ATGCaEUSNudATGID7sHQ3E,@GabrielSilva-di1mc,​@RaphaelFolhamano esquece o primeiro pois antes de todo mundo uma pessoa foi a primeira mais nem digitou primeiro pois essas pessoas não são infantis para ficar falando isso,5,2026-02-15T21:24:32Z
UgwLvZbjN74UwwTM5fN4AaABAg,@GabrielSilva-di1mc,UgwLvZbjN74UwwTM5fN4AaABAg.ATGCaEUSNudATGTaP9D4qI,@The11Punisher1,Na real é quase impossível ser o último.,2,2026-02-15T23:03:58Z
UgwLvZbjN74UwwTM5fN4AaABAg,@GabrielSilva-di1mc,UgwLvZbjN74UwwTM5fN4AaABAg.ATGCaEUSNudATGWLgRnjNV,@TheTamaramoreira,INJUSTIÇA.      PELO           ORELHA,1,2026-02-15T23:28:02Z
UgwLvZbjN74UwwTM5fN4AaABAg,@GabrielSilva-di1mc,UgwLvZbjN74UwwTM5fN4AaABAg.ATGCaEUSNudATGetDhiKlq,@melzinhagamerzin,"Ser o primeiro é fácil, quero ver ser o último....",2,2026-02-16T00:51:24Z
