comment_id,author,text,like_count,published_at,reply_count
UgyKXCc0NFUCJ8c4Pud4AaABAg,@ReginaldoLeite-f2j,gavião da fiel,0,2026-02-18T14:27:47Z,0
Ugx78nU7xW2cWzdYHuJ4AaABAg,@LeticiaHelena-z4s,Vamo gaviões 🖤🤍🫶,0,2026-02-18T14:24:33Z,0
Ugwy9B8HUUexhqCruq54AaABAg,@LeticiaHelena-z4s,Mentira Keira  q vc e corinthiana,0,2026-02-18T14:23:55Z,0
UgxINbd_d9hmi80MKdB4AaABAg,@jaimemartins6845,Bizarro,0,2026-02-18T13:21:56Z,0
UgyGIXzu_98PUoGMM5R4AaABAg,@ValentinaPersegona,Tem o Beto carreiro,0,2026-02-18T13:11:00Z,0
UgxxzcHWibYFXc7H8RV4AaABAg,@Tobediospre1,Meus pais desfilaram na ala 17 da gaviões da fiel,1,2026-02-18T13:02:05Z,0
UgwB1jfidx7-OIgod-l4AaABAg,@LeonardoMoraes-p6l,Corrida luta tranquilo cara acabou de matar 2,0,2026-02-18T12:19:49Z,0
UgyoCnyVpUYH4HEQ1nZ4AaABAg,@EmanuelleTelesdeSásantos-t9m,"Mais tem meio q Disney aq eu n sei se tem em outras cidades tem mais em Aparecida de Goiânia tem o multiramas sla como escreve, e tipo uma Disney so q em Goiás (e a gente de goiania n e da rossa e n falamos sotaque so os do interior q vem pra cidade🤙)",1,2026-02-18T12:12:00Z,1
UgxT97iMTlLNbR1BWEB4AaABAg,@dorivalbueno3962,Créditos: keira riff,4,2026-02-18T04:42:11Z,0
Ugwc6Ri78Ca3v8R5Rlt4AaABAg,@vivianesilva6613,":Vem patet-"" 😂😂😂",10,2026-02-18T04:20:57Z,2
Ugw4QIXvFgvywUxpXtB4AaABAg,@mariarhytaVieirabatista,Amém,0,2026-02-18T04:18:19Z,0
Ugw25vr0qFe_NG3bSoN4AaABAg,@sorayaborges4418,É gaviões 🤍🖤,5,2026-02-18T03:12:18Z,0
UgwxFgp2rSWNTUtH6zp4AaABAg,@IzabellaLouizy,Vamos gaviões da fiel 🖤🤍,17,2026-02-17T21:07:58Z,3
