comment_id,author,text,like_count,published_at,reply_count
UgzYmmU1bxiavpUhHaF4AaABAg,@ArthurcleytonRodriguesmotaArth,"⬜️⬜️🟩🟩⬜️🟩🟩
⬜️🟩🟩🟩⬜️🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩🟩🟩
🟩⬜️⬛️⬜️🟩⬜️⬛️⬜️🟩
🟩🟩🟩🟩🟩🟩🟩🟩
🟩🟩🟥🟥🟥🟥🟥🟥🟥
🟩🟥🟥🟥🟥🟥🟥🟥🟥
🟩🟩🟩🟩🟩🟩🟩🟩
⬜️⬜️🟩🟩⬜️🟩🟩
⬜️🟩🟩🟩⬜️🟩🟩🟩
🟩🟩🟩🟩🟩🟩🟩🟩🟩
🟩⬜️⬛️⬜️🟩⬜️⬛️⬜️🟩
🟩🟩🟩🟩🟩🟩🟩🟩
🟩🟩🟥🟥🟥🟥🟥🟥🟥
🟩🟥🟥🟥🟥🟥🟥🟥🟥
🟩🟩🟩🟩🟩🟩🟩🟩
╱╱┏╮╱╱╱╱╱╱╱╱╱╱
╱╱┃┃╱ ╱┳╱┓┳╭┛┳┓
▉━╯┗━╮┃╱┃┣┻╮┣╱
▉┈┈┈┈┈┃┻┛┛┻╱┗┗┛
▉╮┈┈┈┈┃▔▔▔▔▔▔▔▔
╱╰━━━╯
  ⠀⠀／⌒ヽ
 　　/° ω°
 ＿ノ ヽ　ノ ＼＿
‘/     / ⌒Ｙ⌒ Ｙ　ヽ
( 　(三ヽ人　 /　　  |
|　ﾉ⌒＼ ￣￣ヽ　 ノ
ヽ＿＿＿＞､＿＿／
 　 ｜( 王 ﾉ〈
 　 /ﾐ`ー―彡ヽ
 　/　ヽ／　 |.
🌕🌕🌕🌕🎩🌕🌕
🌕🌕🌕🌘🌑🌒🌕
🌕🌕🌘🌑🌑🌑🌓
🌕🌖🌑👁️🌑👁️🌓
🌕🌗🌑🌑👄🌑🌔
🌕🌘🌑🌑🌑🌓🌕
🌕🌘🌔🌘🌑🌕🌕
🌖🌒🌕🌗🌒🌕🌕
🌘🌔🌕🌗🌓🌕🌕
👠🌕🌕🌕👠🌕🌕
     ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ∩
 　　　　　　＼＼
 　　　　　　／　 ）
⊂＼＿／￣￣￣  ／
 ＼＿／   ° ͜ʖ ° （
 　　）　　 　／⌒＼
 　／　 ＿＿＿／⌒＼⊃
 （　 ／
 　＼＼
 ⠀⠀⠀ U
yes        yes    yes yes yes
yesyes    yes  yes        yes
yes yes  yes   yes        yes
yes    yesyes  yes        yes
yes        yes    yes yes yes
╭━━╮╱╱╱╱╱╭╮
┃╭╮┃╱╱╱╱╱┃┃
┃╰╯╰┳━┳╮╭┫╰━╮
┃╭━╮┃╭┫┃┃┃╭╮┃
┃╰━╯┃┃┃╰╯┃┃┃┃
╰━━━┻╯╰━━┻╯╰╯
🆗🆗🆗⬜🆗⬜⬜🆗
🆗⬜🆗⬜🆗⬜🆗
🆗⬜🆗⬜🆗🆗
🆗⬜🆗⬜🆗⬜🆗
🆗🆗🆗⬜🆗⬜⬜🆗
➖➖➖🟫
➖➖🟫🟫🟫
➖➖🟫🟫🟫
➖⬜⬜🟫⬜⬜
➖⬜⬛🟫⬛⬜
🟫🟫🟫🟫🟫🟫
🟫🟫🟫⬛🟫🟫🟫
🟫🟫🟫🟫🟫🟫🟫",0,2026-02-18T13:09:01Z,0
UgyyNWfKyEBIHl5SSLp4AaABAg,@marlene9875,😂😂😂😂,0,2026-02-17T23:06:16Z,0
Ugz4O8YdyI17dffd7E14AaABAg,@pegasusdlc7557,😂😂😂😂😂😂,1,2026-02-17T12:45:28Z,0
UgyIRo2P8h9Keb2hoPF4AaABAg,@ola_pitbull,Ele disse vai tomar do olhos do seu c@ e isso😂😂,0,2026-02-15T17:27:43Z,0
Ugw39niUKzXZoHmuID94AaABAg,@GabrieleVitoria-m8c,😂😂😅😅 isso é muito engraçado,0,2026-02-12T00:40:56Z,0
Ugzhgtnub7kwpTLgLJh4AaABAg,@kelvycavalcante1132,Kkkkkkk,0,2026-02-11T21:03:09Z,0
UgznIV5yz33QJeBKuTZ4AaABAg,@CecíliaZappeflores,Que guri doido cara do céu Jesus amado apaga kkk kkkkk,2,2026-02-11T00:30:02Z,0
UgyGb67v8URDDAmySIR4AaABAg,@aritanacosta3008,Riururiwietr🌹🌹🌹🌺🌺🌺🌹🍓🍒,1,2026-02-10T23:20:41Z,0
UgwRFcB1fflrTDEZNSF4AaABAg,@damaressantos7304,😂😂😂😂😂kkkkkkkkkkkk,0,2026-02-10T18:40:30Z,0
Ugw-Xpo8N3I_RsvD8qB4AaABAg,@anthonyalexander3178,😮😮😂,0,2026-02-10T15:37:28Z,0
Ugy45pGAkAMFpSMLuJB4AaABAg,@luannasantos5,Ce quer que eu tido ums tapa n Buda kkkkkkk,4,2026-02-10T02:06:14Z,1
UgzMOWdxFsBKVjgn2Wh4AaABAg,@raylane3000,K,3,2026-02-10T01:01:10Z,1
UgwVoEkDtogGGY4I9Mp4AaABAg,@webernizdavidson863,😮😮😮😮,3,2026-02-10T00:47:15Z,1
