comment_id,author,text,like_count,published_at,reply_count
UgyRveWGd9dcninuaHB4AaABAg,@DavidLuizRibeiro-y9g,Vc e muito boa no inglês ne 😂😂❤❤ parabéns 😂❤❤😂❤,0,2026-02-18T14:33:46Z,0
Ugy2yVAyqBjCJc00KOJ4AaABAg,@rodrigobispo6153,Marcela jardim vc lembra  das suas amigas,0,2026-02-18T10:59:52Z,0
UgwaP3GRN7xnxUyoWbd4AaABAg,@rodrigobispo6153,Marcela jardim onde vc conseguiu  esse efeito do 67,0,2026-02-18T10:56:22Z,0
Ugzj7EKQzBPtNcw4Zg54AaABAg,@alinnelisboa6138,MARCELA ESTÁVA  NO SWHO  QUE  VOCÊ FES NA ESCOLA  MARISTA,0,2026-02-15T22:45:31Z,0
UgyG420BgdU91RkjsMB4AaABAg,@MariaConceicao-ut2cd,61 61 61 61😅🥱😎😎😎😎😎😎😎,0,2026-02-14T03:18:12Z,0
UgwM3XtjQT90uuzlC8N4AaABAg,@Franyelysangelicabayona,Eu falo en español seis siete😊🇧🇷🇪🇸eu sou de venezuela🇻🇪 e eu seis faltar en portugueis por que eu cha fui prala e fiquei ala por 4 anos😊,1,2026-02-13T15:06:14Z,0
Ugwgx6LbuEXynR0sDdl4AaABAg,@ZeynepErtaş-w8n,"Türkler buraya
👇",0,2026-02-13T15:03:26Z,0
UgwbbNAR8DWF3-fxaYx4AaABAg,@ZeynepErtaş-w8n,🇹🇷😊❤🇹🇷,0,2026-02-13T15:03:04Z,0
Ugx67Q9kvB4gUgjoNxh4AaABAg,@HelenaLemos-f2z,Mente poluída,0,2026-02-13T00:43:16Z,1
Ugwa2G5YDUqOuJOWEd94AaABAg,@DandaraGlaucia,Qual nome do filtro ???,0,2026-02-13T00:20:12Z,0
UgwvBFtzkf6sUyHtylN4AaABAg,@Cata_PKXD,Bem bilíngue,1,2026-02-12T22:37:23Z,0
UgwofUG9HVsd_9s-4E14AaABAg,@diva1170,😮 😮😮😮😮,2,2026-02-12T22:13:11Z,0
UgxGsy9LxfoOWOXn1u94AaABAg,@IsabellaGurskiAbreu,Marcelinha cadê o vídeo novo que você gravou hoje que você tá brava comigo eu sou a Isabella eu tô muito ansiosa nosso vídeo dançar 😁😁😁😁😁😁,1,2026-02-12T21:25:49Z,0
UgxBp2vvQKGQrUapNGN4AaABAg,@Pietra-s9n,Sabia que vc fez um show na minha escola ( nn sei se vc se lembra),2,2026-02-12T20:06:19Z,0
UgzWnb2eoTcV-Ij-ZT14AaABAg,@layane_fã_da_katzinha,ElA é MuItO bOa MeU dEuS,1,2026-02-12T18:47:31Z,0
Ugz8bFgsjNKhKMKKqXF4AaABAg,@Sofiadoamaralborba,A mih tanino nn conseguiria kkkk,49,2026-02-12T18:40:52Z,5
UgwblNAHUp48Wp7Ng-B4AaABAg,@pauladecarvalhoambarlima4704,Meu Deus cheguei cedo🎉🎉🎉,3,2026-02-12T18:03:34Z,0
Ugy1O4b39Lx-5wOdkHx4AaABAg,@Valentina-L-y1d,"A não Marcelinha, essa modinha já passou, muito ultrapassado 💔",1,2026-02-12T17:34:10Z,0
Ugy1u_rmkwGYtjNTUyx4AaABAg,@LuisaCampagnoleLadeira,Amoo muito seus vídeos Marcelinha!!!❤❤❤❤,9,2026-02-12T15:42:44Z,2
UgzcP3Kgd0h90pobaix4AaABAg,@DirleiMorando-l2z,Me nota 😢,1,2026-02-12T14:54:54Z,0
Ugz7OyoxzOoexFTwwr94AaABAg,@paulojulianodossantos9485,67agatha❤❤😂😂😊😊,1,2026-02-12T13:55:16Z,0
