comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugx67Q9kvB4gUgjoNxh4AaABAg,@HelenaLemos-f2z,Ugx67Q9kvB4gUgjoNxh4AaABAg.AT8v_1SqRV6ATAWQzvYZVG,@oioi_stay,;---;?,0,2026-02-13T15:33:19Z
Ugz8bFgsjNKhKMKKqXF4AaABAg,@Sofiadoamaralborba,Ugz8bFgsjNKhKMKKqXF4AaABAg.AT8H5hqZu8gAT8NreGo7vN,@tha-t5h9k,Kkkk sim!!,4,2026-02-12T19:39:58Z
Ugz8bFgsjNKhKMKKqXF4AaABAg,@Sofiadoamaralborba,Ugz8bFgsjNKhKMKKqXF4AaABAg.AT8H5hqZu8gAT8t0mAzv7w,@PaulomagnoGalvao,sim obrigado qualquer dia a gente vai visitar associação nytran thu-dan de arte ninja em Roraima ❤️💐🥷🔥🇯🇵,1,2026-02-13T00:20:59Z
Ugz8bFgsjNKhKMKKqXF4AaABAg,@Sofiadoamaralborba,Ugz8bFgsjNKhKMKKqXF4AaABAg.AT8H5hqZu8gATGJS4LGgVg,@Alicerdadalto,Você tivesse aqui do meu lado eu te dava uma porrada você falar mal da mih tanino,0,2026-02-15T21:35:19Z
Ugz8bFgsjNKhKMKKqXF4AaABAg,@Sofiadoamaralborba,Ugz8bFgsjNKhKMKKqXF4AaABAg.AT8H5hqZu8gATGegymeJpn,@Lavínia-i3s,Sim 👍🏻 🤣,1,2026-02-16T00:49:44Z
Ugz8bFgsjNKhKMKKqXF4AaABAg,@Sofiadoamaralborba,Ugz8bFgsjNKhKMKKqXF4AaABAg.AT8H5hqZu8gATGs_OO_2GZ,@BrunaSulamita-z8l,Verdade kkkkk,1,2026-02-16T02:51:01Z
Ugy1u_rmkwGYtjNTUyx4AaABAg,@LuisaCampagnoleLadeira,Ugy1u_rmkwGYtjNTUyx4AaABAg.AT7xi369AViAT8fPsvcPc0,@enzinhodemingos,Ela é uma patricinha,2,2026-02-12T22:22:04Z
Ugy1u_rmkwGYtjNTUyx4AaABAg,@LuisaCampagnoleLadeira,Ugy1u_rmkwGYtjNTUyx4AaABAg.AT7xi369AViATGGoaAw0PL,@eu_blox_oficial,​​@enzinhodemingosteu nome é Enzo tu quer falar oq?,0,2026-02-15T21:12:19Z
UgzZ4aS0SQ64SVDbs4B4AaABAg,@HelenaRibeiro-g8o,UgzZ4aS0SQ64SVDbs4B4AaABAg.AT7UvzwcrrNAT7VpQ99-XO,@thiagodias2277,É pq n tem como colocar todos os países num filtro só….,1,2026-02-12T11:30:20Z
UgzZ4aS0SQ64SVDbs4B4AaABAg,@HelenaRibeiro-g8o,UgzZ4aS0SQ64SVDbs4B4AaABAg.AT7UvzwcrrNAT7W9AcCTnA,@HelenaRibeiro-g8o,​@thiagodias2277🤨kkk,0,2026-02-12T11:33:10Z
UgzZ4aS0SQ64SVDbs4B4AaABAg,@HelenaRibeiro-g8o,UgzZ4aS0SQ64SVDbs4B4AaABAg.AT7UvzwcrrNAT7z-lRZscb,@cnssaparecidagonccalvesmor4771,​@thiagodias2277e nem todas as palavras 😂😂,1,2026-02-12T15:54:02Z
