comment_id,author,text,like_count,published_at,reply_count
Ugw6Cl4Pl6Lm4tPs6Th4AaABAg,@DaviLucca-b9e,Cadê o pra quem não intendeu,0,2026-02-19T15:57:19Z,0
UgxwMYzaI4ksGbxk7LR4AaABAg,@JoaoArtu-o9y3f,"😂😂😂😂😂😂😂😂😂😂😂😂


Euhhx free fi",0,2026-02-19T15:13:24Z,0
UgyUXpVKCxdFVgd1_zV4AaABAg,@crescendocomlaurinhaa,Ei deixa eu fazer uma pergunta você é menina ou menino porque a voz de você parece menina mas eu acho que você é menina,0,2026-02-19T14:17:07Z,0
UgyQ8YBwYmpzeMOh1A94AaABAg,@MiguelNascimento-d5w,😅,0,2026-02-19T12:59:21Z,0
UgyKIdPsbBM9X3-PTit4AaABAg,@maxine011-08,😂😂😂😂😂😂kkkkk,0,2026-02-19T02:46:06Z,0
UgwhdxuadZ0jMo7M9CB4AaABAg,@valdimaliasantos2979,Oi,0,2026-02-18T18:50:12Z,0
UgwOuUr-wexbXvnuWi54AaABAg,@AmadeusMello-c9q,Muito obrigado por mandar todos esses vídeos eu gosto muito,3,2026-02-18T18:04:23Z,2
UgwEQkOfG5s9Qp96LYh4AaABAg,@Yancarreirodejesus,😂😂😂😂😂😂😂,0,2026-02-18T17:46:41Z,0
UgzcNien_kO1iXobAlF4AaABAg,@BeneditaErnesto,EU gosto muito desse tipo de vídeo,2,2026-02-17T13:47:17Z,2
Ugy_fPOmzh_FVU2kXxZ4AaABAg,@CarlaGonçalves-t7q,O meo nome é Francisca não Carla.😊,2,2026-02-17T10:21:35Z,2
UgzF70oVdOpsSoAiXiN4AaABAg,@liviastenzl-ic4eo,Egito,2,2026-02-17T04:38:17Z,0
UgyfprF8XokcrlAucTV4AaABAg,@jailsonsodre8710,🪽,2,2026-02-17T01:16:23Z,0
UgziZ6X-fB87Eyknf6h4AaABAg,@HeitorLima-mp7dv,😂😂😂😢😢😢😢😢,4,2026-02-16T23:04:27Z,0
UgxYp1VJ30Lu-glM9jN4AaABAg,@AnalicesantosdeSouza-k3h,Tá bom então vou ver com ela aqui,4,2026-02-16T17:54:29Z,0
UgyI1KzmArJk_ecbcnh4AaABAg,@FabianaLimaMarcolino,Àmen Jesus Cristo é um anjinho,9,2026-02-13T18:06:00Z,4
UgzsztlPlF2wSvMjxYp4AaABAg,@LadjanirSantos,ENVIE O QUE VOCÊ QUER FAZER E O CARA É UMA PALAVRA DE UM 😽 DE UM AMIGO QUE TEM O CARA QUE TEM QUE EU LEMBRE É UM FRANGO COM 8R8RIH4I4I847 QUE TEM NA MINHA LUZ QUE É ❤❤❤E 🌴 Q❤🎉IDEA VALE 😊,8,2026-02-13T17:39:55Z,1
Ugxn-rf76NgOqZX_aXh4AaABAg,@ErickVicente-s4h,Não amor ainda responde vila do João você tava rebolando aí eu gosto de você meus irmão gosta,9,2026-02-13T14:13:16Z,0
