comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugz4fWsDYYwKY65om4l4AaABAg,@SAVEngenharia-k4n,Ugz4fWsDYYwKY65om4l4AaABAg.ATVM-jFw3hCATVM7TxVWo5,@SAVEngenharia-k4n,Fiquei muito triste com você 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,0,2026-02-21T17:47:20Z
UgwHRY6m5WnGaX6pxv14AaABAg,@Heitor432,UgwHRY6m5WnGaX6pxv14AaABAg.ATTX0qycT_zATXp1__RDky,@JoãoVictor-o6m7w,A Samsung,0,2026-02-22T16:47:09Z
UgxqHXlQBxgvW07W2I94AaABAg,@loirinfxt8556,UgxqHXlQBxgvW07W2I94AaABAg.ATTJXMNX4REATYwOZnpHRQ,@rafaelcarlins,Mentira,0,2026-02-23T03:10:42Z
UgyItDb7EgcfuqzcezB4AaABAg,@JoaoMiguel-il4uf,UgyItDb7EgcfuqzcezB4AaABAg.ATSylCrFA3eATT9GxLBohG,@Gustavo-3i5s,Não é não que que eu ia falar........aaaa lembrei a xiaomi é melhor,0,2026-02-20T21:16:33Z
Ugzg8kyErzG_E82Apxx4AaABAg,@meowlNerdiLiote,Ugzg8kyErzG_E82Apxx4AaABAg.ATScqS-cyGzATTBKO22wWx,@erikacristinadesouzaaraujo5181,Ah entendi tudo Maçã quando tem que ser cumida tem que jogar no lixo.,6,2026-02-20T21:34:29Z
Ugzg8kyErzG_E82Apxx4AaABAg,@meowlNerdiLiote,Ugzg8kyErzG_E82Apxx4AaABAg.ATScqS-cyGzATUhjEIhSh0,@Josépyetroallmyrandrade,❤dddvv,3,2026-02-21T11:45:37Z
Ugzg8kyErzG_E82Apxx4AaABAg,@meowlNerdiLiote,Ugzg8kyErzG_E82Apxx4AaABAg.ATScqS-cyGzATWA5L2MyG7,@VitoriaFerreira-b1p,A Motorola também é bom né M❤,5,2026-02-22T01:21:25Z
Ugzg8kyErzG_E82Apxx4AaABAg,@meowlNerdiLiote,Ugzg8kyErzG_E82Apxx4AaABAg.ATScqS-cyGzATWDmFEwA22,@emanuel-i8i8r,​@VitoriaFerreira-b1p verdade,1,2026-02-22T01:53:38Z
Ugzg8kyErzG_E82Apxx4AaABAg,@meowlNerdiLiote,Ugzg8kyErzG_E82Apxx4AaABAg.ATScqS-cyGzATWLnHPfaMs,@matheusdasilvaferreira8280,Eu concordo,1,2026-02-22T03:03:40Z
UgwxBso0t2q9kNzBke54AaABAg,@Yasminclaro-z6z,UgwxBso0t2q9kNzBke54AaABAg.ATSbB7_9qpwATShKbLA3X3,@EricCatNap26,Eu sendo do time da samsung e vendo esse tipo de mensagem ;-;,0,2026-02-20T17:03:38Z
UgwxBso0t2q9kNzBke54AaABAg,@Yasminclaro-z6z,UgwxBso0t2q9kNzBke54AaABAg.ATSbB7_9qpwATSsflkuz-K,@Yasminclaro-z6z,​@EricCatNap26Eu também sou do time da Samsung,1,2026-02-20T18:42:47Z
UgwxBso0t2q9kNzBke54AaABAg,@Yasminclaro-z6z,UgwxBso0t2q9kNzBke54AaABAg.ATSbB7_9qpwATStTPDynYi,@EricCatNap26,​@Yasminclaro-z6z Boa!!!,0,2026-02-20T18:49:42Z
Ugwexx6H_NC1Rutbq054AaABAg,@CarlaCosta-n6d,Ugwexx6H_NC1Rutbq054AaABAg.ATSP4PwAACzATStDg8v3mG,@JulianaDosSantos-i,Tô falando que Samsung é melhor da ate   pra abrir dois aplicativos de uma vez só e  tá pra ganhar 80 robux de graça,0,2026-02-20T18:47:33Z
UgwpI8T2G68utBidGQZ4AaABAg,@PietroCoimbra-w5o,UgwpI8T2G68utBidGQZ4AaABAg.ATSL0p0h2l2ATSPNi_NSri,@LUCASGUIMATHEUS-ku8a,Mais bom kkkkkkkkk,0,2026-02-20T14:18:02Z
UgyDw7Oz7PgdTSva5sB4AaABAg,@MúsicasRelaxante-x7j,UgyDw7Oz7PgdTSva5sB4AaABAg.ATRI2prSsQ6ATStmCmu_ew,@JulianaDosSantos-i,"Seu Português morreu isso é mentira, (iphone 1%😢 é muito chato) (Samsung 100%💀☠️ aura  é muito bom)",0,2026-02-20T18:52:24Z
UgyIIAUohaksyR-8cOl4AaABAg,@Tomás07-tmbf,UgyIIAUohaksyR-8cOl4AaABAg.ATQnb5u1fzgATSIbklNN6a,@bernardoorodriguessilva,O Nokia tem bateria onfinitaaa,0,2026-02-20T13:18:55Z
UgyIIAUohaksyR-8cOl4AaABAg,@Tomás07-tmbf,UgyIIAUohaksyR-8cOl4AaABAg.ATQnb5u1fzgATSbN6Kvu6A,@ArthurVeiga-m9d,Holha tu já teve uma Samsung,0,2026-02-20T16:11:33Z
UgyIIAUohaksyR-8cOl4AaABAg,@Tomás07-tmbf,UgyIIAUohaksyR-8cOl4AaABAg.ATQnb5u1fzgATSnEFPTlc5,@P7Z-y1u,Samsung e melhor que Apple sem dúvidas nenhuma. Chora não tá?,1,2026-02-20T17:55:12Z
UgyIIAUohaksyR-8cOl4AaABAg,@Tomás07-tmbf,UgyIIAUohaksyR-8cOl4AaABAg.ATQnb5u1fzgATSqnVglokO,@Tomás07-tmbf,​@ArthurVeiga-m9d sim porque e ainda tenho uma Samsung e um Motorola,1,2026-02-20T18:26:22Z
