comment_id,author,text,like_count,published_at,reply_count
UgwA7jWuCZb62IGpEhd4AaABAg,@LorranaSantana-h5k,Tortuguita não tem jeito certo é só você enfiar tudo na boca e pronto,0,2026-02-23T14:28:18Z,0
Ugz3Sij292cT3mluX9h4AaABAg,@MariaVitoria-b1z2l,Cabeça baço pé pé cabe,0,2026-02-23T14:19:19Z,0
UgzGEcP4Nj8NIcPSTTt4AaABAg,@dalilalopescosta8214,Eu como de qualquer forma tu não manda em mim,0,2026-02-23T13:50:31Z,0
UgyfpIkR85dD6QvWSAt4AaABAg,@Caique-s2z,E cabeça braços rabo e corpo,0,2026-02-23T13:01:06Z,0
UgzS-yakVKNNOEvxIP94AaABAg,@ConceiçãoRicardo-k2d,Meu pai comia a tartaruga toda sem o ritual,0,2026-02-23T12:51:31Z,0
Ugx73JniSATxmODGFkF4AaABAg,@ReidosSeasAdalberto,É primeiro de braço depois da cabeça,0,2026-02-23T12:14:42Z,0
UgyBitOL22Ijp8MQGgF4AaABAg,@Rei_alone,A mano eu quero mais e que se fd eu como do jeito que eu quero,0,2026-02-23T11:13:45Z,0
Ugx0vOcxqFfhBkg0N3t4AaABAg,@DirleiPinto-l7d,Primeiro as pernas traseiras depois dos rabos depois as pernas da frente depois da cabeça e por último o corpo esse cara é burro,0,2026-02-23T11:00:04Z,0
Ugz7RKwGjCAlFwz5_mJ4AaABAg,@GustavoSouza-q5z,O QUE VCS FIZERAM MINHA TARTARUGA TA ASSUSTADA DO MEU LADO,0,2026-02-23T09:35:48Z,0
UgxPSeBDjTU5XUNHxSl4AaABAg,@Nicolas-n5k2z,Só eu que começo pelas patas,0,2026-02-23T09:06:22Z,0
UgxB7kSmfApiHDVAyv94AaABAg,@DeboraChame,Por que tem que começar não vai mudar nada ficou meio de outro jeito secretário isso de comer desse jeito gato você disse para comer cabeça depois os braços depois das pernas mas ali mostrou a cabeça depois o braço depois a perna depois da perna depois do braço e depois a barriga,0,2026-02-23T06:09:28Z,0
Ugzl7U3aWpCTl4UkzIl4AaABAg,@CauãDelimaduarte-s5x,"Cara para mim, e a cabeça, as patas, depois do rabinho, e O precioso miolo",0,2026-02-23T05:29:27Z,0
UgxHG1EFXk-GCdnCXth4AaABAg,@IsabellaFolly-t7w,Ver as pernas depois da cabeça depois o rabo depois o casco ss é o jeito certo de se comer tortuguita,0,2026-02-23T04:16:20Z,0
