comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugzs1hDbRIseaJ-0qzR4AaABAg,@pearl6-bassieflowers,Ugzs1hDbRIseaJ-0qzR4AaABAg.ATUVGANr-2aATVMAF52k2S,@Vaideembarca,E o rabinho,0,2026-02-21T17:47:42Z
Ugzs1hDbRIseaJ-0qzR4AaABAg,@pearl6-bassieflowers,Ugzs1hDbRIseaJ-0qzR4AaABAg.ATUVGANr-2aATWdjaYt6Fa,@Nara-g7f,MN fui no Chopin vi teu boneco e do lado tava o do bento e autentic games e comprei o do autentic,0,2026-02-22T05:49:12Z
UgwbX96GBX2mOsCoT-54AaABAg,@rz8811,UgwbX96GBX2mOsCoT-54AaABAg.ATTXyVeZqWfATVj-zTGsaP,@RITINHAMARIA321,Não e 1   cabeça   1   e   o   Robinho,0,2026-02-21T21:16:01Z
UgyxvvI6BLeZnRjc9aF4AaABAg,@biancalarahgostariamaciel3145,UgyxvvI6BLeZnRjc9aF4AaABAg.ATTMgXQ-OF4ATTh-M7qGGh,@egelmasobreira,Kkkkkk,0,2026-02-21T02:19:59Z
UgyxvvI6BLeZnRjc9aF4AaABAg,@biancalarahgostariamaciel3145,UgyxvvI6BLeZnRjc9aF4AaABAg.ATTMgXQ-OF4ATV2CEptpi_,@esterdias-x8v9n,isso faz parte da parte do corpo daí come tudo junto .,0,2026-02-21T14:53:13Z
UgyxvvI6BLeZnRjc9aF4AaABAg,@biancalarahgostariamaciel3145,UgyxvvI6BLeZnRjc9aF4AaABAg.ATTMgXQ-OF4ATV9ft2fHpa,@LorenzoDaSilva-x3p,​@esterdias-x8v9nagora entendi,0,2026-02-21T15:58:34Z
UgwAWPs99GW6QkjAA-V4AaABAg,@Geovana-w4p,UgwAWPs99GW6QkjAA-V4AaABAg.ATTL6NWdyKdATTX3AtTVAN,@edinalvaassuncao1041,Não tem ninguém NINGUÉM te  obrigando a comer desse jeito é que maioria come do jeito que citou no vídeo,0,2026-02-21T00:44:23Z
Ugy0YKt3GyIR0mkUP5x4AaABAg,@HelenadeSouzaUrbano,Ugy0YKt3GyIR0mkUP5x4AaABAg.ATTJe2ehDqkATTL5o6A5I2,@mayaraferrazdaluz5492,Verdade ❤,0,2026-02-20T22:59:53Z
UgxYvdwAXy_ivrykMTJ4AaABAg,@HeitorVinicios-u2t,UgxYvdwAXy_ivrykMTJ4AaABAg.ATTIikiiAYSATTSkD8PxFs,@JoseVicente-i6s,vc e mas um rico,0,2026-02-21T00:06:42Z
Ugw2Cvz7b7ueWDcisMt4AaABAg,@GusLacAlFãdoLuan12345,Ugw2Cvz7b7ueWDcisMt4AaABAg.ATT4J2tE7fbATT4TrQrUOA,@MamonasMamonas-u2s,Exatamente isso,2,2026-02-20T20:34:37Z
Ugw2Cvz7b7ueWDcisMt4AaABAg,@GusLacAlFãdoLuan12345,Ugw2Cvz7b7ueWDcisMt4AaABAg.ATT4J2tE7fbATTAEUAYLoM,@RicardoLuciano-x4v,Você é doente,0,2026-02-20T21:24:57Z
Ugw2Cvz7b7ueWDcisMt4AaABAg,@GusLacAlFãdoLuan12345,Ugw2Cvz7b7ueWDcisMt4AaABAg.ATT4J2tE7fbATTL4SY5K9z,@leaneleandro-mw3od,Sim,2,2026-02-20T22:59:42Z
Ugw2Cvz7b7ueWDcisMt4AaABAg,@GusLacAlFãdoLuan12345,Ugw2Cvz7b7ueWDcisMt4AaABAg.ATT4J2tE7fbATTLILBG0M7,@NØLI-d9h,A tartaruga sofre,4,2026-02-20T23:01:36Z
Ugw2Cvz7b7ueWDcisMt4AaABAg,@GusLacAlFãdoLuan12345,Ugw2Cvz7b7ueWDcisMt4AaABAg.ATT4J2tE7fbATTMQCIElkz,@fino_senhore,Fds canudinho de papel,1,2026-02-20T23:11:24Z
UgxWaO_Jjf6HjzxHajV4AaABAg,@rosioliveira9630,UgxWaO_Jjf6HjzxHajV4AaABAg.ATT-Qp-pFh-ATT-bJ76oyV,@rosioliveira9630,A Cadu dane-se se você tiver vendo esse comentário como do jeito que eu quiser,0,2026-02-20T19:52:05Z
UgxWaO_Jjf6HjzxHajV4AaABAg,@rosioliveira9630,UgxWaO_Jjf6HjzxHajV4AaABAg.ATT-Qp-pFh-ATT1A-WQ7o4,@NandadaviMedeiros,Vdd,0,2026-02-20T20:05:41Z
UgzHRIMN5FhJCZgsGCJ4AaABAg,@maribarth392,UgzHRIMN5FhJCZgsGCJ4AaABAg.ATStqh2wd4VATSz2jg0XI-,@ffz-c9m,O mano Isso aí é um canal infantil,1,2026-02-20T19:38:29Z
Ugw29Uw6H8sz2aPSiXN4AaABAg,@dudu_lock,Ugw29Uw6H8sz2aPSiXN4AaABAg.ATSt0RvUeiZATSwABkyf0h,@esozoico,Tá certo mesmo que discorda nunca comeu certo,0,2026-02-20T19:13:17Z
Ugw29Uw6H8sz2aPSiXN4AaABAg,@dudu_lock,Ugw29Uw6H8sz2aPSiXN4AaABAg.ATSt0RvUeiZATT3KyTtIgA,@JoãoVictorDossantos-h2b,Claramente 🗿🍷,0,2026-02-20T20:24:40Z
Ugy_eMh8aQpZcypTsBZ4AaABAg,@marialuislemos3835,Ugy_eMh8aQpZcypTsBZ4AaABAg.ATSrKyJ4DthATSrOPKjClR,@marialuislemos3835,Kaducos,1,2026-02-20T18:31:32Z
UgxFDKeSoLdl7wRIZFF4AaABAg,@broly-super-saiyajin-green,UgxFDKeSoLdl7wRIZFF4AaABAg.ATSj7eSC0qxATSn9q_5_Lp,@sanji-rs2,Você cometeu um crime cara,3,2026-02-20T17:54:36Z
UgxFDKeSoLdl7wRIZFF4AaABAg,@broly-super-saiyajin-green,UgxFDKeSoLdl7wRIZFF4AaABAg.ATSj7eSC0qxATSoyn1BX0i,@GustavoAssis-cq5qm,Lá ele,1,2026-02-20T18:10:26Z
UgxFDKeSoLdl7wRIZFF4AaABAg,@broly-super-saiyajin-green,UgxFDKeSoLdl7wRIZFF4AaABAg.ATSj7eSC0qxATSpn5crI2o,@douglas510771,Vc é um mostro,1,2026-02-20T18:17:34Z
UgxFDKeSoLdl7wRIZFF4AaABAg,@broly-super-saiyajin-green,UgxFDKeSoLdl7wRIZFF4AaABAg.ATSj7eSC0qxATSrbWmULvq,@Palmeiras777,@𝕓𝕣𝕠𝕝𝕪-𝕤𝕦𝕡𝕖𝕣 𝕖𝕝𝕖 𝕔𝕠𝕞𝕖𝕟𝕕𝕠 𝕘𝕠𝕘𝕠𝕘𝕠𝕘𝕠𝕘𝕠𝕘𝕠𝕘𝕠𝕘𝕠𝕘𝕠 𝕖 𝕟𝕖𝕞 𝕞𝕖 𝕖𝕟𝕘𝕒𝕤𝕘𝕠,0,2026-02-20T18:33:28Z
UgxFDKeSoLdl7wRIZFF4AaABAg,@broly-super-saiyajin-green,UgxFDKeSoLdl7wRIZFF4AaABAg.ATSj7eSC0qxATSsCXMYllb,@クルトk,Vc é um criminoso,0,2026-02-20T18:38:39Z
Ugz3Zk0E95OabXgspT14AaABAg,@MariaVitóriaDoRego,Ugz3Zk0E95OabXgspT14AaABAg.ATSi8x3QHnuATSoxk2AE3I,@Vitoh932,Foi eu que criei essa técnica você estava me olhando quando eu fiz isso,0,2026-02-20T18:10:17Z
