comment_id,author,text,like_count,published_at,reply_count
Ugz6Um_9AhdLLYc_xCh4AaABAg,@Brayanpg-o3n,A MÃE PARA DE BRIGARRRRRRRRRRRR PARA DE BRIGARRRRRRRR EU NÃO AGUENTO MAIS EU TÔ CANSADA OS IRMÃOS 😳 mano...,1,2026-02-23T04:02:00Z,0
Ugxw2cmmPFgyjecY5Mt4AaABAg,@JosedearimateiaPereiradeCarval,"❤😂🎉😢😮😅😊
❤😂🎉😢😮😅😊",0,2026-02-23T01:02:30Z,0
UgzkefH4yxzQl3KqITV4AaABAg,@JosedearimateiaPereiradeCarval,😂😊😅😮,0,2026-02-23T01:02:07Z,0
UgxA0C81tZcBWjPam-14AaABAg,@jonathassantospereiralima2168,Para de briga🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍,0,2026-02-22T22:00:43Z,0
UgzkDKtGbGaBQv_eKBR4AaABAg,@Joãocampos-s7o,Tenho dó dos vizinhos dele,2,2026-02-22T21:56:25Z,0
Ugxz3GZlS33pgKh2D294AaABAg,@IsabellaLouresBueno,Bateu minah ansiedade quando ela gritou😭😭😭😭,5,2026-02-22T20:07:36Z,3
UgyiNMXh5IzVqC-izGt4AaABAg,@valentinaferrira,Kkkkkkkkkkkƙkkkkķkkkkkkkkkkkkkkkkkkkkkkkkkkkkk😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2026-02-22T17:49:12Z,0
Ugy02DHAR75xH3JiPjl4AaABAg,@Luiza-j8c3m,😊,3,2026-02-22T16:23:07Z,0
UgyYMtK9fbgIIosmeal4AaABAg,@BiaMoraes-i2y,😡😡😡😡😡😡😡😡😡😡😡😡😡😡💢💢💢💢💢💢💢💢💢🇧🇷💢💢💢💢,2,2026-02-22T14:37:59Z,1
Ugwlki6n2cbiLofngDd4AaABAg,@evertonoliveira4622,Oii meu nome é Yasmin vitória Oliveira de Oliveira,8,2026-02-22T13:03:11Z,4
UgyNLflOzgEOrEz1Ixp4AaABAg,@lluhzzlluhzz2,Primeira,6,2026-02-22T11:04:36Z,0
