comment_id,author,text,like_count,published_at,reply_count
Ugy_EPXZwfh3G0evpq94AaABAg,@AndreMonteiroFeijó,Um scary aparecendo atrás dele no começo,0,2026-02-23T15:43:52Z,0
Ugzh-5a0hB1KLmUPLFt4AaABAg,@sarahseychelles2846,Coitado,0,2026-02-23T15:43:47Z,0
Ugxai5aJJ-42oWftS-R4AaABAg,@Maitê-q5t,Quem veio só pra ver os comentários👇🏻,1,2026-02-23T15:43:21Z,0
Ugz2SlIIURU-sx2rFyp4AaABAg,@TeodoroGambettaRamos-s4x,😂😂😂😂😂😂😂😂😅😅kkkkkkkkkkkkkkkkkkkkkkkkkkk kkkkkkkkķkkkkkkk,0,2026-02-23T15:38:54Z,0
Ugyc4Q6KQdNWUUgJI-l4AaABAg,@JadielmaLima-w5d,"tinha ou geina gamelatia Vigiando😮,😱😱😱",0,2026-02-23T15:38:30Z,0
UgwdGOfvGXLpCbPS_8V4AaABAg,@IsisFreitas-d9u,""" Desculpa
"" Tudo bem 👍
💥💣💥pá",0,2026-02-23T15:38:17Z,0
UgzlLjdy29WwZ9J7hKl4AaABAg,@AndreMonteiroFeijó,Eu quando quebro um copo sem querer e minha mãe fala que acontece eu começo a chorar,0,2026-02-23T15:33:48Z,0
Ugy__BUk5-K4Yx5CSaB4AaABAg,@ericocomuna2619,😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅,0,2026-02-23T15:32:19Z,0
UgxeB88Sth9-1JxZfZd4AaABAg,@CelinaAnna-p9q,😢😢😢😢😢😢😂😂😂😂😂😂😂,0,2026-02-23T15:27:21Z,0
UgyK31D08jC-t0HJESV4AaABAg,@melhoramigogamer8458,Se não tivesse a jarra ele seria cancelado até a morte,0,2026-02-23T15:22:53Z,0
UgzoNSXgEvXeuHhQMGt4AaABAg,@DárioAlexandreTrajanoDário,Quando agora quando é pequeno não bate mais quando é grande já dá um uma apanhada maravilhosa😂😂😂😂😅😅,0,2026-02-23T15:12:08Z,0
Ugx1cbX65ujfMRrwKfJ4AaABAg,@MarliseSulzbacher-w3n,Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0,2026-02-23T15:05:26Z,0
UgxeitSR5z6eVv5EYPB4AaABAg,@dogger_do_grau_fofo_ez_gg_runn,Nome da música de fundo: montagem câmera lenta,0,2026-02-23T15:03:55Z,0
Ugx7sUvy7WHgE4t5gNl4AaABAg,@joycealcinda2347,O meu Deus coitadinho menino mas ainda bem que a mãe dele é muito boa e não demora para dar nele mas a outra eu hein😂😂😂😂😂,0,2026-02-23T15:03:28Z,0
