comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgwKLZwck80YFwjugAd4AaABAg,@nooossssaaa-w2d,UgwKLZwck80YFwjugAd4AaABAg.ATZ2k7gs4rNATZ3G2NvvVH,@nooossssaaa-w2d,Me perdoem se o texto tá muito grande,0,2026-02-23T04:19:26Z
UgzBL2We6JSls8LVel14AaABAg,@NilsonFranca-sr6jf,UgzBL2We6JSls8LVel14AaABAg.ATYgx3RSTJZATYhc2aU2l7,@arthurmorais328,Eu,0,2026-02-23T01:01:36Z
UgzBL2We6JSls8LVel14AaABAg,@NilsonFranca-sr6jf,UgzBL2We6JSls8LVel14AaABAg.ATYgx3RSTJZATZ5UbPSb-f,@EsteladeOliveiraClementenarita,😂😂😂😂😂😂😂😂😅,0,2026-02-23T04:38:54Z
UgwiS5lJXlLEWXdOfWd4AaABAg,@FatimaMarcelina-y7t,UgwiS5lJXlLEWXdOfWd4AaABAg.ATWVy9UBE4bATYEAPXDTC0,@glaucobairros-tp4mj,Sim eu vi mas ainda por cima a porta fechou sozinha,0,2026-02-22T20:35:33Z
UgwYDaCWqzf0Ic0EArF4AaABAg,@elayneverissimo7663,UgwYDaCWqzf0Ic0EArF4AaABAg.ATWFcdq-Ob9ATYlXYJugq8,@OkTop-f3s,😢😢😭,0,2026-02-23T01:35:48Z
UgxQ-RJQQ8CdzcV40ot4AaABAg,@DaviCandido-i4f,UgxQ-RJQQ8CdzcV40ot4AaABAg.ATW5QiC_tbHATYBdh-prhV,@IDAAMALIAFerreira,eu gotei do menino e o outro não gostei,0,2026-02-22T20:13:28Z
UgxQ-RJQQ8CdzcV40ot4AaABAg,@DaviCandido-i4f,UgxQ-RJQQ8CdzcV40ot4AaABAg.ATW5QiC_tbHATYCPbVcICX,@Laraesther-r3r,Ixi ta andando en sima de mim,0,2026-02-22T20:20:09Z
UgxQ-RJQQ8CdzcV40ot4AaABAg,@DaviCandido-i4f,UgxQ-RJQQ8CdzcV40ot4AaABAg.ATW5QiC_tbHATZo6JyY6f0,@fernandacosta219,Não vi ela não está lá (estou falando de outra momo),0,2026-02-23T11:17:32Z
UgxQ-RJQQ8CdzcV40ot4AaABAg,@DaviCandido-i4f,UgxQ-RJQQ8CdzcV40ot4AaABAg.ATW5QiC_tbHAT_7vOsUxTI,@ricardorodrigo8166,eu vi,0,2026-02-23T14:19:25Z
Ugzp_oPcod5kViLhA8x4AaABAg,@CarenarianaOliveira,Ugzp_oPcod5kViLhA8x4AaABAg.ATVvyHpFaDxATVw0RofJnm,@CarenarianaOliveira,Kkkk,1,2026-02-21T23:09:41Z
UgzJTLULv4LbGioSqhJ4AaABAg,@geovannasilvasnts,UgzJTLULv4LbGioSqhJ4AaABAg.ATVrn2sHDavATW-FnoIBtW,@umcaranguejojogandobedrock,"""como eu sou chorar""",10,2026-02-21T23:46:44Z
