comment_id,author,text,like_count,published_at,reply_count
UgwLz-R9docSJ5A88P54AaABAg,@osamiguinhosonline,E ele atualmente muito engraçado 😂,0,2026-02-22T20:11:28Z,0
UgxACC4qrERrvfXcQ714AaABAg,@alternativapastelariatiete,Oque e ro,0,2026-02-22T01:56:25Z,0
UgzGM_p1RoiuzYA3hb94AaABAg,@ElianeDacruz-g7v,O meme veio daq ent,0,2026-02-22T01:48:19Z,0
UgwkfIBUxSuFWJCMrVR4AaABAg,@EfraimBatista-d6w,Rol@🤩🥰,0,2026-02-21T19:55:23Z,0
Ugxa0hgEP5zMkNV37Y54AaABAg,@ThauaneCristinaFarias,Que isso na última  (ro**,0,2026-02-21T03:16:11Z,0
UgyuvO2VBIf0hXUrWzN4AaABAg,@taciannemarques1917,👹🤬🤬,0,2026-02-21T02:23:21Z,0
UgzFKKX2cxMpIR4yIsB4AaABAg,@GUGUmlk力,"""Como é q eu nuncaa faleii isso pa minha mãeeeee!!!!!!😱""",9,2026-02-19T21:52:42Z,0
UgzRB2V2qsrXwq4-2Rd4AaABAg,@fadinha_mayyume2,😂😂😂,0,2026-02-19T13:31:40Z,0
UgwuYHwt_iKvcOxddMZ4AaABAg,@EduardaSousa-tn4bj,Ro🤡 kkkkkkk rachei,0,2026-02-19T05:41:49Z,0
Ugz4lMvakmVuv-VjYHp4AaABAg,@jandirarosascopel1643,Sim pois é 😢😢😢hmm mds😂😂,0,2026-02-17T03:00:19Z,0
Ugy4_RTIzlkFlebb0pV4AaABAg,@IsabelaVitória-l1b,Ela gosta de roblox ñ de ro🤡,0,2026-02-15T23:22:01Z,0
