comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugz9Adktzn5-1Ow_pQ14AaABAg,@canela_adm,Ugz9Adktzn5-1Ow_pQ14AaABAg.ASYDO4R1dbhASe_EbUscxp,@helenacourelas1461,"O que é essa palavra??
Ainda n percebiii",0,2026-01-31T20:31:39Z
UgzgiwV1OcxKLG1vTid4AaABAg,@Heitorzin-e8f,UgzgiwV1OcxKLG1vTid4AaABAg.AS6Aia_YlK9AS6CFuYT5d8,@uelintonofice9957,"Qual, porr-",0,2026-01-18T02:48:41Z
UgwSMfvIf8VDe-1CZch4AaABAg,@JoãoGabrielSilvaPinheiro-x7d5x,UgwSMfvIf8VDe-1CZch4AaABAg.AS67Uieb_4sASCkCA4c5Vm,@arthur_tom,La,5,2026-01-20T15:49:27Z
UgwSMfvIf8VDe-1CZch4AaABAg,@JoãoGabrielSilvaPinheiro-x7d5x,UgwSMfvIf8VDe-1CZch4AaABAg.AS67Uieb_4sASIBff-8V_c,@Jsjsne-u1l,​@arthur_tomele,6,2026-01-22T18:34:30Z
UgwSMfvIf8VDe-1CZch4AaABAg,@JoãoGabrielSilvaPinheiro-x7d5x,UgwSMfvIf8VDe-1CZch4AaABAg.AS67Uieb_4sASICi3gz0sq,@ElisetePereira-i5b,"Ele falou roubar 😷😭😭😭😭😭😭
















😂",8,2026-01-22T18:43:34Z
UgwSMfvIf8VDe-1CZch4AaABAg,@JoãoGabrielSilvaPinheiro-x7d5x,UgwSMfvIf8VDe-1CZch4AaABAg.AS67Uieb_4sASohLptHfiJ,@MelzinhaOficial312,n entendi :3 me explica,3,2026-02-04T18:54:57Z
UgwSMfvIf8VDe-1CZch4AaABAg,@JoãoGabrielSilvaPinheiro-x7d5x,UgwSMfvIf8VDe-1CZch4AaABAg.AS67Uieb_4sAT3TBfJ2UMz,@ValentinaAguiar-t7v,Rollla,1,2026-02-10T21:50:20Z
Ugwbx1JfGmLw0hs11VR4AaABAg,@longwushi9742,Ugwbx1JfGmLw0hs11VR4AaABAg.AS4-kaIoc-qAS7g6RcWoDW,@lindsonmaia505,Vai se ferrar vai😡,0,2026-01-18T16:37:31Z
Ugyg7hwdqSgSdYY9nMZ4AaABAg,@Marizinhaa_123,Ugyg7hwdqSgSdYY9nMZ4AaABAg.AQtbGsn-qUYAQtl8aBNjhM,@AndreRodregues-j7m,Então tu é?,1,2025-12-19T01:01:30Z
UgyaWjQdrCizGVGzv1N4AaABAg,@joycemendesliberal3169,UgyaWjQdrCizGVGzv1N4AaABAg.AQWRlMvnqS0ARodrJ_WM0t,@gabrielnunes3081,Mano finalmente eu entendi o q ele fala nessa parte,0,2026-01-10T21:53:02Z
UgyaWjQdrCizGVGzv1N4AaABAg,@joycemendesliberal3169,UgyaWjQdrCizGVGzv1N4AaABAg.AQWRlMvnqS0ASDwWNusog6,@DiegoBarbosa-n1y,O áudio,0,2026-01-21T02:56:20Z
UgyaWjQdrCizGVGzv1N4AaABAg,@joycemendesliberal3169,UgyaWjQdrCizGVGzv1N4AaABAg.AQWRlMvnqS0ASDwXiAMry0,@DiegoBarbosa-n1y,Original 😮😮,0,2026-01-21T02:56:30Z
UgyWOCaF1UHuN8i3jZl4AaABAg,@DanielaFrançaVieira,UgyWOCaF1UHuN8i3jZl4AaABAg.AQSK87458U1AQUKeX0BGrS,@LuizAntônioLuiz-h4u,ROLA,0,2025-12-08T18:41:05Z
Ugy-QMxvpC7GeF4lJ2x4AaABAg,@AnaLuizaRibeirodaRosa,Ugy-QMxvpC7GeF4lJ2x4AaABAg.AQRxtILXsA2AQSfNbo5T_X,@YasminPaloma-r2w,OQUE???? NÃO ACREDITOO😰😨😨😨,1,2025-12-08T03:12:23Z
Ugy-QMxvpC7GeF4lJ2x4AaABAg,@AnaLuizaRibeirodaRosa,Ugy-QMxvpC7GeF4lJ2x4AaABAg.AQRxtILXsA2AQTmm0p6XAF,@Iorranadara,😮😮,2,2025-12-08T13:36:16Z
Ugy-QMxvpC7GeF4lJ2x4AaABAg,@AnaLuizaRibeirodaRosa,Ugy-QMxvpC7GeF4lJ2x4AaABAg.AQRxtILXsA2AQUJ6IK33E3,@MiguelMonteschio,Você é louco não compensa,1,2025-12-08T18:27:32Z
UgymeNxcVQGHlk4R55F4AaABAg,@JoãopedroJoão-n1e1e,UgymeNxcVQGHlk4R55F4AaABAg.AQRpv8dQzrnAQUJRQriZrR,@HelloItsArtz,"Não,ele leu algumas mensagens",0,2025-12-08T18:30:25Z
UgxlI6vY_hBzsojO_Np4AaABAg,@Bida-u9c,UgxlI6vY_hBzsojO_Np4AaABAg.AQRPNwLTODqAR5hP-z0GZF,@lucyanapraxedes584,Rola,0,2025-12-24T01:38:55Z
UgzPtRT5tnlBsFd8XRF4AaABAg,@MelhorDaMente,UgzPtRT5tnlBsFd8XRF4AaABAg.AQQ30DIsWlHAQSiVM5SapU,@maryschneider-m9j,.,1,2025-12-08T03:39:40Z
UgzPtRT5tnlBsFd8XRF4AaABAg,@MelhorDaMente,UgzPtRT5tnlBsFd8XRF4AaABAg.AQQ30DIsWlHASZKAV7L2uj,@marciarodrigues2426,​,0,2026-01-29T10:15:50Z
UgwfjqTtEN56pgUGovR4AaABAg,@GustavoBarbosadosSantosdes-n1o,UgwfjqTtEN56pgUGovR4AaABAg.AQPsZAkCiAXAQyq90Fhyy3,@ArturMelo-v2i,12 de junho desse ano foi triste primo do meu pai morreu😭😭,1,2025-12-21T00:21:27Z
