comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARX6CWATpVq,@JadsonPereira-r9n,O primeiro é o tremeliques só que no modo fúria kakskakakks,2,2026-01-03T17:03:54Z
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARXZTp_0H1V,@ana_Clara-t7h,"Eu tenho uma, mas o primeiro é engraçado kkkkk",11,2026-01-03T21:19:40Z
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARXr-Pv1I69,@AlanaSantos-k6g,Obrigada foi esse vídeo que eu pedir 😊,1,2026-01-04T00:01:32Z
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARY2ZUnWfua,@dalianarodrigues7686,Cacaca😂😂😂😂😂😔🤣🤣🤣,1,2026-01-04T01:51:19Z
UgwWLrJf4gzdQk42dx54AaABAg,@comediamodoon,UgwWLrJf4gzdQk42dx54AaABAg.ARWmxih0dhIARY2yeo3b2X,@anya_1007,De todos mas o meu foi,1,2026-01-04T01:54:54Z
Ugzayh5MtD-1tLTXj5R4AaABAg,@guiguizzzzz,Ugzayh5MtD-1tLTXj5R4AaABAg.ATFwyoAXlBKATFzDAUcVDP,@Julia_Rezende_Ju,"A tão calmo né?""",1,2026-02-15T18:29:47Z
Ugz1qhphcjDbkP6cotV4AaABAg,@HiviaEloá,Ugz1qhphcjDbkP6cotV4AaABAg.AT-zczHACIQAT1RiZsBS0T,@Kauan-k411,Um q ? Kkkkk,1,2026-02-10T02:59:00Z
Ugzc5jrW4WuuECxLSR94AaABAg,@Uma_eyekon77,Ugzc5jrW4WuuECxLSR94AaABAg.AT-OcMgGhpzATL4EzNsZFx,@Jairomelloofficial,🙂‍↔️,0,2026-02-17T17:58:40Z
Ugzc5jrW4WuuECxLSR94AaABAg,@Uma_eyekon77,Ugzc5jrW4WuuECxLSR94AaABAg.AT-OcMgGhpzATSZziBiGEG,@NunesDamasceno-m6x,😂😂👹,0,2026-02-20T15:50:45Z
Ugzrh2jwaVFZpsyKN-d4AaABAg,@franciscojuldeniralvesjuni-v8z,Ugzrh2jwaVFZpsyKN-d4AaABAg.ASZm1OUl7WtASevAXqTlDq,@liviadeboni4108,❤😢❤ justiça,2,2026-01-31T23:43:20Z
Ugzrh2jwaVFZpsyKN-d4AaABAg,@franciscojuldeniralvesjuni-v8z,Ugzrh2jwaVFZpsyKN-d4AaABAg.ASZm1OUl7WtAShTV6hClT_,@celiatini2910,😥,2,2026-02-01T23:30:27Z
Ugzrh2jwaVFZpsyKN-d4AaABAg,@franciscojuldeniralvesjuni-v8z,Ugzrh2jwaVFZpsyKN-d4AaABAg.ASZm1OUl7WtAShpLNb-KiW,@kurisutofã-p3e,Até aqui?,1,2026-02-02T02:50:06Z
Ugw6sGBM17nGrsNPEeV4AaABAg,@sandy.edts1,Ugw6sGBM17nGrsNPEeV4AaABAg.ASK_hnuY222AShTR7OOpm_,@celiatini2910,👏👏👏🙌😍,1,2026-02-01T23:29:54Z
Ugy3WEP-5ll7bVHgP0J4AaABAg,@eliza-c9j8g,Ugy3WEP-5ll7bVHgP0J4AaABAg.ASEoXSDAnJJASEoaqOyZu0,@eliza-c9j8g,Cão eu em Deus que me perdoe aaaaaaa,0,2026-01-21T11:06:24Z
Ugx4aoJaJBN8Hig0N-J4AaABAg,@flipsi316,Ugx4aoJaJBN8Hig0N-J4AaABAg.ASEaL9SeWluASNDXFBgYpE,@fernandomar2546,Meu deus e um milagre,0,2026-01-24T17:26:53Z
Ugx4aoJaJBN8Hig0N-J4AaABAg,@flipsi316,Ugx4aoJaJBN8Hig0N-J4AaABAg.ASEaL9SeWluASNDZD8cute,@fernandomar2546,Um Pincher que não e irritado,0,2026-01-24T17:27:09Z
UgyuZXhWbUKnOO6buDh4AaABAg,@hanniemeowcat,UgyuZXhWbUKnOO6buDh4AaABAg.ASAM4R40NTjASD24jzgEro,@DOCfe6555,"Nada a ver 
Eles adoram mostrar poder 
Tem uma de uma amiga  que me adora e foca triste se não falo com ela, se ignoro kkkk mas depois de dar atenção a  ela o bicho pega 
Qdo vou embora e levanto ela sabe que vou então finge que está me expulsando KKK ataca faz barulho é uma zoeira total",0,2026-01-20T18:34:28Z
Ugx4MGXE8oIUfNvv7jB4AaABAg,@pollyannaavila3146,Ugx4MGXE8oIUfNvv7jB4AaABAg.AS8_AIzBMKKAS8_Bs4jZHR,@pollyannaavila3146,Um qq,0,2026-01-19T00:56:20Z
