comment_id,author,text,like_count,published_at,reply_count
Ugz59HHVnsLGUcuTi7B4AaABAg,@Davi.7181,Ox,0,2026-02-24T21:12:32Z,0
Ugxb_SG-oNGC7_BoZ5F4AaABAg,@GabriellyBrandão-h4j,"""Iiii se me quebrou né"" rachei kkkkkk",0,2026-02-24T21:11:12Z,0
UgyritWLDQDDAgkIJhN4AaABAg,@thi_888-c,me nota por favor,0,2026-02-24T21:11:08Z,0
UgyalY0nlFv56ZCAnmx4AaABAg,@Daniel-h4p2l,Eu seria quem nem você biel,0,2026-02-24T21:08:54Z,0
UgyomUYTEBP0c3XT8lF4AaABAg,@mariaeloise8673,1 gg,0,2026-02-24T21:08:25Z,0
Ugzs9_mn9yinhGIjfkt4AaABAg,@Bia_SDM,Ent eu sempre faço isso KAKAKKAKA,0,2026-02-24T21:08:05Z,0
Ugx6iGJdMAIguMFdxJx4AaABAg,@GabrielleMachado-b7d,Eu sempre fiz isso dkksks,0,2026-02-24T21:06:16Z,0
Ugyv5NXDeFntCsmdYjp4AaABAg,@Luizinhopvp-h9x,PRIMEIRO,0,2026-02-24T21:03:03Z,2
Ugyw6ZU16xFTL3wcg654AaABAg,@lucianebellini1,Juro kkkkkk,0,2026-02-24T21:02:30Z,0
UgwommNDAqBemIQ2avV4AaABAg,@mayara.-or2ly,Segundaaa,0,2026-02-24T21:02:29Z,0
Ugxl5Jm5dWDegjFX-_V4AaABAg,@renatolima5757,Segundo,0,2026-02-24T21:02:27Z,0
UgwI7RYu3CAcplzfki54AaABAg,@Vinicius-h8d2s,Primeiro,0,2026-02-24T21:00:55Z,0
