comment_id,author,text,like_count,published_at,reply_count
Ugx1H2ZANr-QV6qMnYN4AaABAg,@Danigames-x8h,A risada parece de fumante a diferença e q eles nn fumaram o cigarro eles comeram kk,0,2026-02-22T21:34:22Z,0
Ugz0Tmlq4bQBM9cO57F4AaABAg,@Danigames-x8h,A risada:PAAAAH🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖🫖👹👹💥💥💥,0,2026-02-22T21:33:51Z,0
Ugxr6RVV3xj4t2I6nox4AaABAg,@thiagomoraismorais5891,🎉😂😂😂😂😂😂😂😅😅😂😂,0,2026-02-22T21:20:22Z,0
UgyAiHlKTGt69gUrW814AaABAg,@VanessaDeOliveiraLobão,👎💩💩💩🤢🤢🤮🤮🤮🤮🤮🤮,0,2026-02-22T20:30:29Z,0
UgwGz39PfPFBlDmQ6mh4AaABAg,@EllenMartinelle,🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤩😭😭😭,0,2026-02-22T18:37:25Z,0
UgxWJuKIsN5qzU8BJf94AaABAg,@EsterHonório-z5r,MAIS TRES AL MESMO TEMPO 🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬,0,2026-02-22T17:54:50Z,0
UgzIuKwW7IXOru24k4Z4AaABAg,@SandraSantos-ow9gf,eudemoroprami coumeu irmão,0,2026-02-22T16:56:07Z,0
Ugwb75-xtalUK6Kphed4AaABAg,@LyviaEliasNascimento,Parece eu e minha  prima  kkkkkkkķkk😂😂😂😂😂,0,2026-02-22T16:34:31Z,0
Ugzb-dEwC4Fi5erzVZF4AaABAg,@analucarvalho6769,JÁ   É    05 :59   06 :00   KKKKKKKKKJJKKKKKKKKKKKKKĶKKKĶKKKKK,0,2026-02-22T05:56:20Z,0
UgwbmFw-9g_y0ryQv6V4AaABAg,@MacedoLilian-g1s,Lá ele,0,2026-02-22T02:52:50Z,0
Ugx06K3BoLpaZu2J0_N4AaABAg,@JoãoBatista-i6g1d,😂😂😂😂😂😂😂😂😂,0,2026-02-22T02:23:00Z,0
Ugw8-2g-l18sZCsz8LZ4AaABAg,@AndreiaBueno-u6u,se ele é homem ele tava atrás dele que dizer que ele é 🏳️‍🌈 gay os dois são gays🏳️‍🌈 aiiiin lá ele,4,2026-02-21T18:12:48Z,2
Ugy-mOZzvsGDj6IEZVR4AaABAg,@JosefarosanaRosana,Essa risada velho é muito hilária 😂😂,1,2026-02-21T16:14:30Z,0
UgzHtHwaw7-wcSa1ZId4AaABAg,@elietesouza6128,As  risadas. 🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬,1,2026-02-21T15:38:55Z,0
Ugyv-trU2o9tH2GkwYV4AaABAg,@MaríaEduardaFelx,Uma pergunta:ele queima ou nn queima?,1,2026-02-21T04:00:39Z,1
Ugx-Xre39dH2Dgja7o94AaABAg,@alexbootfortnite8321,Faz outro vídeo desse você só faz se você fazer um monte de vídeo,0,2026-02-21T02:25:32Z,0
UgyC-LR3D_50puuVM194AaABAg,@andrialeal-ok7el,Eu a minha irmã quando a gente não consegue dormir ele 5 mil reais pra inf1a o dedo no meu tob4 me dá um abraço aí i sai pra lá mano que bagulho que tá atrás de mim  oe é o controle mas o controle tá aque iiiiiiiiiiii😊😊😊😊😊😊😊😅😅😅😅😅,2,2026-02-20T22:14:40Z,2
Ugyy2tLzLyTE805Yh6F4AaABAg,@rubiabullerjahnkuster3610,Kakakakakakakakakakakak😂,3,2026-02-20T20:31:36Z,0
UgzthtumTQdxXtYRUM54AaABAg,@DayseAlves-d2j,😂😂😂😂😂😂kkkkk,0,2026-02-20T19:06:35Z,0
UgwZpVzqP7Mt_bC2eOh4AaABAg,@AlannaMelo-g1t,Eu e minha irmã quando nós quando não temos sono kkkkk,6,2026-02-20T18:52:29Z,0
UgzOqSW8TWTIZWSLbid4AaABAg,@thalitarodriguesferreira1822,Kkkkkkkkkkkk parece eu e minha amiga kkkk😊,0,2026-02-20T18:08:26Z,0
UgzquCfm7dzfrcqoWTJ4AaABAg,@JamylleLeao,Oi,0,2026-02-20T17:36:46Z,0
UgzGDV7R22031n10b694AaABAg,@PedroLuccaMaximo,A risada de fumante dele,2,2026-02-20T17:05:28Z,0
Ugy2C0zjjX21D7Ym6Jl4AaABAg,@VitóriaMarques-l9v,"Controle ixi lá ele 🤨




(𝔈𝔡𝔦𝔱) 𝔫𝔬𝔰𝔰𝔞 𝔳𝔩𝔴 𝔭𝔢𝔩𝔬 𝔬𝔰 𝟽 𝔩𝔦𝔨𝔢𝔰",7,2026-02-20T16:41:11Z,0
UgyFrDFqIp4o-qzAj3R4AaABAg,@MundodaSophieoficial,akakakakka RISADA DE FUMANTE,0,2026-02-20T14:22:57Z,0
Ugz4gWlT9MRCcEVrfg14AaABAg,@IvonecardosoDaquinto-c2w,Dormiu nunca mais vou deixar o like no seu sorriso Barbie,2,2026-02-20T12:33:57Z,0
UgxfAO3NxV75HH5lNth4AaABAg,@COROADOSENHORPAIYY,Kakakakaka iiiii,1,2026-02-20T08:57:13Z,0
UgzDeckUWJqRxi157fl4AaABAg,@lilianlessemmeirelles,😂😂😂😂😂😂😂,0,2026-02-20T05:53:05Z,0
Ugy6LocFVBIFTQyPGmR4AaABAg,@PedroIram-j4r,A risada de fumante,8,2026-02-20T01:11:02Z,1
UgxwgagWgNEFWWItAqJ4AaABAg,@rosilda583,❤❤❤❤❤❤❤❤❤❤❤❤❤😊,1,2026-02-20T00:52:29Z,0
Ugw5GHLYB_ZWjHvhDrJ4AaABAg,@VictorFernandoLeãoGomesdeSouza,Eu sei vc sabe todos sabem,1,2026-02-19T23:32:46Z,0
UgzPWcRznGWx_VUKfKV4AaABAg,@MarcosAndré-w2o,Kkkkkkkk😂😂😂😂😂😂😂kkkkkkkkkk,0,2026-02-19T23:26:53Z,0
UgxJm2ue1oztmx5dpxN4AaABAg,@vanildoconceicao7385,😂😂😂😂😂😂😂,0,2026-02-19T22:52:32Z,0
UgwTYHHYZGnNv3VVBvZ4AaABAg,@rusney1,Kkkkkkkkkkkk,0,2026-02-19T21:47:53Z,0
UgxokN4ODWfcgl5ahtB4AaABAg,@anacarolinamagalhaes5087,Tô morrendo de rirrrejsjsbfbnj KAKAKKKK,0,2026-02-19T18:37:36Z,0
UgwpzZUqHQvlqDTuDu54AaABAg,@anacarolinamagalhaes5087,😂😂😂😂😂😂😂,0,2026-02-19T18:37:25Z,0
Ugy-7NhpnnwB_o_KIBF4AaABAg,@anacarolinamagalhaes5087,KKKKKKKKKKKAKAKAKAKAKAKAKKKKK,4,2026-02-19T18:37:18Z,1
Ugz6r4k5ZIv9zgeGg_B4AaABAg,@DhyanaBarbosa,Eu entendi o último,0,2026-02-19T16:34:58Z,1
UgwudlDJJQ5M89ON3MV4AaABAg,@helenaguimaraes9498,"""cinco mil reais pra enfiar a mão no meu toba pagaria"" auuauauauauauauaau👹👹🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬🚬",1,2026-02-19T15:58:42Z,0
UgxAphwVgyCuxcPvCXJ4AaABAg,@thiagopiaia8577yunah,😂😂😂😂😂,1,2026-02-19T15:43:55Z,0
UgxhrJAuvvvzfxZ4mJt4AaABAg,@lucianopaulo2969,Kkkkkkkkkk😅😅😅😅😅,1,2026-02-19T14:01:04Z,0
