comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgxLrpeR9dpLqxfPkbB4AaABAg,@DavidAlexandrejaconisdomingos,UgxLrpeR9dpLqxfPkbB4AaABAg.ATcdu_CW6h-ATceIL2Kp35,@Puckzita,😂😂😂 que isso,1,2026-02-24T23:08:45Z
Ugym2mpu8U46o3VgoCh4AaABAg,@GabrielaSilva-fx7tk,Ugym2mpu8U46o3VgoCh4AaABAg.ATcdW-8ekY3ATceL8PGWu8,@Puckzita,Sim,1,2026-02-24T23:09:09Z
UgwgSdL-PZKBHaKSYZF4AaABAg,@CarlosAlmeida-c2e,UgwgSdL-PZKBHaKSYZF4AaABAg.ATcdSnRfaprATceN7EvVBr,@Puckzita,Faz tempo mesmo 😊,1,2026-02-24T23:09:25Z
Ugzn9W7cm2siXR-Mp2l4AaABAg,@Laura-x4f2g,Ugzn9W7cm2siXR-Mp2l4AaABAg.ATccee1dX1CATceQ4hpuZz,@Puckzita,"O que e ""jp""",1,2026-02-24T23:09:49Z
UgwXH05oU3gXA6sLjKl4AaABAg,@Edu27official,UgwXH05oU3gXA6sLjKl4AaABAg.ATcbSRQN90kATceStPCNxI,@Puckzita,😂😂😂,1,2026-02-24T23:10:12Z
UgyFE1KpN5xjBn9na_B4AaABAg,@BeatrizOliveira-l4q,UgyFE1KpN5xjBn9na_B4AaABAg.ATcUgxLKNqNATcUicM1Vpo,@BeatrizOliveira-l4q,😂😂😂😂😂🤣🤣,1,2026-02-24T21:36:22Z
UgzkEGvdthadBPmTKK54AaABAg,@nessacuri,UgzkEGvdthadBPmTKK54AaABAg.ATbGNotkfzkATbuqbBM2yj,@Puckzito,to com caganeira faz 1 ano e 3 meses desculpa,0,2026-02-24T16:14:09Z
UgzkEGvdthadBPmTKK54AaABAg,@nessacuri,UgzkEGvdthadBPmTKK54AaABAg.ATbGNotkfzkATcpp2UqPow,@nessacuri,Kkkkkkk obg por me responder amo seu canal meu sonho se realizou meu YouTuber favorito meu notar mt obrigado puck,0,2026-02-25T00:49:29Z
Ugxmt8E-lDmcvH5ek-V4AaABAg,@BetilsonChimica,Ugxmt8E-lDmcvH5ek-V4AaABAg.ATarkcRwf0ZATauDeYoN7q,@Puckzita,😂😂😂,1,2026-02-24T06:49:27Z
UgzmmOYTnXYAgukGAQR4AaABAg,@brendadamarysc,UgzmmOYTnXYAgukGAQR4AaABAg.ATaiTvHOGthATauEzZ9LHu,@Puckzita,😂,0,2026-02-24T06:49:38Z
UgyXo_oYF937pHGjaFN4AaABAg,@dodofofa12,UgyXo_oYF937pHGjaFN4AaABAg.ATacjg_w52sATauHYjMfUT,@Puckzita,😂,2,2026-02-24T06:49:59Z
UgyPqeGNCBBJy1Y0k0p4AaABAg,@silene6867,UgyPqeGNCBBJy1Y0k0p4AaABAg.ATabtYiwSKBATabw9n0QCL,@silene6867,Kkkkkkkkkkkk😂,2,2026-02-24T04:09:38Z
UgyPqeGNCBBJy1Y0k0p4AaABAg,@silene6867,UgyPqeGNCBBJy1Y0k0p4AaABAg.ATabtYiwSKBATauJMM1WOe,@Puckzita,​@silene6867😂,0,2026-02-24T06:50:14Z
UgwdlU3gSZ5AAbGEP254AaABAg,@martadionedaconceicao5109,UgwdlU3gSZ5AAbGEP254AaABAg.ATaaABBh6HZATaaDBqYnL0,@martadionedaconceicao5109,Foi meu pai qui mi falo,0,2026-02-24T03:54:37Z
Ugxf81Ujai1a6TgF5iV4AaABAg,@ClaudiaHavanealves,Ugxf81Ujai1a6TgF5iV4AaABAg.ATaFMeDbrjGATaFOUcW70S,@ClaudiaHavanealves,esse é o telefone da minha mãe tá poquito,0,2026-02-24T00:43:56Z
UgzIbsZJTbl09goDb5B4AaABAg,@HyanDanielRibeiro,UgzIbsZJTbl09goDb5B4AaABAg.ATaCYXqF6ztATbgMtjLP5-,@emillyzinhaa244,😂😂😂,0,2026-02-24T14:07:37Z
Ugx56KGihXLTDTe8Sw54AaABAg,@AnaClarara.583,Ugx56KGihXLTDTe8Sw54AaABAg.ATaAm5tC08yATaAuy9dLMy,@maryyy-n1u,Tou em 2060 ;( :0,0,2026-02-24T00:04:48Z
UgyIWrxj6iSecH47MZR4AaABAg,@afonsoreis7219,UgyIWrxj6iSecH47MZR4AaABAg.ATaAK-hAGFYATcfn3uRzza,@ernandesousa-q9o,Vdddd,0,2026-02-24T23:21:50Z
Ugx3gokqo0nLUG6L0HZ4AaABAg,@ArthurSilva-j6n4b,Ugx3gokqo0nLUG6L0HZ4AaABAg.ATa9o4QLQibATa9zO3iCKf,@liviarochacardosodejesus8445,SLK,0,2026-02-23T23:56:40Z
UgzMqdNnUXj5QQHADDN4AaABAg,@IzaqueAraujolima-rc1mq,UgzMqdNnUXj5QQHADDN4AaABAg.ATa9aMG9jw5ATa9yAac6vf,@liviarochacardosodejesus8445,Cala se,0,2026-02-23T23:56:30Z
