comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugy5G4S3lNg1AyiPG3V4AaABAg,@CarôFerreira-m6w,Ugy5G4S3lNg1AyiPG3V4AaABAg.ATbp1AVokgHATcJDDyf-rj,@receptáculo_sombrio,Primeiro o vídeo e roubado segundo toda vez q ver algum vídeo roubado da deslike,0,2026-02-24T19:55:50Z
Ugy5G4S3lNg1AyiPG3V4AaABAg,@CarôFerreira-m6w,Ugy5G4S3lNg1AyiPG3V4AaABAg.ATbp1AVokgHATcs5yZC5jz,@DanielBarbosa-g5o,Tadinha nada só roxbo,0,2026-02-25T01:09:24Z
UgzX57TL4mtwThwam9J4AaABAg,@LorenaBastos-zy5pp,UgzX57TL4mtwThwam9J4AaABAg.ATbi8wbW5HbATbkVJeD0zM,@nicolas_edit123,Meu deus tu criancinha,0,2026-02-24T14:43:43Z
UgzX57TL4mtwThwam9J4AaABAg,@LorenaBastos-zy5pp,UgzX57TL4mtwThwam9J4AaABAg.ATbi8wbW5HbATcr82od-7I,@LaraSouza-d9m9u,Kkkklkk❤❤,0,2026-02-25T01:00:57Z
UgzwfSPKzD3w99HVCKh4AaABAg,@Cloud-day-2,UgzwfSPKzD3w99HVCKh4AaABAg.ATbdFnHPIu4ATbjj2-8yiI,@isa_2016-c5n,N é  seu nem dele é  do dono,0,2026-02-24T14:37:00Z
UgzwfSPKzD3w99HVCKh4AaABAg,@Cloud-day-2,UgzwfSPKzD3w99HVCKh4AaABAg.ATbdFnHPIu4ATdxfybJe3t,@Vitor173Hugo,​@isa_2016-c5nqual é o dono pora protagonista que fica se achando mais que não sei o quê fala qual é o dono,0,2026-02-25T11:17:23Z
UgzwfSPKzD3w99HVCKh4AaABAg,@Cloud-day-2,UgzwfSPKzD3w99HVCKh4AaABAg.ATbdFnHPIu4ATeOLmCny_P,@JoãoVitorGamer-w7o7c,Ronazim,0,2026-02-25T15:19:10Z
UgzwfSPKzD3w99HVCKh4AaABAg,@Cloud-day-2,UgzwfSPKzD3w99HVCKh4AaABAg.ATbdFnHPIu4ATeOMjTJq0a,@JoãoVitorGamer-w7o7c,Esse é o canal,0,2026-02-25T15:19:18Z
UgwQYo-KErtP082sooN4AaABAg,@tarik9052,UgwQYo-KErtP082sooN4AaABAg.ATba55QEWaSATbkUWOcGoW,@iaramoraes6009,O comentário com mais aura do mundo..,0,2026-02-24T14:43:37Z
Ugy_FMphDGjFWhC272V4AaABAg,@gearlairis8486,Ugy_FMphDGjFWhC272V4AaABAg.ATbISSGzPKNATbVH9_GAGt,@SilvaniaNeresdesouza,Tá?;---;,0,2026-02-24T12:21:59Z
Ugy_FMphDGjFWhC272V4AaABAg,@gearlairis8486,Ugy_FMphDGjFWhC272V4AaABAg.ATbISSGzPKNATbVL9ikUf4,@TINuvem-LojãoRiodoPeixe,Gente bora reviver os memes antigos bora destruir esses memes de hoje só disse que serve proibido cê que serve,0,2026-02-24T12:22:31Z
