comment_id,author,text,like_count,published_at,reply_count
UgzEh85Oyc5WfA9Sjjd4AaABAg,@Debora15vitoria,😂😂,0,2026-02-25T20:13:12Z,0
UgwkdvNdxU3vV5RzCIN4AaABAg,@JULYANAMarques-q9b,😭😭😭😭   meu  pai   mora  muito longe😢😢😢😢,0,2026-02-25T19:42:36Z,0
Ugxb5Rrlw2p4R03VRhx4AaABAg,@pain-l8v,Lembra de mim irmão,0,2026-02-25T19:17:42Z,0
Ugwtdq-sXCv9ZCxsHmd4AaABAg,@wesleymoreira4676,❤😂🎉😢😮😅❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2026-02-25T18:55:29Z,0
UgwEVfhoxjWCcEM_Wi54AaABAg,@cecilianeves3713,"Mano e assim mesmo, sinto falta dessa epoca mas agora eu to no 6 ano e tudo e lacre e porrada",1,2026-02-25T18:39:28Z,0
UgxeGhAR8Xh7LmTLted4AaABAg,@AntoniooLopes-v3q,.,0,2026-02-25T18:00:51Z,0
Ugzc8i0mR_HEgEXT89l4AaABAg,@jesussantos-r3l,Monemone,0,2026-02-25T16:52:11Z,0
UgzNbogGVKCxS1oKBlt4AaABAg,@rosimarvazdasilvasobrinho3591,☠️☠️☠️☠️☠️☠️☠️☠️💀 perdeu um argumento,0,2026-02-25T16:03:29Z,0
UgwMFfulx6zzXicxxcB4AaABAg,@kitsune.user7655,E vc e careca kkkkkkkk,1,2026-02-25T15:43:54Z,0
Ugzw1FAwSdJfOjFtSx54AaABAg,@EsterFerreira-i7b,Kkkk,0,2026-02-25T15:41:23Z,0
Ugy6z-96oYr8B6BcG994AaABAg,@LaviniaEloahLima-o1m,Quebrou a regra 😮😮😮😮😮😮😮😮😮😮 aura,0,2026-02-25T15:18:27Z,0
UgxjOEqsryS8fBvI47J4AaABAg,@MariseMartins-k9b,Tropa de quem acha q ela ganhou no argumento.               👇,0,2026-02-25T14:43:49Z,0
UgxtzWRyopROeJkwf_l4AaABAg,@Leandro_Ninja,OLOKOOOOO,0,2026-02-25T14:35:13Z,0
Ugxbl5c10NO-iraFnDp4AaABAg,@JoaovitorXavierSantana,Se ele falar minha nossa nossa nossa pra mim eu grito na rua de cueca,1,2026-02-25T13:27:06Z,2
UgyfV5P1rL1DMQdaZFd4AaABAg,@TheylorGonçalves-o8o,Oi sena😊,0,2026-02-25T13:24:23Z,1
Ugwu5xUaifmzpQZw9Hl4AaABAg,@marciasouza9057,"""e pelo menos eu eu tenho pai😏"" eu n deixava kkkkkkkk",2,2026-02-25T13:18:17Z,1
Ugzp16AkDQiPht_pe4B4AaABAg,@WelintonTorres-g3f,😎😎😎😎😎😎😎😎😎😎😎😎😎😎,0,2026-02-25T12:50:45Z,0
UgyfGo_mc2w5OYV7zNp4AaABAg,@fernandasantos604,Aiii,0,2026-02-25T12:14:51Z,0
UgwX7Qjn-CXBPMjxMZZ4AaABAg,@sofidani-x6h,"Ao tamanho do pão



Edite: lá ele",0,2026-02-25T11:27:42Z,0
Ugx2IaK0oZopuMVY6CB4AaABAg,@Maurobrito-um6wk,E no prime siuuuuuuuuuuuuu😂,2,2026-02-25T10:09:59Z,0
UgwmIDBfv6rEcARS0XN4AaABAg,@ArthurViniciossilvagomes-u9j,eoSenna duvido se passar do meu recorde do segure o ovo e 1503,0,2026-02-25T09:43:48Z,0
UgwzW5we4k1WpkrlRZ94AaABAg,@htunico53,Senna por favor me fixa,1,2026-02-25T09:37:44Z,1
UgzEvgwtdqQ8oXKNuoR4AaABAg,@Mylena-i6z,Q pai?,1,2026-02-25T09:36:50Z,2
