comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
Ugxbl5c10NO-iraFnDp4AaABAg,@JoaovitorXavierSantana,Ugxbl5c10NO-iraFnDp4AaABAg.ATeBX2QfIJaATeBekpxwDx,@eosenna_,Kkkkk minha nossa nossa nossa,0,2026-02-25T13:28:18Z
Ugxbl5c10NO-iraFnDp4AaABAg,@JoaovitorXavierSantana,Ugxbl5c10NO-iraFnDp4AaABAg.ATeBX2QfIJaATeCLnbE03i,@JoaovitorXavierSantana,TA POXAAÁAAAAAAAAAAAAAAAAAAAAAAAÁAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,0,2026-02-25T13:34:19Z
UgyfV5P1rL1DMQdaZFd4AaABAg,@TheylorGonçalves-o8o,UgyfV5P1rL1DMQdaZFd4AaABAg.ATeBDAS4rBqATeBTEyud2P,@eosenna_,Oi! 😊,0,2026-02-25T13:26:35Z
Ugwu5xUaifmzpQZw9Hl4AaABAg,@marciasouza9057,Ugwu5xUaifmzpQZw9Hl4AaABAg.ATeAWURIVvJATeBUzOSQiW,@eosenna_,😂😂😂,0,2026-02-25T13:26:49Z
UgwzW5we4k1WpkrlRZ94AaABAg,@htunico53,UgwzW5we4k1WpkrlRZ94AaABAg.ATdmH5ym8clATeBUFlr00P,@eosenna_,Opam ❤,0,2026-02-25T13:26:44Z
UgzEvgwtdqQ8oXKNuoR4AaABAg,@Mylena-i6z,UgzEvgwtdqQ8oXKNuoR4AaABAg.ATdmAR7fwgbATeBXPvFtVN,@eosenna_,😢😢😢,0,2026-02-25T13:27:09Z
UgzEvgwtdqQ8oXKNuoR4AaABAg,@Mylena-i6z,UgzEvgwtdqQ8oXKNuoR4AaABAg.ATdmAR7fwgbATeBXqN7ed_,@eosenna_,Kkkk,0,2026-02-25T13:27:13Z
UgxrDNB5iYvVXYSj7hN4AaABAg,@AnnajullyaRodriguesmacedo-p5z,UgxrDNB5iYvVXYSj7hN4AaABAg.ATdB1zXuYcUATeBa3dzf7s,@eosenna_,Se eu queria ?,0,2026-02-25T13:27:40Z
UgydReqqjNBYn76kt1B4AaABAg,@ramycle,UgydReqqjNBYn76kt1B4AaABAg.ATczw4ItGN_ATeBc8w52Wo,@eosenna_,É a trend do momento 😂😅😅,0,2026-02-25T13:27:56Z
Ugweo3U_fmlhCWqACQh4AaABAg,@Greg_Editz077,Ugweo3U_fmlhCWqACQh4AaABAg.ATcoF5U0sZUATeBZURw8Rq,@eosenna_,Lembro sim,0,2026-02-25T13:27:27Z
UgzPBk82qLLa39sRDit4AaABAg,@SilvanaAvelar-tq1xd,UgzPBk82qLLa39sRDit4AaABAg.ATcmiCiBNTjATcn-XGNMDy,@SilvanaAvelar-tq1xd,Popplaytime 5,0,2026-02-25T00:24:50Z
UgztAy6FXrEWlA4SKiR4AaABAg,@yasmimherrerazeferinozeferino,UgztAy6FXrEWlA4SKiR4AaABAg.ATccMaigzaPATeBYNKTncR,@eosenna_,Oi! ❤,1,2026-02-25T13:27:17Z
UgzqnXq6q1zZalrFLnV4AaABAg,@Yuri-p1v6p,UgzqnXq6q1zZalrFLnV4AaABAg.ATcXXNmoV5wATeBd1Z_xZp,@eosenna_,😂😂😂,0,2026-02-25T13:28:04Z
UgyRRUcraTge8pu49xB4AaABAg,@thiagosoares4599,UgyRRUcraTge8pu49xB4AaABAg.ATcUaJJOc-tATeBW7l9PVk,@eosenna_,Kkkk❤❤❤,0,2026-02-25T13:26:59Z
UgyRRUcraTge8pu49xB4AaABAg,@thiagosoares4599,UgyRRUcraTge8pu49xB4AaABAg.ATcUaJJOc-tATeBaSH5JLe,@thiagosoares4599,"​@eosenna_adoro vc manooooooooo vc e meu YouTube favorito,",0,2026-02-25T13:27:42Z
UgzlZSDIa9tRsl3x6M54AaABAg,@Ludzin10,UgzlZSDIa9tRsl3x6M54AaABAg.ATcUOC313LrATcWGMbl79g,@eosenna_,kkkk,1,2026-02-24T21:49:51Z
UgzlZSDIa9tRsl3x6M54AaABAg,@Ludzin10,UgzlZSDIa9tRsl3x6M54AaABAg.ATcUOC313LrATchagRcmHs,@Ludzin10,Eossena eu sou muito seu muito seu fã,0,2026-02-24T23:37:37Z
UgxcjUUNECjumjEUCYJ4AaABAg,@Thomas_Snapo,UgxcjUUNECjumjEUCYJ4AaABAg.ATcUKarhFdgATcWCuxIrLN,@eosenna_,kkkkk,2,2026-02-24T21:49:23Z
UgxaX4wkAEWVg9j7uiJ4AaABAg,@hugim123,UgxaX4wkAEWVg9j7uiJ4AaABAg.ATcTnVKmUaSATcWBQl0_Gr,@eosenna_,kkkk,1,2026-02-24T21:49:10Z
Ugzmx7sm3yfDBgiHHeJ4AaABAg,@williamAfton-87-x93,Ugzmx7sm3yfDBgiHHeJ4AaABAg.ATcSQQPn6SsATcSUFBRF8B,@HeitorARAUJO-x4v,Ru,0,2026-02-24T21:16:47Z
UgxJNSU7ip0RcEH0pB54AaABAg,@AnaSophia-k7r,UgxJNSU7ip0RcEH0pB54AaABAg.ATcSMQXyLAVATcWDy2vVFP,@eosenna_,kkkk,2,2026-02-24T21:49:31Z
UgzSyqXuARyOM2CpJGF4AaABAg,@Pedro_CRF_Pra_Sempre1895,UgzSyqXuARyOM2CpJGF4AaABAg.ATcSBi0zaZOATeBWiXYfvw,@eosenna_,Salve! 🔥,0,2026-02-25T13:27:04Z
UgxHojdDWQoDJqPHfQx4AaABAg,@Apenasumastayvivendo,UgxHojdDWQoDJqPHfQx4AaABAg.ATcS8WfY7XmATcSWLGeEO0,@HeitorARAUJO-x4v,Eu,0,2026-02-24T21:17:05Z
UgyuFTlL5EEw2lCAtTR4AaABAg,@ademirAparecido-v1l,UgyuFTlL5EEw2lCAtTR4AaABAg.ATcS-ogi3tvATcS77Be0UT,@mig_aleatorio9,"Opa, cheguei",1,2026-02-24T21:13:38Z
UgyuFTlL5EEw2lCAtTR4AaABAg,@ademirAparecido-v1l,UgyuFTlL5EEw2lCAtTR4AaABAg.ATcS-ogi3tvATcSXbZIIfD,@HeitorARAUJO-x4v,Wu,0,2026-02-24T21:17:15Z
UgyuFTlL5EEw2lCAtTR4AaABAg,@ademirAparecido-v1l,UgyuFTlL5EEw2lCAtTR4AaABAg.ATcS-ogi3tvATcUbfPLFbg,@thiagosoares4599,Eu,0,2026-02-24T21:35:25Z
UgyuFTlL5EEw2lCAtTR4AaABAg,@ademirAparecido-v1l,UgyuFTlL5EEw2lCAtTR4AaABAg.ATcS-ogi3tvATcUghE0HvD,@EsterSilva-yo9jn,Cheguei na hora kk,0,2026-02-24T21:36:06Z
UgyuFTlL5EEw2lCAtTR4AaABAg,@ademirAparecido-v1l,UgyuFTlL5EEw2lCAtTR4AaABAg.ATcS-ogi3tvATcVNKvDRgU,@LuanMessias234,Eu aqui,0,2026-02-24T21:42:04Z
UgxvFa_0IUtYZU2QgxN4AaABAg,@EduEditCaveira,UgxvFa_0IUtYZU2QgxN4AaABAg.ATcRujf8bdNATcSVRAtQoN,@HeitorARAUJO-x4v,Eu,1,2026-02-24T21:16:57Z
UgxvFa_0IUtYZU2QgxN4AaABAg,@EduEditCaveira,UgxvFa_0IUtYZU2QgxN4AaABAg.ATcRujf8bdNATcU7hYCtAc,@Davidofut81,Aqui não é emily Vick não pra vc ficar mendigando like,1,2026-02-24T21:31:11Z
UgxvFa_0IUtYZU2QgxN4AaABAg,@EduEditCaveira,UgxvFa_0IUtYZU2QgxN4AaABAg.ATcRujf8bdNATcUZ52gqU3,@EduEditCaveira,​@Davidofut81shhhh,2,2026-02-24T21:34:56Z
UgxvFa_0IUtYZU2QgxN4AaABAg,@EduEditCaveira,UgxvFa_0IUtYZU2QgxN4AaABAg.ATcRujf8bdNATcWC7wXUpW,@eosenna_,siuuu,3,2026-02-24T21:49:16Z
UgxvFa_0IUtYZU2QgxN4AaABAg,@EduEditCaveira,UgxvFa_0IUtYZU2QgxN4AaABAg.ATcRujf8bdNATcYI07kYGs,@Davidofut81,"@EduEditCaveira 
Quem faz shhhh é cobra",2,2026-02-24T22:07:33Z
UgwQ_MKEcRXCPrBPaFd4AaABAg,@theoramos_12,UgwQ_MKEcRXCPrBPaFd4AaABAg.ATcGbInwFpoATcWEsxCF-x,@eosenna_,muito,0,2026-02-24T21:49:39Z
