comment_id,author,text,like_count,published_at,reply_count
UgwgceMthp6Xlx8oZRZ4AaABAg,@SalifDoumbia-o8b,💪💪👍💪❤❤❤❤❤❤🎉🎉😂,0,2026-02-25T20:40:08Z,0
UgwLYU0_ZXpt_NRDcQx4AaABAg,@KennedyMukosha-m3y,You are the most lukyest😮😮,0,2026-02-25T20:32:11Z,0
Ugx2fjyURTuhF9z-6eJ4AaABAg,@antoniaalves3468,Um dia de sorte,0,2026-02-25T20:29:41Z,0
UgxIy1tJlf9URqrMc8h4AaABAg,@UmidaXAlikova-tp2gr,😎😎😎😎😎😎😎😎😎😎,0,2026-02-25T20:10:24Z,0
UgygkDFAQLoLUlF3JD94AaABAg,@alejandraaguayo-z4h,🤫🤨😎😎😎😎,0,2026-02-25T19:50:25Z,0
UgwGjSFBsEVS1oHcrUN4AaABAg,@thelorsdfree4087,😨😨😨😨😨😨😨😨🤒🤒🤒🤒🤒🤒☠️☠️☠️☠️☠️☠️☠️💀💀💀,0,2026-02-25T19:43:33Z,0
UgxMUhnmlZKTaJU77k14AaABAg,@MehmetismailÖğüt-i2n,😮😮😮oha amına😮😮😮nediyo olum😮😮😮,0,2026-02-25T19:37:04Z,0
UgwFYJyqVoFykuCc0HN4AaABAg,@juditpocsai1205,micsoda véletlen😂🤣,0,2026-02-25T19:33:05Z,0
UgxQFVhOIan6mG6TzQh4AaABAg,@İbrahimKaradağ-c6x,Kadın bir günde zengin oldu😂,0,2026-02-25T19:27:48Z,0
UgwjfxlCL8JFWdKaRFB4AaABAg,@thilinisandamali8760,මරැනෙ,0,2026-02-25T19:26:54Z,0
Ugzqmfz9smlFqaYV23x4AaABAg,@luceroegusquiza9617,Omg,1,2026-02-25T19:03:49Z,0
Ugzipnf4Re_t2I3t8Ep4AaABAg,@Maha-k8f8o,🎀🤩😱🎀💞💞💞💞💞💞💞,0,2026-02-25T18:56:30Z,0
UgxujNnAlsSxMgaZG7l4AaABAg,@CelNovo-d8l,Sorte infinita 🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀🍀,0,2026-02-25T18:32:21Z,0
Ugywig3rBB_JTMLh5kp4AaABAg,@MoatazAbduh,❤😮😊,0,2026-02-25T18:31:26Z,0
Ugz7sfST7MbaD8oVf3F4AaABAg,@امنواف-ك5د,كدا الحظ ولا بلاش😂😂😂,0,2026-02-25T18:20:14Z,0
UgxeNufgy93S81GePdp4AaABAg,@aimanelbalat4459,يا حظك  shye is so looky😊😊😊,0,2026-02-25T18:19:12Z,0
Ugxs9m0sb1Ylo0b_oyJ4AaABAg,@aimanelbalat4459,يا حظك  shye is so looky😊😊😊,0,2026-02-25T18:19:04Z,0
Ugw3JUWQ4dgtMUz_njV4AaABAg,@Samuel-l3j5e,Wow beruntung,0,2026-02-25T18:18:30Z,0
Ugz9N_haFy6f5s-1bop4AaABAg,@ElenaAdloo,🎉🎉🎉🎉😊😊😱,0,2026-02-25T18:16:07Z,0
Ugx99vUzhAe-8PYPoKh4AaABAg,@haticeozsagr,Huh?!,0,2026-02-25T18:07:14Z,0
UgxJxEcPk-j9-5EljGN4AaABAg,@BilalQasimov-u4i,😂😅,0,2026-02-25T18:05:51Z,0
UgyZu1dulDtAkyGdnSZ4AaABAg,@Dms12345-f,😮😮😮😮😮😮😮😮😮😮😮😮 I just think wow,0,2026-02-25T18:00:08Z,0
UgxVLYF0Ylhp3tA0Tzl4AaABAg,@Dms12345-f,😮😮😮😮😮😮😮😮😮😮 Interesting,0,2026-02-25T17:59:51Z,0
UgzZNeE0B7o5ucFSD7J4AaABAg,@mililtongupta,UH what😮😮😮,0,2026-02-25T17:38:48Z,0
UgxsxHoGf0qJqLsHySl4AaABAg,@CelalKöcer-v2q,💀☠️👀👏 Berfin,0,2026-02-25T17:30:20Z,0
Ugx1VpVREzdjMq448VZ4AaABAg,@Madina-d8e2q,😂😂😂😂😂😂😂😂,0,2026-02-25T17:30:15Z,0
UgyodgvCdoP9lKQW3sh4AaABAg,@kinjalrawal3640,"Her : luck 📈
Every one: shocked 🙀",0,2026-02-25T17:18:03Z,0
UgzPj3u9IMkQMG8qHUh4AaABAg,@CynthiaBautistamartinez,What FACK,0,2026-02-25T17:12:56Z,0
UgxYCd-f7b3kZYNzKBV4AaABAg,@Agustina-n8p5o,😮😮😮😮😮😮😮😮😮🤙💍❤❤❤,0,2026-02-25T17:03:07Z,0
UgyIQd28cLFXzXdWpdJ4AaABAg,@SefikaYesilada-kb1yc,😮😮😮😮😮😮😮,0,2026-02-25T16:54:16Z,0
UgwaYHLastgJFgE8UIV4AaABAg,@MaysaaLili,هههههههه😂😂,0,2026-02-25T16:38:17Z,0
UgzkjQ0J26dEZA4mc054AaABAg,@JfjteicnybcBydjtjdhcbf,حـظ اخوي ولله😢😢😢,0,2026-02-25T16:26:48Z,0
UgzVAsWfp7LGrJuU5d54AaABAg,@ayman-rx1,ياريت لو منت مكانها ❤❤❤❤❤,0,2026-02-25T16:24:34Z,0
UgyDinok9i2DsEwlDNJ4AaABAg,@Zeynebtagyeva-y5u,😅😅😅😅😅,0,2026-02-25T16:20:37Z,0
