comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgyNehqn3hXhfIpSED14AaABAg,@BarbaraZimniak,UgyNehqn3hXhfIpSED14AaABAg.ATe40BzHy4DATe49GyTScy,@BarbaraZimniak,❤❤❤❤❤❤😂😂😂😂,1,2026-02-25T12:22:42Z
Ugw2hIsL4r-1C07oRaF4AaABAg,@kanyadharasankar1764,Ugw2hIsL4r-1C07oRaF4AaABAg.ATbqN8oH1yJATbqOv5Nf8k,@kanyadharasankar1764,I want also this problem😊,0,2026-02-24T15:35:16Z
UgwDUwRfNDe4925J7wl4AaABAg,@imaneimy6073,UgwDUwRfNDe4925J7wl4AaABAg.ATbpRx3O5MzATbrH2epYJ6,@imaneimy6073,This so cool,0,2026-02-24T15:42:56Z
Ugwe_TvwP2B_xNFsXpV4AaABAg,@jaytan4349,Ugwe_TvwP2B_xNFsXpV4AaABAg.ATbbEa1K-YWATbbHwDmiwM,@jaytan4349,And she is so lucky that she got good things,0,2026-02-24T13:23:15Z
Ugw9hU5sFI7OaDZiMwV4AaABAg,@zaneelliesanjose,Ugw9hU5sFI7OaDZiMwV4AaABAg.ATb_riGcq3YATcGNnQoa7k,@sedaduran6614,"U should say ""she"" if she's a girl, and if its a boy, then u should say ""he""",0,2026-02-24T19:31:03Z
UgxC4HHfTG5qfTGZLAh4AaABAg,@towhidislam8998,UgxC4HHfTG5qfTGZLAh4AaABAg.ATbJAkeRi3uATbdroBRJhZ,@BiancaMutii,😮😮😮🤔🤔😳😳👏👏,0,2026-02-24T13:45:46Z
UgxC4HHfTG5qfTGZLAh4AaABAg,@towhidislam8998,UgxC4HHfTG5qfTGZLAh4AaABAg.ATbJAkeRi3uATdB2fkhxbw,@Hshs-n7i1h,😮😮😮Goo❤,0,2026-02-25T04:03:43Z
UgxC4HHfTG5qfTGZLAh4AaABAg,@towhidislam8998,UgxC4HHfTG5qfTGZLAh4AaABAg.ATbJAkeRi3uATdX6x7JMEH,@mdkamrulhasankhan7909,আমি যদি এই মেয়ের মত হইতাম 💀,0,2026-02-25T07:16:32Z
UgxC4HHfTG5qfTGZLAh4AaABAg,@towhidislam8998,UgxC4HHfTG5qfTGZLAh4AaABAg.ATbJAkeRi3uATdt40JbCZg,@TaivanBayar-lu4mt,😮😮😮😮😮❤🎉😊😎😎😎😎😎😎😎😎😎,0,2026-02-25T10:37:07Z
Ugyr_CdYpppYbah4joF4AaABAg,@MOATEZhamom,Ugyr_CdYpppYbah4joF4AaABAg.AT_73T6kzZ4ATdtBM4n-dC,@AliaArifa,Kakakenapa,0,2026-02-25T10:38:07Z
