comment_id,author,text,like_count,published_at,reply_count
UgyoliRxLfmjxg3HdKp4AaABAg,@patriciaflores5242,Parece o dono da união soviética,0,2026-02-25T21:24:16Z,0
UgybVJdHU7QzkB_i32F4AaABAg,@davigonçalves-y7x8m,OPA,0,2026-02-25T20:44:47Z,0
UgyhIFDGgdgzOTPPPwN4AaABAg,@ZMAXY_Taylor,O cara dando uma de Sasuke,0,2026-02-25T17:17:41Z,0
Ugx2Hq20PkZursqFmJp4AaABAg,@ViniciusAuersvaldt-j8t,Vo,0,2026-02-25T17:06:53Z,0
UgwPyMwkkkZYJNqDWCB4AaABAg,@user-wc1no7lt4u,Gdudgdhd😱,0,2026-02-25T16:55:08Z,0
UgwWZbJ5kO-rCf8xQ7J4AaABAg,@user-wc1no7lt4u,Thyehr Gr😮😮😰😰😰😰😰🤯🤯🤯🤯,0,2026-02-25T16:54:35Z,0
UgxixcmLEkwSFqnCV8J4AaABAg,@PedroWellingtonnonetopinehriod,😂 🤣 kkkkkkkkkkk😅,0,2026-02-25T16:47:36Z,0
UgzOLDhxp4dshkoo4754AaABAg,@DaviLucasSantosdeOliveira-g4d,Oq vc quer garoto AGR saia kkkkk,0,2026-02-25T16:37:06Z,0
UgxDI_FZRfps4Fo4TZ54AaABAg,@VeraLucia-nw4py,Mano eu sei como é isso toda vez que meus amigos vem para cá faço isso,0,2026-02-25T15:50:59Z,0
UgzgfzOmtNQdgJIEluJ4AaABAg,@RoseaneColetti-r6y,😂😂😂😂😂😂😂,0,2026-02-25T13:06:32Z,0
UgwrfK4ff0Sivxs8GAN4AaABAg,@Aghata.airesss,"Eu conheço o irmão mais velho do meus melhores amigos desde pequena, o irmão de um dos é mais o menos assim ksksks, o outro é meu namorado(tipo literalmente)",0,2026-02-25T13:04:16Z,0
UgyV41e99C7sraXc5px4AaABAg,@davi-666-7,O do meu amigo eu e meu amigo começamos a lutar com o irmao dele ele dava dois dele e de mim vei mas não sei como nos ganhamos,0,2026-02-25T12:16:21Z,0
UgxhAywqAu_1lGhKGbh4AaABAg,@lucianamangueira9599,"So faltou ""EU SOU O FILHO DO CHEFEDA MARCIA""",0,2026-02-25T11:54:37Z,0
UgyrpI_15bjBUqcHtw94AaABAg,@FabianaJoseaguiar,"Indo pela segunda vez 
Irmão: OIIII VC TA AQUI DN-",0,2026-02-25T06:46:56Z,0
UgzHPcelIytq4XlVE894AaABAg,@Jhonatan-z5g,O mlk do nada virou o sukuna 😂😂,2,2026-02-25T02:25:03Z,1
UgzBiAkADOVlaJoqgY94AaABAg,@MariaSilva-e2m2p,wwwwwwwwwwwwwwwwwwwwwwww,0,2026-02-25T00:52:14Z,0
UgwnpyC9vcKLz9Fc9ul4AaABAg,@NaiaraSantos-p1d5o,Tá parecendo o sukuna,0,2026-02-25T00:39:27Z,0
UgyCCtZQ3y0D_LZqcOB4AaABAg,@MariaConceição-j8s,Eu tenho um amigo que ele tem dois ✌ irmãos mais velhos,1,2026-02-25T00:00:52Z,0
Ugzx8klY9JXIr2qs3Zp4AaABAg,@meninododingulinguofc,Igor menti,0,2026-02-24T23:57:10Z,0
UgzABPD6XKg5-RXuhDN4AaABAg,@Elissadra,Mds  quem gravou  meu irmão    coitado vai vira  picadinho,0,2026-02-24T23:40:03Z,0
Ugwa7X0mbJC15H49gp54AaABAg,@sofiasoso6049,Quem não sabe fazer copia mesmo,3,2026-02-24T23:07:47Z,5
Ugy3mlpMppcVHvLtwap4AaABAg,@LuizAntônio-w3z,😮😮😮😮😮😮😰😰😰😰😰,0,2026-02-24T22:37:06Z,1
UgxuhUi7h-E5S9uhV1B4AaABAg,@SusukiWild,É desse jeito assim comigo quando a minha amiga vem aqui em casa para nós fazer o trabalho em dupla😂,2,2026-02-24T22:12:25Z,0
UgxjK3xxbmxpnOlhAI54AaABAg,@JuliaCarneirosachinski,O irmão mais velho com minha core kk,1,2026-02-24T21:57:54Z,0
Ugy_wVNAmRGpdOfgW694AaABAg,@moment4521,Créditos?,0,2026-02-24T20:54:21Z,0
UgzkuVhMRKqw3h4-ltx4AaABAg,@moisessilvapaz,Kkklkkkkkkk,0,2026-02-24T20:34:00Z,0
Ugz8zkHp4SuawJEE9gB4AaABAg,@AndersonSantos-m5u,Troca a slime por lava,0,2026-02-24T20:31:57Z,0
UgxZdhBEd1NJDeR1esJ4AaABAg,@MarianaBassoliGaldino,meu deus o cara parece espiao do fbi,2,2026-02-24T20:24:08Z,0
Ugz66paaKkYVoet9drB4AaABAg,@Duettoeng,"Tá mais pro ""CHEFE DA MAFiA"" só que da shoppe😔",12,2026-02-24T18:49:29Z,4
UgyXX63GLHmOWPVR3-V4AaABAg,@fantasticcraft,😂😂😂😂😂😂❤❤❤,0,2026-02-24T17:43:05Z,0
UgywRzgKng1TWTQGR9N4AaABAg,@SilvaAndrade-o9v,O sorvete dele sendo preparado do lado deles💅💅😌,0,2026-02-24T14:45:47Z,0
UgxW1_XM6XZVhaZgkS94AaABAg,@panda_p007,Crédito morimura,0,2026-02-24T13:55:58Z,0
Ugz35NVabSVSNHeWCod4AaABAg,@FabioAndrade-y5n,Ele parecendo o itachi,4,2026-02-24T13:23:01Z,0
UgxSIwcQIbkNwkcYMEh4AaABAg,@EnzoPlayAventuras,😂❤,3,2026-02-24T00:27:37Z,0
UgyhJ7_GECniCjbyfeJ4AaABAg,@FabielliDuarte,😂,9,2026-02-23T23:30:29Z,0
