comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgzHPcelIytq4XlVE894AaABAg,@Jhonatan-z5g,UgzHPcelIytq4XlVE894AaABAg.ATd-l0R9hKwATeGT22Jck3,@fatimaribeiro790,🤨🤨🤨🤨,0,2026-02-25T14:10:15Z
Ugwa7X0mbJC15H49gp54AaABAg,@sofiasoso6049,Ugwa7X0mbJC15H49gp54AaABAg.ATceBEicyFOATeRiepJvJY,@Alice-e8j1c,Ai menina fica na sua porque eles estão fazendo o seu vídeo então se você quiser copiar também né porque você copia em tudo você copia,0,2026-02-25T15:48:38Z
Ugwa7X0mbJC15H49gp54AaABAg,@sofiasoso6049,Ugwa7X0mbJC15H49gp54AaABAg.ATceBEicyFOATeSYCGXy2M,@Arizona-g3l,​Cala boca menina se ela quiser fala ela fala,0,2026-02-25T15:55:49Z
Ugwa7X0mbJC15H49gp54AaABAg,@sofiasoso6049,Ugwa7X0mbJC15H49gp54AaABAg.ATceBEicyFOATeSc0H7mcs,@Arizona-g3l,Concordo,0,2026-02-25T15:56:28Z
Ugwa7X0mbJC15H49gp54AaABAg,@sofiasoso6049,Ugwa7X0mbJC15H49gp54AaABAg.ATceBEicyFOATeSeKi12Ss,@Arizona-g3l,Concordo,0,2026-02-25T15:56:47Z
Ugwa7X0mbJC15H49gp54AaABAg,@sofiasoso6049,Ugwa7X0mbJC15H49gp54AaABAg.ATceBEicyFOATeZUN8vg2F,@DavillaAndrade-t5v,Falou a que tá copiando uma frase que nem é dela,0,2026-02-25T16:56:28Z
Ugy3mlpMppcVHvLtwap4AaABAg,@LuizAntônio-w3z,Ugy3mlpMppcVHvLtwap4AaABAg.ATcafOpZSO-ATeZC_rhid_,@user-wc1no7lt4u,😮😮😮😮😮 😰😰😰😰😰😰,0,2026-02-25T16:54:02Z
Ugz66paaKkYVoet9drB4AaABAg,@Duettoeng,Ugz66paaKkYVoet9drB4AaABAg.ATcBcNuHj_aATcktVTr-yo,@Kauaisaac-b2x,Não naverdade ele tava pensando:EU SOU O FILHO DO CHEFE DA MAFIA😠😠😠😠😠 aura +++ehgo,0,2026-02-25T00:06:24Z
Ugz66paaKkYVoet9drB4AaABAg,@Duettoeng,Ugz66paaKkYVoet9drB4AaABAg.ATcBcNuHj_aATd2ouyEtbY,@IsacSilva-x1u5n,da shoppe kkkkkkk🤣,0,2026-02-25T02:51:48Z
Ugz66paaKkYVoet9drB4AaABAg,@Duettoeng,Ugz66paaKkYVoet9drB4AaABAg.ATcBcNuHj_aATdIjidV9Zf,@ThaisVitoriasla,Kkkkkkkkkkkkkkkk,0,2026-02-25T05:10:54Z
Ugz66paaKkYVoet9drB4AaABAg,@Duettoeng,Ugz66paaKkYVoet9drB4AaABAg.ATcBcNuHj_aATeeQrq3Mj4,@lidiarosa2116,Kkkk,0,2026-02-25T17:48:24Z
