comment_id,author,text,like_count,published_at,reply_count
UgwwymuKr6tRnoD9OZx4AaABAg,@JoaoGames-e1s,Décimo segundo 🥈🥈,0,2026-02-26T16:05:04Z,0
UgxbDGkgWqslv4q6hNp4AaABAg,@taislaineferreiradossantos3463,Primeiro,0,2026-02-25T17:21:36Z,0
Ugxyd0In8jncgUWbAvR4AaABAg,@BernardoLohan-t7l,😠😠😠,0,2026-02-25T15:42:47Z,0
Ugy_R_mBC6OJdZDAc0p4AaABAg,@Meliodas-s8d,Primeiro,2,2026-02-25T00:47:09Z,0
UgydKwtCh6U14etuGLZ4AaABAg,@denisecosta3134,quinto🎉🎉,2,2026-02-24T23:43:20Z,0
Ugwu2cEgog0rQ-5eL1V4AaABAg,@IsabellyTernusdossantos,Primeira,2,2026-02-24T23:41:19Z,0
Ugyad8CeCRE0J_QebIN4AaABAg,@patricianatalha3949,Quarto💯💯☠☠☠,6,2026-02-24T22:31:14Z,1
Ugwnc4BKikkeUxSmxil4AaABAg,@amandanery9929,Terceiro😎🐯🐭🐯🐻🥽,15,2026-02-24T19:15:52Z,1
UgyNey3ROjZy2tHMca94AaABAg,@GUSTAVO-n9r3x,Segundo🍷🗿,7,2026-02-24T18:27:40Z,0
Ugz7cWLX55dSlfOTyyV4AaABAg,@alexiajamilydasilva,Primeira ❤❤❤❤❤❤😊😊,13,2026-02-24T17:43:06Z,0
