comment_id,author,text,like_count,published_at,reply_count
UgzI6jmz3SI0jP2FRGl4AaABAg,@selmanreceptr,You are chating men,1,2026-02-26T18:04:54Z,0
UgymzjJR38BNTff0UV94AaABAg,@agwe,She just crying rn,0,2026-02-26T06:29:54Z,0
UgwdH3e4asyA9-6sjO94AaABAg,@ProFound67,this mf used a total of 13 bullets man 😭,0,2026-02-25T13:42:43Z,0
Ugzx5NQlyy3UoHsWOyN4AaABAg,@andrecarvalho6151,Bro mas out luck and skills its f afair bro,0,2026-02-25T10:49:19Z,0
UgyZYvzNl7UtmhCIqmp4AaABAg,@akshatbansal4758,"Wait I didn't realise it's tenz at first 😂
First I was impressed then oh it's TenZ, it's another Tuesday for hi m",0,2026-02-25T09:52:34Z,0
UgxSXoobbc2Ox1PdlLN4AaABAg,@akshatbansal4758,The sheriff on rage and sage were smooth,0,2026-02-25T09:51:39Z,0
UgzpWTtqZTEiWlXvmLt4AaABAg,@saturnsp3515,Bros got a magical Outlaw 🤯,0,2026-02-23T19:55:59Z,0
UgyHpqBIyQ7HLqVOxQV4AaABAg,@kashishsharmayt,Map name - Tenz and Kaede,0,2026-02-23T12:41:19Z,0
UgwypGEAsWNeze19Ift4AaABAg,@skyyja1,Casually one shot everyone ace,0,2026-02-23T12:15:32Z,0
Ugzn5IjGlFddE6K-K894AaABAg,@eithanfox4005,is and always will be... the best Valorant player without a doubt...,0,2026-02-23T12:11:57Z,0
Ugw5XEkC1SDLm4xdp4Z4AaABAg,@szelk8723,"I was thinkig that good players dont unnesysery risk, but i think they belive in thier luck and just fucking duble no scope from 10meters, did they do some test and they know how lucky they are and when to risk or what?",0,2026-02-23T09:37:21Z,0
Ugz-lQX1aSqkascZHRZ4AaABAg,@eatcheese7810,W bgm,0,2026-02-23T07:10:16Z,0
UgxrtYjxnbZRzGtR8C54AaABAg,@MeteoroAlquicir,The king is back?,0,2026-02-23T07:00:15Z,0
Ugx4T3ZH-brut8rpW_d4AaABAg,@gunagyachaudhary2665,Hes better at sherrif than even primmie,1,2026-02-23T05:29:56Z,0
Ugy5X1jaD4f7uPHg_fB4AaABAg,@Sahil-13198,My outlaw says it's AI,0,2026-02-23T02:07:22Z,0
UgxCMgL9-A6OHGA_DW14AaABAg,@AUG_Glow,TenZ is the goat,0,2026-02-23T01:27:25Z,0
UgwSXSza2X8KdVKj8fp4AaABAg,@hermannpauwells7947,Mono awebonao,0,2026-02-22T23:16:21Z,0
Ugy5b0WjstxkKux9Ltp4AaABAg,@romercercadoolivera8727,"Tenz if u reed this, Will be Nice if u want go to MIBR, is a new way and new work, i think is Nice, i'm peruvian, and i'm fan of mazino, and fan of ur person, i heard to mixwell talking about u any times, he said u are a good person, and i think Will be Nice if u go to MIBR, is a dream of too much people i think, and the winner of this are everyone, God bless u. In all thy ways acknowledge him, and he shall direct thy paths. Proverbs 3:6",0,2026-02-22T04:33:41Z,0
UgwosmMvI1895OA3rTR4AaABAg,@rncrazyyt,Why is ten,0,2026-02-21T20:49:25Z,0
Ugx4f37JX4kS8YHaeS54AaABAg,@ZOROisLostT_T,My outlaw doesn't do that🤔,0,2026-02-21T15:30:24Z,0
Ugy37KFEYC4Uuv_2ZoF4AaABAg,@Hsyn.kzltg42,"Tenz, my friend, let's go outside and get some fresh air.",0,2026-02-20T21:28:21Z,0
UgxITpaUi7-BpeMpVsJ4AaABAg,@xgh0stlyx430,"You seem like a genuine guy. I'm sure it hurts, but you look like you doing alright. Just remember, Men Peek much later in life, get into the gym, get back to doing what you love and love will find you find you again. Nice Ace.",0,2026-02-20T13:11:14Z,0
UgyN4ueW16TmVafi1UN4AaABAg,@stevo_ibro,Why do 99% of Neon players like to stun themselves when repositioning?😂😂,0,2026-02-20T10:10:27Z,0
UgySFXK9Rs0KwuM-tIl4AaABAg,@RosalinaRain,"3 months ago: ""Makes a clip and decides to stun himself""
4 days ago: ""The I miss her version of Tenz is here""",3,2026-02-19T19:10:07Z,0
UgwNT_PvxFMI9olOUpx4AaABAg,@MeyK3r-X,El stun es la única jugada que me sale de tenz,1,2026-02-19T10:19:41Z,0
Ugwgid-fnWZRmzlLO914AaABAg,@LiterallyTable,Well goodbye kaedae hello gym 😂,42,2026-02-19T07:24:18Z,0
Ugy5KZJRCZwHOTZLUdh4AaABAg,@prakashsingh6976,Nah nah nah.. 2 kill with outlaw without scope. Any gun but not outlaw.. 😮,0,2026-02-19T06:48:49Z,0
UgzRcGAdxnkLUIUfpQ54AaABAg,@EdwinNielCaneteI,Bro on I miss her era,6,2026-02-19T06:11:32Z,0
UgySv3jH-_oBAtbyy9x4AaABAg,@TeofilaPerezcardenas,😮,0,2026-02-19T04:02:14Z,0
Ugy_KPeHUxSr3nqkkCp4AaABAg,@ÖmeraliGider-g4l,"2 no scop+999aura
Radiant elo stan-999aura",0,2026-02-18T21:36:43Z,0
