comment_id,comment_author,reply_id,reply_author,reply_text,reply_like_count,reply_published_at
UgynQtKAozWdzE467Cl4AaABAg,@adnaannadaf1888,UgynQtKAozWdzE467Cl4AaABAg.ATFtuSJcYu3ATSL6zppVeA,@lucky-q7w9i,Fr bro,0,2026-02-20T13:40:48Z
UgynQtKAozWdzE467Cl4AaABAg,@adnaannadaf1888,UgynQtKAozWdzE467Cl4AaABAg.ATFtuSJcYu3ATaa4aCBFiF,@Kaiashiki,😭😭😭,0,2026-02-24T03:53:27Z
UgyPrtzeJqraaMUrDjB4AaABAg,@beginnerChess109,UgyPrtzeJqraaMUrDjB4AaABAg.AQRYkHo5i3BAS8BXJZ1-6l,@Beveyboygames,"I missed two hipfires from like 8 meters yesterday, that gun has no hipfire accuracy, it's bad",0,2026-01-18T21:20:49Z
UgxAnXtHMjI-O2z7lyp4AaABAg,@quangchinh3848,UgxAnXtHMjI-O2z7lyp4AaABAg.AP_Ww1es-oFASCYbFusrPt,@Manthan.2000,its decent for a bodyshot heads not so much,2,2026-01-20T13:59:26Z
Ugy8VNzzPghU5vq4QpB4AaABAg,@770hoops,Ugy8VNzzPghU5vq4QpB4AaABAg.APZ0DmAxV4qAPjXvxuZn2V,@BenjaminSerra-b9r,YESSIR,2,2025-11-20T05:13:30Z
Ugy8VNzzPghU5vq4QpB4AaABAg,@770hoops,Ugy8VNzzPghU5vq4QpB4AaABAg.APZ0DmAxV4qAQonYz6tKEy,@preritkumar01,Shit is 🔥🔥🔥,2,2025-12-17T02:46:23Z
Ugy8VNzzPghU5vq4QpB4AaABAg,@770hoops,Ugy8VNzzPghU5vq4QpB4AaABAg.APZ0DmAxV4qAS0Df8hiRAi,@mpgodjr,Only good thing about MHA.,1,2026-01-15T19:05:34Z
Ugy8VNzzPghU5vq4QpB4AaABAg,@770hoops,Ugy8VNzzPghU5vq4QpB4AaABAg.APZ0DmAxV4qAS2-0r9g3tx,@Ayushhumai,Forced hate ​@mpgodjr,0,2026-01-16T11:36:05Z
UgyafZbeUbM_Zsvogx54AaABAg,@GamingMan993,UgyafZbeUbM_Zsvogx54AaABAg.APYRXw06NeQAS8BPUbBGML,@Beveyboygames,no it's the luck of tenz,0,2026-01-18T21:19:44Z
Ugyv8KYKFjfaevu-bFh4AaABAg,@tenzgaming4392,Ugyv8KYKFjfaevu-bFh4AaABAg.APXoXtHUTm_ASaJaDRKjOO,@dronezie99,he stunned to get away but hit himself lol,0,2026-01-30T04:49:13Z
Ugx60LCG5W_3Dj6m9EZ4AaABAg,@thecayde-6975,Ugx60LCG5W_3Dj6m9EZ4AaABAg.APXXq5ZPo_yAPXjpTHnbEn,@mogar4099,"Outlaw hipfires are pretty accurate, not as accurate as Marshall but still accurate",120,2025-11-15T05:56:05Z
Ugx60LCG5W_3Dj6m9EZ4AaABAg,@thecayde-6975,Ugx60LCG5W_3Dj6m9EZ4AaABAg.APXXq5ZPo_yAPY7jGoxAU8,@kritsada_muenngam.,​@mogar4099no,0,2025-11-15T09:33:42Z
Ugx60LCG5W_3Dj6m9EZ4AaABAg,@thecayde-6975,Ugx60LCG5W_3Dj6m9EZ4AaABAg.APXXq5ZPo_yAPYfxUt_NSq,@SomePotatoChannel,@mogar4099the second one headshot from like 15 meters,57,2025-11-15T14:41:28Z
Ugx60LCG5W_3Dj6m9EZ4AaABAg,@thecayde-6975,Ugx60LCG5W_3Dj6m9EZ4AaABAg.APXXq5ZPo_yAPYxdwc_m-P,@HienNguyen-cs1md,"@mogar4099 The spread value of the outlaw is 3.5 compared to marshal 1.0
It is not accurate at all bruh.",164,2025-11-15T17:16:05Z
Ugx60LCG5W_3Dj6m9EZ4AaABAg,@thecayde-6975,Ugx60LCG5W_3Dj6m9EZ4AaABAg.APXXq5ZPo_yAPaHuRvk26G,@Iam....--..,"@mogar4099 it’s not accurate at all wdym, it’s almost as bad as the ops hip fire",13,2025-11-16T15:00:19Z
Ugx-nnu2SwlOKhVrslV4AaABAg,@haveachocobar,Ugx-nnu2SwlOKhVrslV4AaABAg.APWnrMqu0XCAPXdMTEJw9i,@skedaddleaway,"I dont think neither of them would expect an outlaw that close. If ure gonna point out something, it should be the outlaw no scopes. Tf was that.",4,2025-11-15T04:59:34Z
Ugx-nnu2SwlOKhVrslV4AaABAg,@haveachocobar,Ugx-nnu2SwlOKhVrslV4AaABAg.APWnrMqu0XCAPYNS2xNtHZ,@skedaddleaway,"@myvideostorageroomoh, the outlaw is not even remotely comparable to the marshal.",2,2025-11-15T11:51:01Z
Ugx-nnu2SwlOKhVrslV4AaABAg,@haveachocobar,Ugx-nnu2SwlOKhVrslV4AaABAg.APWnrMqu0XCAPZtteY9vr_,@Diamon_Dawn,"​@myvideostorageroom u probably don't play enough buddy 😂 I've never seen a single person hit a outlaw no scope intentionally in game yet, with marshal it's almost 85-90 percent accurate, outlaw is no where close, try for yourself buddy instead of capping",1,2025-11-16T02:02:31Z
UgxuefergCEQy7bH-3F4AaABAg,@Hate-n4s,UgxuefergCEQy7bH-3F4AaABAg.APWOkyMPf2nAPYrEEixy_2,@nicholas3201,"I always do that, nothin wrong with it",84,2025-11-15T16:20:01Z
UgxuefergCEQy7bH-3F4AaABAg,@Hate-n4s,UgxuefergCEQy7bH-3F4AaABAg.APWOkyMPf2nAPYsDp1cEv2,@Pinonyan,Is that all u saw 😐,52,2025-11-15T16:28:42Z
UgxuefergCEQy7bH-3F4AaABAg,@Hate-n4s,UgxuefergCEQy7bH-3F4AaABAg.APWOkyMPf2nAP_BKVzzZUW,@karthikkumar2926,He too goated that he had to nerf himself,36,2025-11-16T04:43:37Z
UgxuefergCEQy7bH-3F4AaABAg,@Hate-n4s,UgxuefergCEQy7bH-3F4AaABAg.APWOkyMPf2nAPbJBO0Sjtd,@markangelobueno7331,he did it on purpose for enemy team not to initiate the rush attack in-case.,42,2025-11-17T00:30:45Z
UgxuefergCEQy7bH-3F4AaABAg,@Hate-n4s,UgxuefergCEQy7bH-3F4AaABAg.APWOkyMPf2nAPg00N7olb7,@akio-n5o,typical low rank mindset of you,18,2025-11-18T20:19:26Z
UgyUXchnB-5YtWKjUC14AaABAg,@bony804,UgyUXchnB-5YtWKjUC14AaABAg.APWNXjYJWxuATaPu9zx-49,@CaínCfet,Tenz cucking,0,2026-02-24T02:15:46Z
