comment_id,author,text,like_count,published_at,reply_count
Ugw5-zR4xNxcbxpgDwt4AaABAg,@alanddos,sabia pelo tempo de clear dele por volta dos 3:19 a 3:30,3,2026-02-22T11:09:26Z,0
Ugw7BU-8F5L2fDBjMA54AaABAg,@otakariabr1825,o jg sabe,0,2026-02-14T11:25:04Z,0
UgyEJmWgfIPC8OD11_94AaABAg,@JonahKropf-j4l,The production quality is really helpful This deserves recognition.,2,2026-02-05T09:54:54Z,0
Ugxadgcuqe8PYaWbHW94AaABAg,@claudiomarinocandianeto5684,Vc sabia pq vc era o nunu,0,2026-01-31T13:57:44Z,0
UgxGHSBdbfWCwF_AoFl4AaABAg,@duzskt,É o neymar dos games,0,2026-01-31T00:50:00Z,0
Ugy1pH9S15IHO03GA9h4AaABAg,@connectionsbr,Ele olhando pra outra tela,0,2026-01-30T03:40:01Z,0
Ugw2Ju5gn2-faHCYKAh4AaABAg,@LucasNunesDaSilva-u6t,Tirou a camisa 😂,0,2026-01-29T15:26:37Z,0
Ugw1v9tgbsSSQfxGrS94AaABAg,@SergioFelipe-l6x,"lvl 4 nunu tava no aronga, e ele joga jg facilita saber disso",51,2026-01-28T19:59:03Z,1
UgxUwl2OM6H5X8rfJGV4AaABAg,@nota4867,Markin entende de bola,22,2026-01-28T16:16:42Z,0
UgxuxCgSU4FoUruSu014AaABAg,@sr.trivago3515,"Irelia jogando avançado, e como o markin sempre joga na jungle ele tem mais ou menos uma ideia do clear de cada boneco e o tempo que leva",15,2026-01-28T12:20:40Z,0
Ugz63qRp8rV8U7pXxMZ4AaABAg,@Yasuo_O_Mono_Bruno,Markin xitado até os dentes,0,2026-01-28T03:34:14Z,0
UgyK9vFa3W3pzMLwuN14AaABAg,@settrius040,Markin levou muita bolada por trás,1,2026-01-26T16:52:09Z,1
UgwtZyoGGTeudc2Boxp4AaABAg,@Thiagoh7,"Muito tempo tomando bolada né Markin, já tá até prevendo as boladas da vida 😂",130,2026-01-26T02:17:36Z,0
UgxFH78hQr1nEmm2fgl4AaABAg,@brenuFz25,KKKKKKK eu fico olhando outras lanes e premeditando gank tbm,0,2026-01-25T21:50:52Z,0
Ugwnji4f7nMqhQMIvcp4AaABAg,@jesselucas5512,Sabo muito,2,2026-01-25T05:01:56Z,0
Ugw6eS5989x3mQaX4jp4AaABAg,@rennanmoreira7728,opa amigo acho que dá pra aumentar o produto ali,0,2026-01-25T04:36:40Z,0
UgxweNuVQZTf6x3nZZV4AaABAg,@Showasss,O terceiro olho se abriu,0,2026-01-24T16:25:20Z,0
